name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,starts,total_points,was_home
Kalvin Phillips,MID,Ipswich,0,0,0,0.0,2024-08-17,0,Liverpool,0,0,True
Kalvin Phillips,MID,Ipswich,0,0,0,0.0,2024-08-24,0,Manchester City,0,0,False
Kalvin Phillips,MID,Ipswich,0,0,1,0.9,2024-08-31,69,Fulham,1,2,True
Kalvin Phillips,MID,Ipswich,0,1,0,3.1,2024-09-14,90,Brighton,1,2,False
Kalvin Phillips,MID,Ipswich,0,0,0,0.0,2024-09-21,0,Southampton,0,0,False
Kalvin Phillips,MID,Ipswich,0,0,4,1.0,2024-10-05,73,West Ham,1,2,False
Kalvin Phillips,MID,Ipswich,0,0,2,2.3,2024-09-29,68,Aston Villa,1,2,True
Kalvin Phillips,MID,Ipswich,0,0,2,2.5,2024-10-19,70,Everton,1,2,True
Kalvin Phillips,MID,Ipswich,0,0,4,3.1,2024-10-26,90,Brentford,1,2,False
