name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,selected,starts,total_points,was_home
Erling Haaland,FWD,Man City,3,18.4,2024-08-24,89,Ipswich Town,5207729,1,17,True
Erling Haaland,FWD,Man City,3,15.7,2024-09-22,90,Arsenal,7253417,1,9,True
Erling Haaland,FWD,Man City,0,7.3,2024-11-02,90,Bournemouth,7679947,1,2,False
Erling Haaland,FWD,Man City,0,8.4,2024-09-28,90,Newcastle United,7583749,1,2,False
Erling Haaland,FWD,Man City,2,7.5,2024-08-18,90,Chelsea,4408007,1,7,False
Erling Haaland,FWD,Man City,0,7.5,2024-10-05,90,Fulham,7704044,1,2,True
Erling Haaland,FWD,Man City,3,15.9,2024-09-14,90,Brentford,6928685,1,13,True
Erling Haaland,FWD,Man City,3,18.4,2024-08-31,90,West Ham,6054723,1,17,False
Erling Haaland,FWD,Man City,0,2.3,2024-10-20,90,Wolverhampton,7811209,1,2,False
Erling Haaland,FWD,Man City,0,12.5,2024-10-26,90,Southampton,7845366,1,6,True
Erling Haaland,FWD,Man City,0,12.2,2024-11-09,90,Brighton,7076341,1,5,False
