h_a,xG,xGA,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,time
a,3.22698,2.27609,1.51492,"{'att': 264, 'def': 21}","{'att': 276, 'def': 18}",9.0,9.0,4.0,3.0,2.018,w,2024-02-01 20:15:00,1.0,0.0,0.0,3.0,1.71206,
h,0.96721,1.1807,1.1807,"{'att': 221, 'def': 25}","{'att': 304, 'def': 14}",9.0,3.0,3.0,0.0,1.1898,w,2024-02-04 14:00:00,1.0,0.0,0.0,3.0,-0.21349,
a,2.44591,2.64675,2.64675,"{'att': 235, 'def': 20}","{'att': 237, 'def': 20}",4.0,10.0,2.0,1.0,1.2387,w,2024-02-11 16:30:00,1.0,0.0,0.0,3.0,-0.2008399999999999,
a,3.58973,1.57234,1.57234,"{'att': 247, 'def': 29}","{'att': 210, 'def': 19}",9.0,11.0,2.0,1.0,2.5207,w,2024-02-18 16:30:00,1.0,0.0,0.0,3.0,2.01739,
h,1.96036,1.1385,1.1385,"{'att': 236, 'def': 22}","{'att': 265, 'def': 16}",11.0,11.0,1.0,2.0,2.0153,l,2024-02-24 15:00:00,0.0,0.0,1.0,0.0,0.82186,
a,0.153764,2.64173,2.64173,"{'att': 309, 'def': 17}","{'att': 171, 'def': 17}",1.0,26.0,1.0,3.0,0.0737,l,2024-03-03 15:30:00,0.0,0.0,1.0,0.0,-2.487966,
h,2.9016,1.8214,1.8214,"{'att': 216, 'def': 14}","{'att': 308, 'def': 20}",7.0,13.0,2.0,0.0,2.1497,w,2024-03-09 12:30:00,1.0,0.0,0.0,3.0,-0.4421299999999999,
a,0.989565,3.16487,3.16487,"{'att': 144, 'def': 20}","{'att': 211, 'def': 16}",7.0,21.0,1.0,1.0,0.2803,d,2024-03-30 20:00:00,0.0,1.0,0.0,1.0,-2.175305,
a,1.56686,3.48048,1.95814,"{'att': 318, 'def': 25}","{'att': 209, 'def': 17}",7.0,15.0,3.0,4.0,0.3867,l,2024-04-04 19:15:00,0.0,0.0,1.0,0.0,-0.39128,
h,0.814509,4.43457,3.6734,"{'att': 284, 'def': 20}","{'att': 196, 'def': 25}",6.0,21.0,2.0,2.0,0.0519,d,2024-04-07 14:30:00,0.0,1.0,0.0,1.0,-2.858891,
a,1.52274,2.38519,2.38519,"{'att': 173, 'def': 16}","{'att': 281, 'def': 21}",8.0,12.0,2.0,2.0,0.7629,d,2024-04-13 16:30:00,0.0,1.0,0.0,1.0,-1.623619,
h,3.51311,1.20517,1.20517,"{'att': 158, 'def': 25}","{'att': 393, 'def': 18}",14.0,2.0,4.0,2.0,2.6805999999999996,w,2024-04-24 19:00:00,1.0,0.0,0.0,3.0,1.5467699999999998,
h,3.06197,1.89591,1.13475,"{'att': 241, 'def': 17}","{'att': 176, 'def': 21}",18.0,9.0,1.0,1.0,2.0884,d,2024-04-27 14:00:00,0.0,1.0,0.0,1.0,1.92722,
a,0.341417,2.0656,2.0656,"{'att': 233, 'def': 20}","{'att': 402, 'def': 24}",4.0,12.0,0.0,4.0,0.2369,l,2024-05-06 19:00:00,0.0,0.0,1.0,0.0,-1.7241829999999998,
h,0.551669,1.73104,1.73104,"{'att': 285, 'def': 15}","{'att': 259, 'def': 28}",4.0,13.0,0.0,1.0,0.3789,l,2024-05-12 15:30:00,0.0,0.0,1.0,0.0,-1.179371,
h,1.49706,2.27657,2.27657,"{'att': 224, 'def': 24}","{'att': 173, 'def': 11}",11.0,6.0,3.0,2.0,0.8749,w,2024-05-15 19:00:00,1.0,0.0,0.0,3.0,-0.7795099999999999,
a,1.00404,1.9717,1.9717,"{'att': 334, 'def': 18}","{'att': 277, 'def': 30}",6.0,10.0,2.0,0.0,0.6787,w,2024-05-19 15:00:00,1.0,0.0,0.0,3.0,-0.96766,
,60.329902999999995,,,,,,,,,,,,,,,,,
,60.329902999999995,,,,,,,,,,,,,,,,,0.0
