h_a,xG,xGA,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,time
h,4.32208,1.486,1.486,"{'att': 255, 'def': 17}","{'att': 324, 'def': 28}",9.0,6.0,5.0,1.0,2.7626000000000004,w,2023-08-12 16:30:00,1.0,0.0,0.0,3.0,2.83608,
a,0.257154,1.22528,1.22528,"{'att': 419, 'def': 27}","{'att': 286, 'def': 21}",5.0,9.0,0.0,1.0,0.4939,l,2023-08-19 19:00:00,0.0,0.0,1.0,0.0,-0.968126,
h,1.62037,0.856121,0.856121,"{'att': 227, 'def': 21}","{'att': 370, 'def': 23}",5.0,5.0,1.0,2.0,1.9345,l,2023-08-27 15:30:00,0.0,0.0,1.0,0.0,0.7642490000000001,
a,0.90476,1.32258,1.32258,"{'att': 360, 'def': 30}","{'att': 273, 'def': 27}",7.0,9.0,1.0,3.0,0.9704,l,2023-09-02 16:30:00,0.0,0.0,1.0,0.0,-0.4178200000000001,
h,1.50126,0.633678,0.633678,"{'att': 176, 'def': 23}","{'att': 215, 'def': 27}",8.0,4.0,1.0,0.0,2.1862,w,2023-09-16 16:30:00,1.0,0.0,0.0,3.0,0.106413,
a,5.1082,0.579392,0.579392,"{'att': 262, 'def': 30}","{'att': 373, 'def': 25}",11.0,5.0,8.0,0.0,2.9736,w,2023-09-24 15:30:00,1.0,0.0,0.0,3.0,4.528808,
h,3.08516,0.801849,0.801849,"{'att': 288, 'def': 27}","{'att': 328, 'def': 18}",7.0,5.0,2.0,0.0,2.7621,w,2023-09-30 14:00:00,1.0,0.0,0.0,3.0,1.5221409999999995,
a,1.97865,0.931345,0.931345,"{'att': 145, 'def': 23}","{'att': 359, 'def': 14}",6.0,2.0,2.0,2.0,2.2586999999999997,d,2023-10-08 13:00:00,0.0,1.0,0.0,1.0,1.0473050000000002,
h,3.73336,1.08795,1.08795,"{'att': 216, 'def': 18}","{'att': 353, 'def': 28}",9.0,3.0,4.0,0.0,2.7762,w,2023-10-21 14:00:00,1.0,0.0,0.0,3.0,2.64541,
a,2.31987,0.863393,0.863393,"{'att': 217, 'def': 30}","{'att': 331, 'def': 28}",3.0,8.0,2.0,2.0,2.4965,d,2023-10-28 16:30:00,0.0,1.0,0.0,1.0,0.695307,
h,1.12355,0.535473,0.535473,"{'att': 195, 'def': 24}","{'att': 179, 'def': 20}",4.0,7.0,1.0,0.0,2.0353,w,2023-11-04 17:30:00,1.0,0.0,0.0,3.0,0.5880770000000001,
a,0.306141,2.78424,2.78424,"{'att': 231, 'def': 10}","{'att': 258, 'def': 27}",3.0,7.0,0.0,2.0,0.0844,l,2023-11-11 17:30:00,0.0,0.0,1.0,0.0,-2.4780990000000003,
h,2.15227,0.968061,0.968061,"{'att': 255, 'def': 27}","{'att': 263, 'def': 27}",7.0,6.0,4.0,1.0,2.247,w,2023-11-25 15:00:00,1.0,0.0,0.0,3.0,1.184209,
h,2.90191,0.422674,0.422674,"{'att': 187, 'def': 22}","{'att': 235, 'def': 15}",17.0,2.0,1.0,0.0,2.8305,w,2023-12-02 20:00:00,1.0,0.0,0.0,3.0,2.479236,
a,1.29564,2.95393,2.95393,"{'att': 145, 'def': 12}","{'att': 333, 'def': 37}",4.0,13.0,0.0,3.0,0.43,l,2023-12-07 19:30:00,0.0,0.0,1.0,0.0,-1.6582900000000005,
a,1.61368,4.40118,3.64001,"{'att': 272, 'def': 32}","{'att': 219, 'def': 30}",9.0,12.0,1.0,4.0,0.1711,l,2023-12-10 16:30:00,0.0,0.0,1.0,0.0,-2.02633,
h,4.27933,0.471042,0.471042,"{'att': 146, 'def': 18}","{'att': 331, 'def': 11}",23.0,4.0,3.0,0.0,2.9789,w,2023-12-16 15:00:00,1.0,0.0,0.0,3.0,3.808288,
a,1.41488,1.81844,1.81844,"{'att': 117, 'def': 22}","{'att': 311, 'def': 28}",16.0,2.0,0.0,1.0,1.0398,l,2023-12-23 15:00:00,0.0,0.0,1.0,0.0,-0.4035600000000001,
h,2.79106,3.1074,3.1074,"{'att': 208, 'def': 30}","{'att': 255, 'def': 20}",18.0,4.0,1.0,3.0,1.152,l,2023-12-26 12:30:00,0.0,0.0,1.0,0.0,-1.0775100000000002,
a,0.910974,6.67151,5.02355,"{'att': 284, 'def': 19}","{'att': 193, 'def': 40}",4.0,16.0,2.0,4.0,0.0027,l,2024-01-01 19:00:00,0.0,0.0,1.0,0.0,-4.112576000000001,
h,1.23638,2.55452,2.55452,"{'att': 275, 'def': 16}","{'att': 157, 'def': 17}",6.0,25.0,2.0,3.0,0.5402,l,2024-01-13 17:30:00,0.0,0.0,1.0,0.0,-1.31814,
a,3.3224,1.44485,1.44485,"{'att': 297, 'def': 27}","{'att': 215, 'def': 23}",10.0,12.0,3.0,1.0,2.5302999999999995,w,2024-01-30 20:15:00,1.0,0.0,0.0,3.0,1.87755,
h,2.37353,2.67463,1.91346,"{'att': 192, 'def': 28}","{'att': 198, 'def': 28}",9.0,8.0,4.0,4.0,1.169,d,2024-02-03 15:00:00,0.0,1.0,0.0,1.0,0.4600700000000002,
a,0.511375,0.968075,0.968075,"{'att': 162, 'def': 17}","{'att': 423, 'def': 16}",7.0,7.0,3.0,2.0,0.8567,w,2024-02-10 17:30:00,1.0,0.0,0.0,3.0,-0.4567,
