player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title
Pablo Fornals,15.0,392.0,0.0,0.2919035069644451,0.0,0.5666238348931074,7.0,5.0,0.0,0.0,M S,West Ham
Aymeric Laporte,1.0,6.0,0.0,0.1122824624180793,0.0,0.0,1.0,0.0,0.0,0.0,S,Manchester City
Thilo Kehrer,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,S,West Ham
Issa Diop,18.0,1435.0,0.0,0.2687341887503862,0.0,0.0,5.0,0.0,2.0,1.0,D S,Fulham
Said Benrahma,13.0,619.0,0.0,1.9243336878716943,1.0,1.633838023990393,19.0,11.0,1.0,0.0,M S,West Ham
Serge Aurier,12.0,843.0,0.0,0.2042676210403442,2.0,0.6003383956849575,6.0,3.0,2.0,0.0,D S,Nottingham Forest
Emiliano Martinez,34.0,3022.0,0.0,0.0,0.0,0.0184545237571001,0.0,1.0,4.0,0.0,GK,Aston Villa
Clement Lenglet,14.0,1167.0,0.0,0.9835287630558014,1.0,0.8562045320868492,7.0,2.0,3.0,0.0,D,Aston Villa
Nick Pope,15.0,1347.0,0.0,0.0164986308664083,0.0,0.0,1.0,0.0,1.0,0.0,GK,Newcastle United
Connor Roberts,14.0,804.0,0.0,0.0,1.0,0.3131415136158466,0.0,7.0,3.0,1.0,D S,Burnley
Rhian Brewster,13.0,302.0,0.0,0.3449401650577783,0.0,0.1013540811836719,7.0,2.0,0.0,1.0,F S,Sheffield United
Aaron Wan-Bissaka,22.0,1784.0,0.0,0.1462121829390525,2.0,1.4311098009347916,3.0,12.0,4.0,0.0,D S,Manchester United
Aaron Ramsdale,6.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Arsenal
Yves Bissouma,28.0,2120.0,0.0,1.1663736272603271,0.0,0.4049058575183153,24.0,10.0,8.0,2.0,M S,Tottenham
Diego Carlos,27.0,1784.0,0.0,1.8101312145590784,0.0,0.1100177364423871,9.0,4.0,4.0,0.0,D S,Aston Villa
Ibrahim Sangare,17.0,1053.0,0.0,0.8340437468141317,0.0,0.3507998380810022,8.0,7.0,6.0,0.0,M S,Nottingham Forest
Boubacar Kamara,20.0,1686.0,0.0,0.1435272945091128,1.0,1.0960499802604318,5.0,20.0,7.0,1.0,M,Aston Villa
Fode Toure,6.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,S,Fulham
Jairo Riedewald,9.0,219.0,0.0,0.0593644082546234,0.0,0.0,1.0,0.0,0.0,0.0,M S,Crystal Palace
Ederson,33.0,2794.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,GK,Manchester City
Will Hughes,30.0,1924.0,0.0,0.3010205570608377,1.0,1.7067030258476734,8.0,21.0,6.0,0.0,M S,Crystal Palace
Nélson Semedo,36.0,3127.0,0.0,1.232096817344427,1.0,2.0054253563284874,17.0,24.0,10.0,1.0,D M,Wolverhampton Wanderers
Davinson Sánchez,1.0,77.0,0.0,0.1100629791617393,0.0,0.0,1.0,0.0,1.0,0.0,S,Tottenham
Ibrahima Konaté,22.0,1555.0,0.0,0.5480835782364011,0.0,0.5098369065672159,11.0,8.0,3.0,1.0,D S,Liverpool
Jadon Sancho,3.0,68.0,0.0,0.0,0.0,0.1281674951314926,0.0,1.0,0.0,0.0,S,Manchester United
Romain Faivre,5.0,21.0,0.0,0.1308193765580654,0.0,0.0,2.0,0.0,1.0,0.0,S,Bournemouth
Ben Johnson,14.0,509.0,0.0,0.2155094873160123,0.0,0.0,6.0,0.0,1.0,0.0,D M S,West Ham
Reiss Nelson,15.0,215.0,0.0,0.2384255621582269,0.0,0.6414464898407459,4.0,5.0,1.0,0.0,F S,Arsenal
Michael Obafemi,2.0,9.0,0.0,0.1165716275572776,0.0,0.0,2.0,0.0,0.0,0.0,S,Burnley
Martin Dubravka,23.0,1983.0,0.0,0.0,0.0,0.1200264021754264,0.0,1.0,1.0,0.0,GK S,Newcastle United
Louis Beyer,15.0,1252.0,0.0,0.4269037134945392,1.0,0.4111006297171116,5.0,3.0,6.0,0.0,D,Burnley
Sergio Gómez,6.0,29.0,0.0,0.6195764094591141,1.0,0.1288056522607803,2.0,1.0,0.0,0.0,S,Manchester City
Matz Sels,16.0,1440.0,0.0,0.0,0.0,0.0696526691317558,0.0,1.0,1.0,0.0,GK,Nottingham Forest
Robin Olsen,5.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK S,Aston Villa
Hamed Junior Traore,3.0,32.0,0.0,0.1374315591529011,0.0,0.0598211325705051,3.0,1.0,0.0,0.0,S,Bournemouth
Arijanet Muric,10.0,900.0,0.0,0.0,0.0,0.3725830223411321,0.0,4.0,0.0,0.0,GK,Burnley
Mark Flekken,37.0,3293.0,0.0,0.0,1.0,0.2911852374672889,0.0,3.0,3.0,0.0,GK,Brentford
Marc Cucurella,21.0,1788.0,0.0,1.4538506548851728,2.0,1.254556130617857,8.0,19.0,10.0,0.0,D S,Chelsea
Sergio Reguilón,25.0,1539.0,0.0,1.177430784329772,4.0,3.6384903844445944,17.0,28.0,7.0,1.0,D S,"Brentford,Manchester United"
Oliver Skipp,21.0,660.0,0.0,0.6823929585516453,0.0,0.541032612323761,4.0,7.0,3.0,0.0,D M S,Tottenham
Emile Smith-Rowe,13.0,325.0,0.0,1.5201803892850876,1.0,0.2403641268610954,15.0,4.0,0.0,0.0,M S,Arsenal
Jason Steele,17.0,1530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Brighton
Benoit Badiashile Mukinayi,18.0,1338.0,0.0,0.5172926671802998,1.0,1.5548250479623675,6.0,6.0,2.0,0.0,D S,Chelsea
Han-Noah Massengo,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Burnley
Ryan John Giles,11.0,492.0,0.0,0.1471442878246307,0.0,0.2260761391371488,2.0,5.0,0.0,0.0,D S,Luton
Bryan Gil Salvatierra,11.0,182.0,0.0,0.7904373183846474,0.0,0.192443910986185,4.0,4.0,0.0,0.0,M S,Tottenham
Tyler Adams,3.0,111.0,0.0,0.0,0.0,0.0976069122552871,0.0,1.0,0.0,0.0,M S,Bournemouth
Chris Mepham,10.0,610.0,0.0,0.0895473062992096,1.0,0.474224217236042,1.0,3.0,2.0,0.0,D S,Bournemouth
Mark Travers,4.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Bournemouth
Marc Guehi,25.0,2021.0,0.0,0.4888940155506134,1.0,0.962568361312151,5.0,7.0,2.0,0.0,D M S,Crystal Palace
Max Aarons,20.0,1219.0,0.0,0.0476108696311712,1.0,0.8764500692486763,2.0,7.0,1.0,0.0,D S,Bournemouth
Ben Godfrey,15.0,1131.0,0.0,2.1673798076808453,0.0,0.2029681168496608,15.0,3.0,2.0,0.0,D S,Everton
Adam Webster,15.0,1146.0,0.0,0.4553392454981804,0.0,0.210617184638977,8.0,5.0,1.0,0.0,D S,Brighton
Dean Henderson,18.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,GK,Crystal Palace
John Egan,6.0,491.0,0.0,0.2383595146238804,0.0,0.0,3.0,0.0,2.0,0.0,D,Sheffield United
Chris Basham,8.0,298.0,0.0,0.4091367721557617,0.0,0.142877459526062,2.0,2.0,1.0,0.0,D M S,Sheffield United
George Baldock,13.0,965.0,0.0,0.024696996435523,1.0,0.8560367710888386,1.0,7.0,4.0,0.0,D S,Sheffield United
John Fleck,4.0,82.0,0.0,0.0,0.0,0.1050862222909927,0.0,1.0,1.0,0.0,M S,Sheffield United
Ben Osborn,24.0,1343.0,0.0,0.1790793510153889,2.0,1.075881354510784,4.0,13.0,3.0,0.0,D M S,Sheffield United
Caoimhin Kelleher,10.0,900.0,0.0,0.0,0.0,0.0448078326880931,0.0,1.0,0.0,0.0,GK,Liverpool
Felipe,7.0,369.0,0.0,0.17141835950315,0.0,0.0380167607218027,3.0,2.0,3.0,0.0,D S,Nottingham Forest
Sofyan Amrabat,21.0,922.0,0.0,0.0737247169017791,0.0,0.2675175704061985,3.0,6.0,6.0,0.0,D M S,Manchester United
Igor Julio,24.0,1640.0,0.0,0.2177427187561988,0.0,0.623787728138268,5.0,7.0,4.0,0.0,D S,Brighton
Billy Gilmour,30.0,2154.0,0.0,0.7286842339672148,1.0,2.0903379926458,25.0,22.0,8.0,1.0,M S,Brighton
Marvelous Nakamba,13.0,1140.0,0.0,0.1364169279113412,0.0,0.3258170820772648,5.0,7.0,5.0,0.0,M,Luton
Reece James,10.0,422.0,0.0,0.3389957156032324,2.0,2.679515279829502,7.0,11.0,0.0,2.0,D S,Chelsea
Lloyd Kelly,23.0,1567.0,0.0,0.3132251426577568,1.0,1.6466527543962002,4.0,9.0,2.0,0.0,D S,Bournemouth
Boubacar Traore,24.0,760.0,0.0,0.2670730333775282,0.0,0.2813335740938782,11.0,5.0,4.0,0.0,M S,Wolverhampton Wanderers
Giovanni Reyna,9.0,206.0,0.0,0.2087921611964702,1.0,0.3924582097679376,5.0,6.0,0.0,0.0,M S,Nottingham Forest
Neco Williams,26.0,1622.0,0.0,0.934250148013234,1.0,1.1115016266703606,15.0,11.0,4.0,0.0,D M S,Nottingham Forest
Tariq Lamptey,19.0,923.0,0.0,0.570682673715055,3.0,1.210934355854988,6.0,10.0,3.0,0.0,D M S,Brighton
Tommy Doyle,26.0,1175.0,0.0,0.4136425852775574,0.0,0.6756884949281812,14.0,8.0,2.0,0.0,M S,Wolverhampton Wanderers
Luke Thomas,12.0,940.0,0.0,0.6857008039951324,0.0,0.06999615393579,6.0,2.0,3.0,0.0,D M S,Sheffield United
Cheick Oumar Doucoure,11.0,926.0,0.0,0.1988849276676774,0.0,0.7361565185710788,6.0,10.0,2.0,0.0,M,Crystal Palace
Kalvin Phillips,12.0,358.0,0.0,0.1942080287262797,0.0,0.0,5.0,0.0,1.0,1.0,M S,"Manchester City,West Ham"
Wes Foderingham,30.0,2644.0,0.0,0.0,0.0,0.0650442615151405,0.0,1.0,2.0,0.0,GK S,Sheffield United
Fabio Silva,8.0,257.0,0.0,0.913575079292059,0.0,0.2420392744243145,7.0,4.0,2.0,0.0,F S,Wolverhampton Wanderers
Stefan Ortega Moreno,9.0,626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK S,Manchester City
Donny van de Beek,1.0,1.0,0.0,0.0322848819196224,0.0,0.0656888633966445,1.0,1.0,0.0,0.0,S,Manchester United
Konstantinos Tsimikas,13.0,667.0,0.0,0.0927343983203172,3.0,1.1678164629265666,3.0,16.0,0.0,0.0,D S,Liverpool
Guglielmo Vicario,38.0,3420.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,GK,Tottenham
Mikkel Damsgaard,23.0,797.0,0.0,0.8753717057406902,2.0,2.291341120377183,9.0,10.0,2.0,0.0,M S,Brentford
Max Lowe,10.0,499.0,0.0,0.9397587776184082,0.0,0.012994728051126,2.0,1.0,1.0,0.0,D S,Sheffield United
Ivo Grbic,9.0,776.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,GK,Sheffield United
Antonee Robinson,37.0,3290.0,0.0,0.8533244347199798,6.0,3.767484251409769,16.0,31.0,6.0,0.0,D,Fulham
Aaron Hickey,9.0,749.0,0.0,0.1934873256832361,0.0,0.0474643521010875,7.0,1.0,5.0,0.0,D,Brentford
Rúben Dias,30.0,2552.0,0.0,1.828122090548277,0.0,0.600502266548574,20.0,7.0,0.0,0.0,D S,Manchester City
Vladimir Coufal,36.0,3153.0,0.0,0.2854840941727161,7.0,4.300948256626725,8.0,33.0,5.0,1.0,D,West Ham
Malo Gusto,27.0,1754.0,0.0,1.700457390397787,6.0,5.507309950888157,15.0,32.0,7.0,1.0,D S,Chelsea
James Trafford,28.0,2520.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,GK,Burnley
Robert Sánchez,16.0,1438.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,GK,Chelsea
Radu Dragusin,9.0,417.0,0.0,0.0733767077326774,0.0,0.0,1.0,0.0,1.0,0.0,D S,Tottenham
Elliot Anderson,21.0,997.0,0.0,1.341955564916134,2.0,1.5226023513823748,19.0,15.0,3.0,0.0,D F M S,Newcastle United
Antwoine Hackford,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Sheffield United
Naouirou Ahamada,20.0,282.0,0.0,0.5298433359712362,0.0,0.0564648136496543,9.0,1.0,2.0,1.0,S,Crystal Palace
Jakub Moder,17.0,586.0,0.0,0.8932432122528553,0.0,0.7571170665323734,11.0,5.0,2.0,0.0,D M S,Brighton
Tyler Onyango,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Everton
