h_a,xG,xGA,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,time
a,2.40074,0.311032,0.311032,"{'att': 237, 'def': 15}","{'att': 463, 'def': 14}",9.0,4.0,3.0,0.0,2.7761,w,2023-08-11 19:00:00,1.0,0.0,0.0,3.0,2.089708,
h,1.22528,0.257154,0.257154,"{'att': 286, 'def': 21}","{'att': 419, 'def': 27}",9.0,5.0,1.0,0.0,2.2204,w,2023-08-19 19:00:00,1.0,0.0,0.0,3.0,0.968126,
a,3.84804,0.762232,0.762232,"{'att': 92, 'def': 14}","{'att': 406, 'def': 11}",22.0,3.0,2.0,1.0,2.8816999999999995,w,2023-08-27 13:00:00,1.0,0.0,0.0,3.0,2.324638,
h,2.00152,1.46427,1.46427,"{'att': 223, 'def': 28}","{'att': 490, 'def': 20}",8.0,4.0,5.0,1.0,1.8772,w,2023-09-02 14:00:00,1.0,0.0,0.0,3.0,-0.2239199999999999,
a,4.15046,0.895632,0.895632,"{'att': 228, 'def': 20}","{'att': 338, 'def': 8}",16.0,1.0,3.0,1.0,2.8927,w,2023-09-16 14:00:00,1.0,0.0,0.0,3.0,3.254828,
h,1.33984,0.729109,0.729109,"{'att': 189, 'def': 9}","{'att': 269, 'def': 19}",7.0,7.0,2.0,0.0,1.9151,w,2023-09-23 14:00:00,1.0,0.0,0.0,3.0,0.6107309999999999,
a,0.98075,0.673985,0.673985,"{'att': 149, 'def': 28}","{'att': 209, 'def': 13}",13.0,1.0,1.0,2.0,1.5513,l,2023-09-30 14:00:00,0.0,0.0,1.0,0.0,0.306765,
a,0.858071,0.386558,0.386558,"{'att': 292, 'def': 19}","{'att': 352, 'def': 28}",7.0,9.0,0.0,1.0,1.8546,l,2023-10-08 15:30:00,0.0,0.0,1.0,0.0,0.471513,
h,0.962509,0.963733,0.963733,"{'att': 350, 'def': 24}","{'att': 337, 'def': 23}",7.0,4.0,2.0,1.0,1.3387,w,2023-10-21 14:00:00,1.0,0.0,0.0,3.0,-0.001224,
a,4.54595,0.714628,0.714628,"{'att': 229, 'def': 12}","{'att': 297, 'def': 14}",21.0,4.0,3.0,0.0,2.9637,w,2023-10-29 15:30:00,1.0,0.0,0.0,3.0,3.070152,
h,2.39949,0.643127,0.643127,"{'att': 258, 'def': 12}","{'att': 378, 'def': 13}",18.0,6.0,6.0,1.0,2.5352,w,2023-11-04 15:00:00,1.0,0.0,0.0,3.0,1.756363,
a,3.19324,3.47238,2.71121,"{'att': 293, 'def': 24}","{'att': 286, 'def': 16}",17.0,4.0,4.0,4.0,1.1928,d,2023-11-12 16:30:00,0.0,1.0,0.0,1.0,-0.2791299999999999,
h,1.79622,0.766278,0.766278,"{'att': 246, 'def': 21}","{'att': 345, 'def': 15}",11.0,6.0,1.0,1.0,2.166,d,2023-11-25 12:30:00,0.0,1.0,0.0,1.0,1.029942,
h,2.90729,0.433077,0.433077,"{'att': 325, 'def': 23}","{'att': 282, 'def': 13}",12.0,3.0,3.0,3.0,2.7992,d,2023-12-03 16:30:00,0.0,1.0,0.0,1.0,2.474213,
