name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,selected,total_points,was_home
Vladimir Coufal,DEF,West Ham,0,0,0,0.0,2022-03-20,0,Tottenham,0,286481,0,False
Vladimir Coufal,DEF,West Ham,0,0,3,1.3,2021-12-26,90,Southampton,0,347266,1,True
Vladimir Coufal,DEF,West Ham,0,0,1,3.1,2021-12-28,90,Watford,0,332390,2,False
Vladimir Coufal,DEF,West Ham,0,0,2,0.0,2021-12-15,66,Arsenal,0,351005,-2,False
Vladimir Coufal,DEF,West Ham,0,0,2,5.0,2021-08-15,90,Newcastle United,0,932002,1,False
Vladimir Coufal,DEF,West Ham,0,0,1,5.0,2021-08-23,90,Leeds United,0,920647,5,True
Vladimir Coufal,DEF,West Ham,0,0,0,0.0,2022-02-27,0,Wolverhampton,0,367971,0,True
Vladimir Coufal,DEF,West Ham,0,0,2,4.6,2021-08-28,90,Crystal Palace,0,956620,1,True
Vladimir Coufal,DEF,West Ham,0,0,0,0.1,2021-10-31,1,Aston Villa,0,414723,1,False
Vladimir Coufal,DEF,West Ham,0,0,2,5.9,2022-01-01,90,Crystal Palace,0,680590,1,False
Vladimir Coufal,DEF,West Ham,2,1,0,6.4,2022-01-12,90,Norwich,0,680590,11,True
Vladimir Coufal,DEF,West Ham,0,0,1,1.7,2021-11-28,29,Manchester City,0,344122,1,False
Vladimir Coufal,DEF,West Ham,0,0,2,5.7,2021-12-04,90,Chelsea,0,324504,3,True
Vladimir Coufal,DEF,West Ham,0,1,0,3.2,2022-02-08,90,Watford,0,583034,5,True
Vladimir Coufal,DEF,West Ham,0,0,0,0.0,2021-11-07,6,Liverpool,0,393419,1,True
Vladimir Coufal,DEF,West Ham,0,0,1,8.6,2021-12-01,90,Brighton,0,333203,2,True
Vladimir Coufal,DEF,West Ham,0,1,0,1.4,2021-12-12,90,Burnley,0,349888,6,False
Vladimir Coufal,DEF,West Ham,0,0,0,0.0,2021-11-20,0,Wolverhampton,0,371780,0,False
Vladimir Coufal,DEF,West Ham,0,0,3,6.6,2022-01-16,90,Leicester City,0,561044,1,True
Vladimir Coufal,DEF,West Ham,0,0,2,1.3,2022-02-13,66,Leeds United,0,575605,1,False
Vladimir Coufal,DEF,West Ham,1,1,0,1.3,2022-01-22,69,Manchester United,0,570858,7,False
Vladimir Coufal,DEF,West Ham,0,0,0,0.0,2022-03-13,0,Aston Villa,0,301362,0,True
Vladimir Coufal,DEF,West Ham,0,0,0,0.0,2022-02-19,0,Newcastle United,0,505565,0,True
Vladimir Coufal,DEF,West Ham,0,0,0,0.0,2022-03-05,0,Liverpool,0,325891,0,False
Vladimir Coufal,DEF,West Ham,0,0,0,0.0,2022-04-03,0,Everton,0,283673,0,True
Vladimir Coufal,DEF,West Ham,0,0,2,4.2,2022-04-10,90,Brentford,0,283022,1,False
Vladimir Coufal,DEF,West Ham,0,0,2,5.0,2022-05-01,90,Arsenal,0,279326,4,True
Vladimir Coufal,DEF,West Ham,0,0,1,1.0,2022-04-24,90,Chelsea,0,280361,2,False
Vladimir Coufal,DEF,West Ham,0,0,0,0.0,2022-04-17,0,Burnley,0,282979,0,True
Vladimir Coufal,DEF,West Ham,0,1,0,2.2,2021-09-11,90,Southampton,0,822982,6,False
Vladimir Coufal,DEF,West Ham,0,0,2,2.4,2021-09-19,90,Manchester United,0,732168,1,True
Vladimir Coufal,DEF,West Ham,0,0,1,6.1,2021-09-25,90,Leicester City,0,712696,2,False
Vladimir Coufal,DEF,West Ham,0,0,0,0.0,2021-10-24,0,Tottenham,0,458716,0,True
Vladimir Coufal,DEF,West Ham,0,0,2,5.9,2021-10-03,90,Brentford,0,623012,1,True
Vladimir Coufal,DEF,West Ham,0,0,0,0.0,2021-10-17,0,Everton,0,522850,0,False
Vladimir Coufal,DEF,West Ham,0,0,2,0.0,2022-05-22,80,Brighton,0,283496,1,False
Vladimir Coufal,DEF,West Ham,0,0,2,0.4,2022-05-15,90,Manchester City,1,279438,-2,True
Vladimir Coufal,DEF,West Ham,0,1,0,2.2,2022-05-08,90,Norwich,0,281258,6,False
