name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,selected,total_points,was_home
Taylor Richards,MID,Brighton,0,0,0,0.0,2022-02-26,0,Aston Villa,2322,0,True
Taylor Richards,MID,Brighton,0,0,0,0.0,2022-01-02,0,Everton,2645,0,False
Taylor Richards,MID,Brighton,0,0,0,0.0,2022-01-14,0,Crystal Palace,2542,0,True
Taylor Richards,MID,Brighton,0,0,0,0.0,2022-01-18,0,Chelsea,2542,0,True
Taylor Richards,MID,Brighton,0,0,0,0.0,2021-12-26,0,Brentford,2682,0,True
Taylor Richards,MID,Brighton,0,0,0,0.0,2021-12-29,0,Chelsea,2647,0,False
Taylor Richards,MID,Brighton,0,0,0,0.3,2021-12-15,6,Wolverhampton,2677,1,True
Taylor Richards,MID,Brighton,0,0,0,0.0,2021-08-14,0,Burnley,0,0,False
Taylor Richards,MID,Brighton,0,0,0,0.0,2021-08-21,0,Watford,751,0,True
Taylor Richards,MID,Brighton,0,0,0,0.0,2021-10-30,0,Liverpool,2949,0,False
Taylor Richards,MID,Brighton,0,0,0,2.2,2021-08-28,17,Everton,1162,1,True
Taylor Richards,MID,Brighton,0,0,0,0.0,2021-11-27,0,Leicester City,2706,0,True
Taylor Richards,MID,Brighton,0,0,0,0.0,2021-12-04,0,Southampton,2805,0,False
Taylor Richards,MID,Brighton,0,0,0,0.0,2021-11-06,0,Newcastle United,2653,0,True
Taylor Richards,MID,Brighton,0,0,0,0.0,2021-11-20,0,Aston Villa,2729,0,False
Taylor Richards,MID,Brighton,0,0,0,0.0,2021-12-01,0,West Ham,2719,0,False
Taylor Richards,MID,Brighton,0,0,0,0.0,2022-02-12,0,Watford,2396,0,False
Taylor Richards,MID,Brighton,0,0,0,0.0,2022-02-15,0,Manchester United,2396,0,False
Taylor Richards,MID,Brighton,0,0,0,0.0,2022-01-23,0,Leeds United,2484,0,False
Taylor Richards,MID,Brighton,0,0,0,0.0,2022-03-12,0,Liverpool,2289,0,True
Taylor Richards,MID,Brighton,0,0,0,0.0,2022-03-16,0,Tottenham,2289,0,True
Taylor Richards,MID,Brighton,0,0,0,0.0,2022-04-02,0,Norwich,2253,0,True
Taylor Richards,MID,Brighton,0,0,0,0.0,2022-04-09,0,Arsenal,2246,0,False
Taylor Richards,MID,Brighton,0,0,0,0.0,2022-03-05,0,Newcastle United,2312,0,False
Taylor Richards,MID,Brighton,0,0,0,0.0,2022-02-19,0,Burnley,2359,0,True
Taylor Richards,MID,Brighton,0,0,0,0.0,2022-04-16,0,Tottenham,2230,0,False
Taylor Richards,MID,Brighton,0,0,0,0.0,2022-04-20,0,Manchester City,2230,0,False
Taylor Richards,MID,Brighton,0,0,0,0.0,2022-04-24,0,Southampton,2216,0,True
Taylor Richards,MID,Brighton,0,0,0,0.0,2022-04-30,0,Wolverhampton,2209,0,False
Taylor Richards,MID,Brighton,0,0,0,0.0,2021-09-11,0,Brentford,2226,0,False
Taylor Richards,MID,Brighton,0,0,0,0.0,2021-09-19,0,Leeds United,2621,0,True
Taylor Richards,MID,Brighton,0,0,0,0.0,2021-09-27,0,Crystal Palace,2951,0,False
Taylor Richards,MID,Brighton,0,0,0,0.0,2021-10-23,0,Manchester City,2990,0,True
Taylor Richards,MID,Brighton,0,0,0,0.0,2021-10-02,0,Arsenal,2998,0,True
Taylor Richards,MID,Brighton,0,0,0,0.0,2021-10-16,0,Norwich,3021,0,False
Taylor Richards,MID,Brighton,0,0,0,0.0,2022-05-22,0,West Ham,2180,0,True
Taylor Richards,MID,Brighton,0,0,0,0.0,2022-05-07,0,Manchester United,2201,0,True
Taylor Richards,MID,Brighton,0,0,0,0.0,2022-05-15,0,Leicester City,2195,0,False
