name,position,team,bonus,clean_sheets,goals_conceded,kickoff_time,minutes,opponent_team,own_goals,penalties_saved,saves,selected,total_points,was_home
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2022-02-26,0,Crystal Palace,0,0,0,408,0,False
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2022-03-01,0,Leeds United,0,0,0,408,0,True
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2022-01-02,0,Leicester City,0,0,0,423,0,False
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2021-12-30,0,Manchester United,0,0,0,426,0,False
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2021-08-14,0,Brighton,0,0,0,830,0,True
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2022-04-02,0,Manchester City,0,0,0,408,0,True
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2022-04-06,0,Everton,0,0,0,408,0,True
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2022-04-10,0,Norwich,0,0,0,408,0,False
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2021-08-21,0,Liverpool,0,0,0,694,0,False
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2021-10-30,0,Brentford,0,0,0,469,0,True
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2021-08-29,0,Leicester City,0,0,0,634,0,True
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2021-12-04,0,Newcastle United,0,0,0,441,0,False
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2021-12-12,0,West Ham,0,0,0,433,0,True
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2022-02-08,0,Manchester United,0,0,0,413,0,True
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2021-11-06,0,Chelsea,0,0,0,461,0,False
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2021-12-01,0,Wolverhampton,0,0,0,445,0,False
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2021-11-20,0,Crystal Palace,0,0,0,455,0,True
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2022-02-13,0,Liverpool,0,0,0,412,0,True
Bailey Peacock-Farrell,GKP,Burnley,0,0,0,2022-05-15,0,Tottenham,0,0,0,401,0,False
Bailey Peacock-Farrell,GKP,Burnley,0,0,0,2022-05-19,0,Aston Villa,0,0,0,401,0,False
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2022-04-17,0,West Ham,0,0,0,406,0,False
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2022-04-21,0,Southampton,0,0,0,406,0,True
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2022-04-24,0,Wolverhampton,0,0,0,405,0,True
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2022-04-30,0,Watford,0,0,0,406,0,False
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2022-01-23,0,Arsenal,0,0,0,414,0,False
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2022-02-05,0,Watford,0,0,0,414,0,True
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2022-03-12,0,Brentford,0,0,0,408,0,False
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2022-02-19,0,Brighton,0,0,0,409,0,False
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2022-02-23,0,Tottenham,0,0,0,409,0,True
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2022-03-05,0,Chelsea,0,0,0,408,0,True
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2021-09-13,0,Everton,0,0,0,557,0,False
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2021-09-18,0,Arsenal,0,0,0,529,0,True
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2021-09-25,0,Leeds United,0,0,0,505,0,False
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2021-10-23,0,Southampton,0,0,0,471,0,False
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2021-10-02,0,Norwich,0,0,0,489,0,True
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2021-10-16,0,Manchester City,0,0,0,473,0,False
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2022-05-22,0,Newcastle United,0,0,0,401,0,True
Bailey Peacock-Farrell,GK,Burnley,0,0,0,2022-05-07,0,Aston Villa,0,0,0,403,0,True
