name,position,team,bonus,clean_sheets,goals_conceded,kickoff_time,minutes,opponent_team,own_goals,penalties_saved,saves,selected,total_points,was_home
James Storer,GK,Wolves,0,0,0,2022-02-27,0,West Ham,0,0,0,13740,0,False
James Storer,GK,Wolves,0,0,0,2022-01-03,0,Manchester United,0,0,0,13267,0,False
James Storer,GK,Wolves,0,0,0,2022-01-15,0,Southampton,0,0,0,12977,0,True
James Storer,GK,Wolves,0,0,0,2022-03-18,0,Leicester City,0,0,0,13604,0,True
James Storer,GK,Wolves,0,0,0,2021-12-19,0,Chelsea,0,0,0,17906,0,True
James Storer,GK,Wolves,0,0,0,2021-12-15,0,Brighton,0,0,0,8535,0,False
James Storer,GK,Wolves,0,0,0,2021-11-01,0,Everton,0,0,0,0,0,True
James Storer,GK,Wolves,0,0,0,2021-11-27,0,Norwich,0,0,0,3729,0,False
James Storer,GK,Wolves,0,0,0,2021-12-04,0,Liverpool,0,0,0,6657,0,True
James Storer,GK,Wolves,0,0,0,2022-02-10,0,Arsenal,0,0,0,12399,0,True
James Storer,GK,Wolves,0,0,0,2021-12-01,0,Burnley,0,0,0,4260,0,True
James Storer,GK,Wolves,0,0,0,2021-11-20,0,West Ham,0,0,0,2699,0,True
James Storer,GK,Wolves,0,0,0,2021-12-11,0,Manchester City,0,0,0,8071,0,False
James Storer,GK,Wolves,0,0,0,2021-11-06,0,Crystal Palace,0,0,0,1005,0,False
James Storer,GK,Wolves,0,0,0,2022-02-13,0,Tottenham,0,0,0,12682,0,False
James Storer,GK,Wolves,0,0,0,2022-01-22,0,Brentford,0,0,0,12202,0,False
James Storer,GK,Wolves,0,0,0,2022-03-13,0,Everton,0,0,0,13267,0,False
James Storer,GK,Wolves,0,0,0,2022-03-05,0,Crystal Palace,0,0,0,12688,0,True
James Storer,GK,Wolves,0,0,0,2022-03-10,0,Watford,0,0,0,12688,0,True
James Storer,GK,Wolves,0,0,0,2022-02-20,0,Leeds United,0,0,0,13433,0,True
James Storer,GK,Wolves,0,0,0,2022-02-24,0,Arsenal,0,0,0,13433,0,False
James Storer,GK,Wolves,0,0,0,2022-04-02,0,Aston Villa,0,0,0,13170,0,True
James Storer,GK,Wolves,0,0,0,2022-04-08,0,Newcastle United,0,0,0,13500,0,False
James Storer,GK,Wolves,0,0,0,2022-04-24,0,Burnley,0,0,0,13685,0,False
James Storer,GK,Wolves,0,0,0,2022-04-30,0,Brighton,0,0,0,13784,0,True
James Storer,GK,Wolves,0,0,0,2022-05-22,0,Liverpool,0,0,0,15156,0,False
James Storer,GK,Wolves,0,0,0,2022-05-07,0,Chelsea,0,0,0,14631,0,False
James Storer,GK,Wolves,0,0,0,2022-05-11,0,Manchester City,0,0,0,14631,0,True
James Storer,GKP,Wolves,0,0,0,2022-05-15,0,Norwich,0,0,0,14966,0,True
