name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,selected,total_points,was_home
Halil Dervişoğlu,FWD,Brentford,0,0.0,2022-03-20,0,Leeds United,1073,0,False
Halil Dervişoğlu,FWD,Brentford,0,0.0,2022-02-26,0,Newcastle United,1080,0,True
Halil Dervişoğlu,FWD,Brentford,0,0.0,2022-01-02,0,Aston Villa,1116,0,True
Halil Dervişoğlu,FWD,Brentford,0,0.0,2022-01-11,0,Southampton,1116,0,False
Halil Dervişoğlu,FWD,Brentford,0,0.0,2022-01-16,0,Liverpool,1104,0,False
Halil Dervişoğlu,FWD,Brentford,0,0.0,2022-01-19,0,Manchester United,1104,0,True
Halil Dervişoğlu,FWD,Brentford,0,0.0,2021-12-26,0,Brighton,1121,0,False
Halil Dervişoğlu,FWD,Brentford,0,0.0,2021-12-29,0,Manchester City,1120,0,True
Halil Dervişoğlu,FWD,Brentford,0,0.0,2021-08-13,0,Arsenal,3289,0,True
Halil Dervişoğlu,FWD,Brentford,0,0.0,2021-11-28,0,Everton,1186,0,True
Halil Dervişoğlu,FWD,Brentford,0,0.0,2021-10-30,0,Burnley,1273,0,False
Halil Dervişoğlu,FWD,Brentford,0,0.0,2021-08-21,0,Crystal Palace,3436,0,False
Halil Dervişoğlu,FWD,Brentford,0,0.0,2021-08-28,0,Aston Villa,3138,0,False
Halil Dervişoğlu,FWD,Brentford,0,0.0,2021-12-10,0,Watford,1147,0,True
Halil Dervişoğlu,FWD,Brentford,0,0.0,2021-12-05,0,Leicester City,1167,0,False
Halil Dervişoğlu,FWD,Brentford,0,0.0,2022-02-09,0,Manchester City,1091,0,False
Halil Dervişoğlu,FWD,Brentford,0,0.0,2021-11-06,0,Norwich,1240,0,True
Halil Dervişoğlu,FWD,Brentford,0,0.0,2021-12-02,0,Tottenham,1179,0,False
Halil Dervişoğlu,FWD,Brentford,0,0.0,2021-11-20,0,Newcastle United,1207,0,False
Halil Dervişoğlu,FWD,Brentford,0,0.0,2022-02-12,0,Crystal Palace,1090,0,True
Halil Dervişoğlu,FWD,Brentford,0,0.0,2022-04-02,0,Chelsea,1073,0,False
Halil Dervişoğlu,FWD,Brentford,0,0.0,2022-04-10,0,West Ham,1072,0,True
Halil Dervişoğlu,FWD,Brentford,0,0.0,2022-01-22,0,Wolverhampton,1101,0,True
Halil Dervişoğlu,FWD,Brentford,0,0.0,2022-05-02,0,Manchester United,1064,0,False
Halil Dervişoğlu,FWD,Brentford,0,0.0,2022-04-23,0,Tottenham,1064,0,True
Halil Dervişoğlu,FWD,Brentford,0,0.0,2022-04-16,0,Watford,1069,0,False
Halil Dervişoğlu,FWD,Brentford,0,0.0,2022-03-12,0,Burnley,1078,0,True
Halil Dervişoğlu,FWD,Brentford,0,0.0,2022-02-19,0,Arsenal,1085,0,False
Halil Dervişoğlu,FWD,Brentford,0,0.0,2022-03-05,0,Norwich,1080,0,False
Halil Dervişoğlu,FWD,Brentford,0,0.0,2021-09-11,0,Brighton,2374,0,True
Halil Dervişoğlu,FWD,Brentford,0,0.0,2021-09-18,0,Wolverhampton,1874,0,False
Halil Dervişoğlu,FWD,Brentford,0,0.0,2021-09-25,0,Liverpool,1604,0,True
Halil Dervişoğlu,FWD,Brentford,0,0.0,2021-10-24,0,Leeds United,1320,0,True
Halil Dervişoğlu,FWD,Brentford,0,0.0,2021-10-03,0,West Ham,1455,0,False
Halil Dervişoğlu,FWD,Brentford,0,0.0,2021-10-16,0,Chelsea,1370,0,True
Halil Dervişoğlu,FWD,Brentford,0,0.0,2022-05-22,0,Leicester City,1059,0,True
Halil Dervişoğlu,FWD,Brentford,0,0.0,2022-05-15,0,Everton,1063,0,False
Halil Dervişoğlu,FWD,Brentford,0,0.0,2022-05-07,0,Southampton,1063,0,True
