name,position,team,bonus,clean_sheets,goals_conceded,kickoff_time,minutes,opponent_team,own_goals,penalties_saved,saves,selected,total_points,was_home
Scott Carson,GK,Man City,0,0,0,2022-02-26,0,Everton,0,0,0,137774,0,False
Scott Carson,GK,Man City,0,0,0,2022-01-01,0,Arsenal,0,0,0,189744,0,False
Scott Carson,GK,Man City,0,0,0,2022-01-15,0,Chelsea,0,0,0,168887,0,True
Scott Carson,GK,Man City,0,0,0,2021-12-19,0,Newcastle United,0,0,0,176626,0,False
Scott Carson,GK,Man City,0,0,0,2022-04-02,0,Burnley,0,0,0,139163,0,False
Scott Carson,GK,Man City,0,0,0,2022-04-10,0,Liverpool,0,0,0,139099,0,True
Scott Carson,GK,Man City,0,0,0,2021-12-26,0,Leeds United,0,0,0,202324,0,True
Scott Carson,GK,Man City,0,0,0,2021-12-14,0,Leicester City,0,0,0,169515,0,True
Scott Carson,GK,Man City,0,0,0,2021-12-29,0,Brentford,0,0,0,191740,0,False
Scott Carson,GK,Man City,0,0,0,2022-04-20,0,Brighton,0,0,0,140386,0,True
Scott Carson,GK,Man City,0,0,0,2022-04-30,0,Leicester City,0,0,0,134943,0,False
Scott Carson,GK,Man City,0,0,0,2022-04-23,0,Watford,0,0,0,136980,0,True
Scott Carson,GK,Man City,0,0,0,2021-11-28,0,West Ham,0,0,0,113416,0,True
Scott Carson,GK,Man City,0,0,0,2021-12-11,0,Wolverhampton,0,0,0,172987,0,True
Scott Carson,GK,Man City,0,0,0,2021-10-30,0,Crystal Palace,0,0,0,58352,0,True
Scott Carson,GK,Man City,0,0,0,2022-02-09,0,Brentford,0,0,0,148337,0,True
Scott Carson,GK,Man City,0,0,0,2021-12-01,0,Aston Villa,0,0,0,124392,0,False
Scott Carson,GK,Man City,0,0,0,2021-11-06,0,Manchester United,0,0,0,84795,0,False
Scott Carson,GK,Man City,0,0,0,2021-12-04,0,Watford,0,0,0,141455,0,False
Scott Carson,GK,Man City,0,0,0,2021-11-21,0,Everton,0,0,0,100497,0,True
Scott Carson,GK,Man City,0,0,0,2022-02-12,0,Norwich,0,0,0,145213,0,False
Scott Carson,GK,Man City,0,0,0,2022-01-22,0,Southampton,0,0,0,153001,0,False
Scott Carson,GK,Man City,0,0,0,2022-03-14,0,Crystal Palace,0,0,0,142306,0,False
Scott Carson,GK,Man City,0,0,0,2022-02-19,0,Tottenham,0,0,0,148459,0,True
Scott Carson,GK,Man City,0,0,0,2022-03-06,0,Manchester United,0,0,0,137798,0,True
Scott Carson,GK,Man City,0,0,0,2021-09-11,0,Leeds United,0,0,0,33682,0,False
Scott Carson,GK,Man City,0,0,0,2021-09-18,0,Southampton,0,0,0,34352,0,True
Scott Carson,GK,Man City,0,0,0,2021-09-25,0,Chelsea,0,0,0,33874,0,False
Scott Carson,GK,Man City,0,0,0,2021-10-03,0,Liverpool,0,0,0,32898,0,False
Scott Carson,GKP,Man City,0,0,0,2022-05-15,0,West Ham,0,0,0,132668,0,False
Scott Carson,GK,Man City,0,0,0,2021-10-16,0,Burnley,0,0,0,32646,0,True
Scott Carson,GK,Man City,0,0,0,2021-10-23,0,Brighton,0,0,0,31427,0,False
Scott Carson,GK,Man City,0,0,0,2022-05-22,0,Aston Villa,0,0,0,129304,0,True
Scott Carson,GK,Man City,0,0,0,2022-05-08,0,Newcastle United,0,0,0,130169,0,True
Scott Carson,GK,Man City,0,0,0,2022-05-11,0,Wolverhampton,0,0,0,130169,0,False
