name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,selected,total_points,was_home
Steven Bergwijn,MID,Spurs,0,0,0,0.0,2021-12-19,0,Liverpool,28048,0,True
Steven Bergwijn,MID,Spurs,0,0,0,1.4,2022-03-20,1,West Ham,33662,1,True
Steven Bergwijn,MID,Spurs,0,0,0,4.8,2021-12-26,26,Crystal Palace,28638,1,True
Steven Bergwijn,MID,Spurs,0,0,0,0.0,2021-12-28,0,Southampton,28877,0,False
Steven Bergwijn,MID,Spurs,0,1,0,6.8,2021-08-15,76,Manchester City,18514,6,True
Steven Bergwijn,MID,Spurs,0,1,0,6.9,2021-08-22,90,Wolverhampton,53698,3,False
Steven Bergwijn,MID,Spurs,0,1,0,4.8,2021-08-29,67,Watford,73146,6,True
Steven Bergwijn,MID,Spurs,0,0,2,0.2,2021-10-30,36,Manchester United,28477,1,True
Steven Bergwijn,MID,Spurs,0,0,0,0.0,2021-11-21,0,Leicester City,28681,0,True
Steven Bergwijn,MID,Spurs,0,0,0,0.2,2021-12-05,10,Norwich,28339,1,True
Steven Bergwijn,MID,Spurs,0,0,0,0.0,2021-11-07,0,Everton,28274,0,False
Steven Bergwijn,MID,Spurs,0,0,0,0.0,2022-02-09,7,Southampton,38721,1,True
Steven Bergwijn,MID,Spurs,0,0,0,0.0,2021-12-02,3,Brentford,28581,1,True
Steven Bergwijn,MID,Spurs,0,0,0,0.3,2022-02-26,12,Leicester City,36796,1,False
Steven Bergwijn,MID,Spurs,0,0,0,0.8,2022-02-13,19,Wolverhampton,38056,1,True
Steven Bergwijn,MID,Spurs,0,0,2,2.7,2022-01-23,90,Chelsea,31623,2,False
Steven Bergwijn,MID,Spurs,0,0,0,0.0,2022-01-01,0,Watford,27234,0,False
Steven Bergwijn,MID,Spurs,3,0,0,12.4,2022-01-19,11,Leeds United,26508,13,False
Steven Bergwijn,MID,Spurs,0,0,0,0.1,2022-03-12,3,Manchester United,34212,1,False
Steven Bergwijn,MID,Spurs,0,0,0,0.0,2022-03-16,1,Brighton,34212,1,False
Steven Bergwijn,MID,Spurs,0,0,0,2.9,2022-03-07,23,Everton,34593,1,True
Steven Bergwijn,MID,Spurs,0,0,0,0.0,2022-02-19,0,Manchester City,41145,0,False
Steven Bergwijn,MID,Spurs,0,0,0,2.2,2022-02-23,11,Burnley,41145,1,False
Steven Bergwijn,MID,Spurs,0,0,0,0.4,2022-04-09,6,Aston Villa,33631,1,False
Steven Bergwijn,MID,Spurs,0,0,0,5.4,2022-04-03,9,Newcastle United,33209,6,True
Steven Bergwijn,MID,Spurs,0,0,0,0.0,2022-05-15,0,Burnley,32708,0,True
Steven Bergwijn,MID,Spurs,0,0,1,0.2,2022-05-01,8,Leeds United,32900,1,True
Steven Bergwijn,MID,Spurs,0,0,0,0.0,2021-09-11,0,Crystal Palace,100227,0,False
Steven Bergwijn,MID,Spurs,0,0,0,0.0,2021-09-19,0,Chelsea,64366,0,True
Steven Bergwijn,MID,Spurs,0,0,0,0.0,2021-09-26,0,Arsenal,44025,0,False
Steven Bergwijn,MID,Spurs,0,0,0,0.0,2022-04-23,0,Brentford,33112,0,False
Steven Bergwijn,MID,Spurs,0,0,0,0.0,2021-10-03,0,Aston Villa,33557,0,True
Steven Bergwijn,MID,Spurs,0,0,0,0.0,2021-10-17,0,Newcastle United,29305,0,False
Steven Bergwijn,MID,Spurs,0,0,0,0.0,2022-05-22,17,Norwich,32688,1,False
Steven Bergwijn,MID,Spurs,0,0,0,0.0,2021-10-24,1,West Ham,28913,1,False
Steven Bergwijn,MID,Spurs,0,0,1,0.2,2022-04-16,2,Brighton,33288,1,True
Steven Bergwijn,MID,Spurs,0,0,0,0.3,2022-05-07,1,Liverpool,32673,1,False
Steven Bergwijn,MID,Spurs,0,0,0,0.7,2022-05-12,18,Arsenal,32673,1,True
