name,position,team,bonus,clean_sheets,goals_conceded,kickoff_time,minutes,opponent_team,own_goals,penalties_saved,saves,selected,total_points,was_home
Ellery Balcombe,GK,Brentford,0,0,0,2022-03-20,0,Leeds United,0,0,0,596,0,False
Ellery Balcombe,GK,Brentford,0,0,0,2021-12-26,0,Brighton,0,0,0,690,0,False
Ellery Balcombe,GK,Brentford,0,0,0,2021-12-29,0,Manchester City,0,0,0,686,0,True
Ellery Balcombe,GK,Brentford,0,0,0,2021-08-13,0,Arsenal,0,0,0,1347,0,True
Ellery Balcombe,GK,Brentford,0,0,0,2021-08-21,0,Crystal Palace,0,0,0,1223,0,False
Ellery Balcombe,GK,Brentford,0,0,0,2021-08-28,0,Aston Villa,0,0,0,1143,0,False
Ellery Balcombe,GK,Brentford,0,0,0,2021-11-28,0,Everton,0,0,0,749,0,True
Ellery Balcombe,GK,Brentford,0,0,0,2021-10-30,0,Burnley,0,0,0,779,0,False
Ellery Balcombe,GK,Brentford,0,0,0,2021-12-10,0,Watford,0,0,0,720,0,True
Ellery Balcombe,GK,Brentford,0,0,0,2021-11-20,0,Newcastle United,0,0,0,756,0,False
Ellery Balcombe,GK,Brentford,0,0,0,2021-12-05,0,Leicester City,0,0,0,730,0,False
Ellery Balcombe,GK,Brentford,0,0,0,2021-11-06,0,Norwich,0,0,0,770,0,True
Ellery Balcombe,GK,Brentford,0,0,0,2022-02-09,0,Manchester City,0,0,0,640,0,False
Ellery Balcombe,GK,Brentford,0,0,0,2021-12-02,0,Tottenham,0,0,0,743,0,False
Ellery Balcombe,GK,Brentford,0,0,0,2022-02-12,0,Crystal Palace,0,0,0,630,0,True
Ellery Balcombe,GK,Brentford,0,0,0,2022-01-22,0,Wolverhampton,0,0,0,652,0,True
Ellery Balcombe,GK,Brentford,0,0,0,2022-02-26,0,Newcastle United,0,0,0,614,0,True
Ellery Balcombe,GK,Brentford,0,0,0,2022-03-12,0,Burnley,0,0,0,602,0,True
Ellery Balcombe,GK,Brentford,0,0,0,2022-03-05,0,Norwich,0,0,0,606,0,False
Ellery Balcombe,GK,Brentford,0,0,0,2022-02-19,0,Arsenal,0,0,0,623,0,False
Ellery Balcombe,GK,Brentford,0,0,0,2022-01-02,0,Aston Villa,0,0,0,676,0,True
Ellery Balcombe,GK,Brentford,0,0,0,2022-01-11,0,Southampton,0,0,0,676,0,False
Ellery Balcombe,GK,Brentford,0,0,0,2022-01-16,0,Liverpool,0,0,0,650,0,False
Ellery Balcombe,GK,Brentford,0,0,0,2022-01-19,0,Manchester United,0,0,0,650,0,True
Ellery Balcombe,GK,Brentford,0,0,0,2021-09-11,0,Brighton,0,0,0,986,0,True
Ellery Balcombe,GK,Brentford,0,0,0,2022-04-10,0,West Ham,0,0,0,594,0,True
Ellery Balcombe,GK,Brentford,0,0,0,2021-09-18,0,Wolverhampton,0,0,0,936,0,False
Ellery Balcombe,GK,Brentford,0,0,0,2021-09-25,0,Liverpool,0,0,0,883,0,True
Ellery Balcombe,GK,Brentford,0,0,0,2021-10-03,0,West Ham,0,0,0,853,0,False
Ellery Balcombe,GK,Brentford,0,0,0,2022-04-02,0,Chelsea,0,0,0,594,0,False
Ellery Balcombe,GK,Brentford,0,0,0,2021-10-16,0,Chelsea,0,0,0,821,0,True
Ellery Balcombe,GK,Brentford,0,0,0,2022-05-22,0,Leicester City,0,0,0,572,0,True
Ellery Balcombe,GK,Brentford,0,0,0,2021-10-24,0,Leeds United,0,0,0,802,0,True
Ellery Balcombe,GK,Brentford,0,0,0,2022-05-02,0,Manchester United,0,0,0,586,0,False
Ellery Balcombe,GK,Brentford,0,0,0,2022-04-23,0,Tottenham,0,0,0,588,0,True
Ellery Balcombe,GK,Brentford,0,0,0,2022-04-16,0,Watford,0,0,0,589,0,False
Ellery Balcombe,GK,Brentford,0,0,0,2022-05-07,0,Southampton,0,0,0,579,0,True
Ellery Balcombe,GKP,Brentford,0,0,0,2022-05-15,0,Everton,0,0,0,576,0,False
