name,position,team,bonus,clean_sheets,goals_conceded,kickoff_time,minutes,opponent_team,own_goals,penalties_saved,saves,selected,total_points,was_home
Sam Waller,GK,Burnley,0,0,0,2022-03-12,0,Brentford,0,0,0,989,0,False
Sam Waller,GK,Burnley,0,0,0,2022-03-05,0,Chelsea,0,0,0,421,0,True
Sam Waller,GK,Burnley,0,0,0,2022-02-19,0,Brighton,0,0,0,0,0,False
Sam Waller,GK,Burnley,0,0,0,2022-02-23,0,Tottenham,0,0,0,0,0,True
Sam Waller,GK,Burnley,0,0,0,2022-02-26,0,Crystal Palace,0,0,0,263,0,False
Sam Waller,GK,Burnley,0,0,0,2022-03-01,0,Leeds United,0,0,0,263,0,True
Sam Waller,GK,Burnley,0,0,0,2022-04-10,0,Norwich,0,0,0,907,0,False
Sam Waller,GK,Burnley,0,0,0,2022-04-02,0,Manchester City,0,0,0,1285,0,True
Sam Waller,GK,Burnley,0,0,0,2022-04-06,0,Everton,0,0,0,1285,0,True
Sam Waller,GK,Burnley,0,0,0,2022-05-07,0,Aston Villa,0,0,0,1291,0,True
Sam Waller,GK,Burnley,0,0,0,2022-05-22,0,Newcastle United,0,0,0,1527,0,True
Sam Waller,GK,Burnley,0,0,0,2022-04-17,0,West Ham,0,0,0,977,0,False
Sam Waller,GK,Burnley,0,0,0,2022-04-21,0,Southampton,0,0,0,977,0,True
Sam Waller,GK,Burnley,0,0,0,2022-04-30,0,Watford,0,0,0,1091,0,False
Sam Waller,GK,Burnley,0,0,0,2022-04-24,0,Wolverhampton,0,0,0,984,0,True
Sam Waller,GKP,Burnley,0,0,0,2022-05-15,0,Tottenham,0,0,0,1814,0,False
Sam Waller,GKP,Burnley,0,0,0,2022-05-19,0,Aston Villa,0,0,0,1814,0,False
