name,position,team,bonus,clean_sheets,goals_conceded,kickoff_time,minutes,opponent_team,own_goals,penalties_saved,saves,selected,total_points,was_home
Zack Steffen,GK,Man City,0,0,0,2021-12-19,0,Newcastle United,0,0,0,15586,0,False
Zack Steffen,GK,Man City,0,0,0,2021-12-26,0,Leeds United,0,0,0,15126,0,True
Zack Steffen,GK,Man City,0,0,0,2021-12-29,0,Brentford,0,0,0,15216,0,False
Zack Steffen,GK,Man City,0,0,0,2021-12-14,0,Leicester City,0,0,0,15594,0,True
Zack Steffen,GK,Man City,0,0,0,2021-08-15,0,Tottenham,0,0,0,15690,0,False
Zack Steffen,GK,Man City,0,0,0,2021-08-21,0,Norwich,0,0,0,17729,0,True
Zack Steffen,GK,Man City,0,0,0,2021-08-28,0,Arsenal,0,0,0,17613,0,True
Zack Steffen,GK,Man City,0,0,0,2021-10-30,0,Crystal Palace,0,0,0,17259,0,True
Zack Steffen,GK,Man City,0,0,0,2021-11-28,0,West Ham,0,0,0,16237,0,True
Zack Steffen,GK,Man City,0,0,0,2021-12-04,0,Watford,0,0,0,15895,0,False
Zack Steffen,GK,Man City,0,0,0,2022-02-26,0,Everton,0,0,0,14318,0,False
Zack Steffen,GK,Man City,0,0,0,2022-02-09,0,Brentford,0,0,0,14601,0,True
Zack Steffen,GK,Man City,0,0,0,2021-11-06,0,Manchester United,0,0,0,16875,0,False
Zack Steffen,GK,Man City,0,0,0,2021-12-11,0,Wolverhampton,0,0,0,15683,0,True
Zack Steffen,GK,Man City,0,0,0,2021-12-01,0,Aston Villa,0,0,0,16085,0,False
Zack Steffen,GK,Man City,0,0,0,2021-11-21,0,Everton,0,0,0,16475,0,True
Zack Steffen,GK,Man City,0,0,0,2022-01-01,0,Arsenal,0,0,0,15070,0,False
Zack Steffen,GK,Man City,0,0,0,2022-02-12,0,Norwich,0,0,0,14521,0,False
Zack Steffen,GK,Man City,0,0,0,2022-01-15,0,Chelsea,0,0,0,14797,0,True
Zack Steffen,GK,Man City,0,0,0,2022-01-22,0,Southampton,0,0,0,14667,0,False
Zack Steffen,GK,Man City,0,0,0,2022-03-14,0,Crystal Palace,0,0,0,14079,0,False
Zack Steffen,GK,Man City,0,0,0,2022-02-19,0,Tottenham,0,0,0,14404,0,True
Zack Steffen,GK,Man City,0,0,0,2022-03-06,0,Manchester United,0,0,0,14255,0,True
Zack Steffen,GK,Man City,0,0,0,2022-04-10,0,Liverpool,0,0,0,14100,0,True
Zack Steffen,GK,Man City,0,0,0,2022-04-02,0,Burnley,0,0,0,14117,0,False
Zack Steffen,GKP,Man City,0,0,0,2022-05-15,0,West Ham,0,0,0,14054,0,False
Zack Steffen,GK,Man City,0,0,0,2022-04-30,0,Leicester City,0,0,0,14122,0,False
Zack Steffen,GK,Man City,0,0,0,2022-04-23,0,Watford,0,0,0,14142,0,True
Zack Steffen,GK,Man City,0,0,0,2022-04-20,0,Brighton,0,0,0,14101,0,True
Zack Steffen,GK,Man City,0,0,0,2021-09-11,0,Leeds United,0,0,0,15983,0,False
Zack Steffen,GK,Man City,0,0,0,2021-09-18,0,Southampton,0,0,0,14366,0,True
Zack Steffen,GK,Man City,0,0,0,2021-09-25,0,Chelsea,0,0,0,13780,0,False
Zack Steffen,GK,Man City,0,0,0,2021-10-23,0,Brighton,0,0,0,18814,0,False
Zack Steffen,GK,Man City,1,1,0,2021-10-16,90,Burnley,0,0,2,25952,7,True
Zack Steffen,GK,Man City,0,0,0,2021-10-03,0,Liverpool,0,0,0,13756,0,False
Zack Steffen,GK,Man City,0,0,0,2022-05-22,0,Aston Villa,0,0,0,14062,0,True
Zack Steffen,GK,Man City,0,0,0,2022-05-08,0,Newcastle United,0,0,0,14039,0,True
Zack Steffen,GK,Man City,0,0,0,2022-05-11,0,Wolverhampton,0,0,0,14039,0,False
