name,position,team,bonus,clean_sheets,goals_conceded,kickoff_time,minutes,opponent_team,own_goals,penalties_saved,saves,selected,total_points,was_home
Filip Marschall,GK,Aston Villa,0,0,0,2022-03-19,0,Arsenal,0,0,0,564,0,True
Filip Marschall,GK,Aston Villa,0,0,0,2021-12-14,0,Norwich,0,0,0,0,0,False
Filip Marschall,GK,Aston Villa,0,0,0,2021-12-26,0,Chelsea,0,0,0,788,0,True
Filip Marschall,GK,Aston Villa,0,0,0,2022-02-09,0,Leicester City,0,0,0,823,0,True
Filip Marschall,GK,Aston Villa,0,0,0,2022-03-13,0,West Ham,0,0,0,585,0,False
Filip Marschall,GK,Aston Villa,0,0,0,2022-01-22,0,Everton,0,0,0,731,0,False
Filip Marschall,GK,Aston Villa,0,0,0,2022-03-05,0,Southampton,0,0,0,611,0,True
Filip Marschall,GK,Aston Villa,0,0,0,2022-03-10,0,Leicester City,0,0,0,611,0,False
Filip Marschall,GK,Aston Villa,0,0,0,2022-02-13,0,Newcastle United,0,0,0,754,0,False
Filip Marschall,GK,Aston Villa,0,0,0,2022-02-19,0,Watford,0,0,0,675,0,True
Filip Marschall,GK,Aston Villa,0,0,0,2022-02-26,0,Brighton,0,0,0,636,0,False
Filip Marschall,GK,Aston Villa,0,0,0,2022-01-02,0,Brentford,0,0,0,659,0,False
Filip Marschall,GK,Aston Villa,0,0,0,2022-01-15,0,Manchester United,0,0,0,767,0,True
Filip Marschall,GK,Aston Villa,0,0,0,2022-05-07,0,Burnley,0,0,0,517,0,False
Filip Marschall,GK,Aston Villa,0,0,0,2022-05-10,0,Liverpool,0,0,0,517,0,True
Filip Marschall,GK,Aston Villa,0,0,0,2022-05-22,0,Manchester City,0,0,0,500,0,False
Filip Marschall,GK,Aston Villa,0,0,0,2022-04-09,0,Tottenham,0,0,0,562,0,True
Filip Marschall,GK,Aston Villa,0,0,0,2022-04-02,0,Wolverhampton,0,0,0,566,0,False
Filip Marschall,GK,Aston Villa,0,0,0,2022-04-30,0,Norwich,0,0,0,537,0,True
Filip Marschall,GK,Aston Villa,0,0,0,2022-04-23,0,Leeds United,0,0,0,543,0,False
Filip Marschall,GKP,Aston Villa,0,0,0,2022-05-15,0,Crystal Palace,0,0,0,510,0,True
Filip Marschall,GKP,Aston Villa,0,0,0,2022-05-19,0,Burnley,0,0,0,510,0,True
