full_name,position,team,is_captain,price,week1,week2,week3,is_benched
Bukayo Saka,MID,Arsenal,0,10.1,6.01,6.09,6.4,False
Bryan Mbeumo,MID,Brentford,0,7.9,5.17,5.0,4.31,False
Erling Haaland,FWD,Man City,0,15.3,5.16,5.16,5.05,False
Raúl Jiménez,FWD,Fulham,0,5.8,4.78,4.64,4.65,False
Dejan Kulusevski,MID,Spurs,0,6.3,4.19,4.21,4.22,False
Joško Gvardiol,DEF,Man City,0,6.3,3.61,3.56,3.42,False
Cole Palmer,MID,Chelsea,1,11.0,3.57,3.59,3.63,False
Rayan Aït-Nouri,DEF,Wolves,0,4.7,3.21,3.4,3.46,False
Diogo Dalot Teixeira,DEF,Man Utd,0,5.1,2.86,2.76,3.0,False
Bernardo Veiga de Carvalho e Silva,MID,Man City,0,6.5,2.78,2.8,2.93,False
Mark Flekken,GK,Brentford,0,4.5,2.52,2.54,2.53,False
Joachim Andersen,DEF,Fulham,0,4.3,1.83,1.66,1.53,True
Hákon Valdimarsson,GK,Brentford,0,4.0,0.03,0.03,0.03,True
Jacob Greaves,DEF,Ipswich,0,4.0,0.0,0.0,0.0,True
Ross Stewart,FWD,Southampton,0,4.5,0.0,0.0,0.0,True
