name,now_cost
Kacper Kozłowski,4.5
Tariq Lamptey,4.4
Solly March,6.5
Adrian Mazilu,4.5
James Milner,5.0
Yankuba Minteh,5.2
Mitoma Kaoru,6.4
Jakub Moder,4.4
Mark O’Mahony,4.5
Odeluga Offiah,4.0
Cameron Peupion,4.5
Jeremy Sarmiento Morante,4.9
Jason Steele,4.3
Deniz Undav,5.5
Jan Paul van Hecke,4.5
Joël Veltman,4.6
Bart Verbruggen,4.5
Adam Webster,4.3
Danny Welbeck,6.0
Mats Wieffer,4.8
Brajan Gruda,5.4
Yasin Ayari,5.0
Andrew Moran,5.0
Carl Rushworth,4.0
Georginio Rutter,5.6
Ferdi Kadioglu,4.5
Matt O'Riley,5.5
Imari Samuels,4.0
Killian Cahill,3.9
Ruairi McConville,4.0
Andrey Nascimento dos Santos,4.5
Ângelo Gabriel Borges Damaceno,4.5
Benoît Badiashile,4.3
Lucas Bergström,4.0
Marcus Bettinelli,4.0
Moisés Caicedo Corozo,4.9
Cesare Casadei,4.4
Ben Chilwell,4.7
Carney Chukwuemeka,4.8
Levi Colwill,4.5
Marc Cucurella Saseta,5.0
David Datro Fofana,5.4
Deivid Washington de Souza Eugênio,5.0
Kiernan Dewsbury-Hall,5.6
Axel Disasi,4.3
Enzo Fernández,4.8
Conor Gallagher,5.9
Alfie Gilchrist,4.0
Malo Gusto,4.9
Reece James,4.9
Omari Kellyman,4.4
Roméo Lavia,4.5
Romelu Lukaku Bolingoli,6.3
Malang Sarr,4.5
Noni Madueke,6.4
Marc Guiu Paz,4.8
Mykhailo Mudryk,6.2
Nicolas Jackson,8.0
Christopher Nkunku,5.9
Cole Palmer,10.9
Đorđe Petrović,4.4
Renato Palma Veiga,4.5
Robert Sánchez,4.7
Tosin Adarabioyo,4.2
Wesley Fofana,4.5
Jadon Sancho,6.2
Pedro Lomba Neto,6.2
Caleb Wiley,4.0
Filip Jørgensen,4.2
João Félix Sequeira,6.1
Eddie Nketiah,5.9
Trevoh Chalobah,4.4
Naouirou Ahamada,4.5
Cheick Doucouré,4.9
Chris Richards,4.4
Chadi Riad Dnanou,4.3
Nathaniel Clyne,4.4
Malcolm Ebiowei,4.5
Eberechi Eze,6.6
Marc Guéhi,4.5
Dean Henderson,4.4
Rob Holding,4.3
Will Hughes,4.9
Daichi Kamada,5.1
Jefferson Lerma Solís,4.8
Jean-Philippe Mateta,7.2
Matheus França de Oliveira,4.4
Remi Matthews,4.0
Tyrick Mitchell,4.9
Daniel Muñoz,4.8
David Ozoh,4.5
Jesurun Rak-Sakyi,4.5
Jeffrey Schlupp,4.7
Joel Ward,4.3
Adam Wharton,4.7
Matt Turner,4.0
Ismaïla Sarr,5.7
Franco Umeh-Chibueze,4.5
Justin Devenny,4.5
Asher Agbinone,4.5
Kaden Rodney,4.5
Maxence Lacroix,4.5
Caleb Kporha,4.0
Zach Marsh,4.5
Armando Broja,5.4
Abdoulaye Doucouré,5.1
Norberto Bercique Gomes Betuncal,5.0
Jarrad Branthwaite,4.8
Dominic Calvert-Lewin,5.6
Séamus Coleman,4.3
Idrissa Gueye,4.9
James Garner,4.9
Jack Harrison,5.3
Mason Holgate,4.0
Tim Iroegbunam,4.5
João Neves Virgínia,4.0
Michael Keane,4.3
Neal Maupay,4.9
Dwight McNeil,5.6
Vitalii Mykolenko,4.3
Iliman Ndiaye,5.4
Nathan Patterson,4.4
Jordan Pickford,4.9
James Tarkowski,4.8
Youssef Ramalho Chermiti,4.9
Ashley Young,4.5
Jesper Lindstrøm,5.1
Jake O'Brien,4.6
Harrison Armstrong,4.5
Jenson Metcalfe,4.5
Asmir Begovic,4.0
Roman Dixon,4.0
Orel Mangala,5.0
Callum Bates,4.5
Reiss Nelson,5.0
Emile Smith Rowe,5.8
Joachim Andersen,4.3
Adama Traoré,5.0
Andreas Hoelgebaum Pereira,5.2
Calvin Bassey,4.5
Steven Benda,4.0
Tom Cairney,4.8
Timothy Castagne,4.2
Issa Diop,4.4
Luke Harris,4.5
Alex Iwobi,5.6
Bernd Leno,5.0
Saša Lukić,4.8
Kevin Mbabu,4.0
Rodrigo Muniz Carvalho,5.5
Raúl Jiménez,5.7
Tim Ream,4.5
Harrison Reed,4.8
Antonee Robinson,4.7
Jay Stansfield,5.0
Kenny Tete,4.5
Carlos Vinícius Alves Morais,5.0
Harry Wilson,5.2
Ryan Sessegnon,4.2
Jorge Cuenca Barreno,4.4
Josh King,4.5
Martial Godo,4.5
Sander Berge,5.0
Ali Al-Hamadi,4.8
Elkan Baggott,4.0
Nathan Broadhead,4.9
Cameron Burgess,3.9
Wes Burns,4.8
Conor Chaplin,5.1
Harry Clarke,4.0
Leif Davis,4.5
Liam Delap,5.6
George Edmundson,4.0
Jacob Greaves,4.0
Marcus Myers-Harness,4.9
George Hirst,5.4
Cameron Humphreys,4.5
Omari Giraud-Hutchinson,5.2
Ben Johnson,4.0
Freddie Ladapo,4.5
Massimo Luongo,4.5
Sam Morsy,4.9
Corrie Ndaba,4.0
Cieran Slicker,4.0
Jack Taylor,4.8
Axel Tuanzebe,4.0
Christian Walton,4.4
Luke Woolfenden,4.0
Kalvin Phillips,4.9
Arijanet Muric,4.4
Conor Townsend,4.0
Sam Szmodics,5.8
Jens Cajuste,4.5
Dara O'Shea,4.0
Jack Clarke,5.5
Chiedozie Ogbene,4.9
Facundo Buonanotte,5.0
Jordan Ayew,5.2
Odsonne Edouard,5.2
Boubakary Soumaré,4.4
Tom Cannon,4.5
Hamza Choudhury,4.4
Conor Coady,4.0
Patson Daka,4.8
Bobby De Cordova-Reid,5.2
Wout Faes,4.1
Michael Golding,4.4
Mads Hermansen,4.5
Daniel Iversen,4.0
James Justin,4.6
Victor Kristiansen,4.5
Wanya Marçal-Madivádua,4.5
Stephy Mavididi,5.3
Kasey McAteer,4.7
Wilfred Ndidi,5.0
Caleb Okoli,4.0
Ricardo Barbosa Pereira,4.2
Harry Souttar,4.0
Jakub Stolarczyk,4.0
Luke Thomas,3.9
Jamie Vardy,5.6
Jannik Vestergaard,4.0
Danny Ward,4.0
Harry Winks,4.5
Oliver Skipp,4.8
Abdul Fatawu,5.3
Will Alves,4.5
Ben Nelson,4.0
Bilal El Khannouss,4.9
Alisson Ramses Becker,5.4
Trent Alexander-Arnold,6.9
Stefan Bajčetić Maquieira,4.5
Conor Bradley,4.7
Bobby Clark,4.5
Darwin Núñez Ribeiro,7.1
Diogo Teixeira da Silva,7.2
Ben Doak,4.5
Harvey Elliott,5.2
Endo Wataru,4.7
Cody Gakpo,7.1
Joe Gomez,4.8
Ryan Gravenberch,5.0
Curtis Jones,5.3
Caoimhin Kelleher,4.5
Ibrahima Konaté,5.4
Luis Díaz,7.6
Mohamed Salah,13.1
Alexis Mac Allister,6.2
James McConnell,4.4
Tyler Morton,4.4
Nathaniel Phillips,4.0
Jarell Quansah,3.9
Rhys Williams,4.0
Andrew Robertson,5.9
Dominik Szoboszlai,6.3
Konstantinos Tsimikas,4.6
Virgil van Dijk,6.3
Federico Chiesa,6.8
Vítezslav Jaros,4.0
Harvey Davies,4.0
Manuel Akanji,5.4
Nathan Aké,5.3
Bernardo Veiga de Carvalho e Silva,6.4
Oscar Bobb,4.7
Scott Carson,4.0
Kevin De Bruyne,9.4
Jérémy Doku,6.3
Ederson Santana de Moraes,5.5
Phil Foden,9.1
Jack Grealish,6.4
Joško Gvardiol,6.3
Erling Haaland,15.1
Julián Álvarez,7.0
João Cavaco Cancelo,5.3
Mateo Kovačić,5.5
Rico Lewis,4.8
Matheus Luiz Nunes,4.9
James McAtee,4.7
Stefan Ortega Moreno,5.2
Rodrigo 'Rodri' Hernandez,6.3
Rúben Gato Alves Dias,5.4
John Stones,5.3
Kyle Walker,5.2
Sávio 'Savinho' Moreira de Oliveira,6.5
Nico O'Reilly,4.9
Ilkay Gündogan,6.5
Issa Kaboré,4.5
Jacob Wright,4.5
Jahmai Simpson-Pusey,4.0
Josh Wilson-Esbrand,4.0
Amad Diallo,4.9
Antony Matheus dos Santos,5.7
Bruno Borges Fernandes,8.5
Altay Bayindir,4.3
Carlos Henrique Casimiro,4.8
Diogo Dalot Teixeira,5.2
Christian Eriksen,5.4
Jonny Evans,4.4
Alejandro Garnacho,6.4
Hannibal Mejbri,4.5
Tom Heaton,4.0
Rasmus Højlund,6.9
Victor Lindelöf,4.3
Harry Maguire,4.9
Kobbie Mainoo,5.2
Tyrell Malacia,4.4
Lisandro Martínez,4.4
Scott McTominay,4.9
Mason Mount,6.3
André Onana,5.1
Facundo Pellistri Rebollo,5.0
Marcus Rashford,6.9
Luke Shaw,4.9
Joshua Zirkzee,6.6
Leny Yoro,4.3
Matthijs de Ligt,5.0
Noussair Mazraoui,4.6
Toby Collyer,4.5
Ethan Wheatley,4.5
Manuel Ugarte,4.9
Jack Fletcher,4.5
Harry Amass,4.0
Jayce Fitzgerald,4.5
Alex Murphy,4.0
Miguel Almirón Rejala,5.5
Harvey Barnes,6.3
Sven Botman,4.4
Bruno Guimarães Rodriguez Moura,6.2
Dan Burn,4.4
Martin Dúbravka,4.2
Anthony Gordon,7.2
Lewis Hall,4.4
Isaac Hayden,4.5
Alexander Isak,8.5
Jacob Murphy,5.0
Joelinton Cássio Apolinário de Lira,6.0
Lloyd Kelly,4.3
Emil Krafth,4.4
Garang Kuol,4.5
Jamaal Lascelles,4.5
Jamal Lewis,4.0
Tino Livramento,4.5
Sean Longstaff,4.7
Lewis Miley,5.0
Odysseas Vlachodimos,4.3
Nick Pope,5.0
John Ruddy,4.0
Fabian Schär,5.4
Matt Targett,4.0
Sandro Tonali,5.5
Kieran Trippier,5.6
Joe White,4.5
Joe Willock,4.8
Callum Wilson,6.9
Miodrag Pivaš,4.0
William Osula,5.0
Álex Moreno Lopera,4.4
Ola Aina,4.8
Elliot Anderson,5.0
Taiwo Awoniyi,5.6
Willy Boly,4.3
Josh Bowler,4.5
Carlos Miguel dos Santos Pereira,4.2
Eric da Silva Moreira,4.5
Danilo dos Santos de Oliveira,4.7
Emmanuel Dennis,4.9
Nicolás Domínguez,4.8
Anthony Elanga,5.2
Morgan Gibbs-White,6.3
Callum Hudson-Odoi,5.4
Alex Mighten,4.5
Murillo Santiago Costa dos Santos,4.6
Neco Williams,4.3
Omar Richards,4.5
Lewis O'Brien,5.0
Andrew Omobamidele,4.3
Jonathan Panzo,4.0
Ibrahim Sangaré,4.4
Matz Sels,4.7
Harry Toffolo,4.3
Hwang Ui-jo,4.5
Chris Wood,6.6
Joe Worrall,4.5
Ryan Yates,4.9
James Ward-Prowse,6.2
Nikola Milenković,4.5
João Pedro Ferreira Silva,5.9
Ramón Sosa,5.5
Felipe Rodrigues da Silva,4.5
Aaron Ramsdale,4.4
Cameron Archer,5.0
Lesley Ugochukwu,4.5
Ryan Fraser,4.8
Carlos Alcaraz Durán,4.9
Samuel Amo-Ameyaw,4.4
Joe Aribo,4.9
Adam Armstrong,5.1
Gavin Bazunu,4.3
Jan Bednarek,4.0
Armel Bella-Kotchap,3.9
James Bree,3.9
Shea Charles,4.5
Samuel Edozie,4.9
Ronnie Edwards,3.9
Taylor Harwood-Bellis,4.1
Kamaldeen Sulemana,5.0
Adam Lallana,5.0
Juan Larios López,4.0
Mateusz Lis,4.0
Joe Lumley,4.0
Ryan Manning,4.3
Sékou Mara,5.0
Alex McCarthy,4.3
Paul Onuachu,4.9
Will Smallbone,5.0
Jack Stephens,4.0
Ross Stewart,4.5
Sugawara Yukinari,4.5
Charlie Taylor,3.9
Kyle Walker-Peters,4.4
Nathan Wood-Gordon,4.0
Maxwel Cornet,4.7
Flynn Downes,4.8
Ben Brereton Díaz,5.0
Tyler Dibling,4.5
Mateus Gonçalo Espanha Fernandes,5.0
Dominic Solanke-Mitchell,7.6
Ashley Phillips,4.0
Brandon Austin,4.0
Rodrigo Bentancur,5.0
Lucas Bergvall,4.4
Yves Bissouma,4.9
Bryan Gil Salvatierra,5.0
Ben Davies,4.3
Alfie Devine,4.5
Radu Drăgușin,4.3
Emerson Leite de Souza Junior,4.5
Fraser Forster,4.3
Archie Gray,4.7
Pierre-Emile Højbjerg,5.0
Brennan Johnson,6.7
Dejan Kulusevski,6.3
Giovani Lo Celso,4.9
James Maddison,7.6
Pedro Porro,5.5
Sergio Reguilón,4.2
Richarlison de Andrade,6.8
Cristian Romero,5.0
Pape Matar Sarr,4.8
Dane Scarlett,4.5
Manor Solomon,5.4
Son Heung-min,9.9
Djed Spence,4.4
Destiny Udogie,4.9
Micky van de Ven,4.6
Alejo Véliz,5.0
Guglielmo Vicario,5.0
Timo Werner,6.2
Alfie Whiteman,4.0
Will Lankshear,4.5
Mikey Moore,4.5
Wilson Odobert,5.3
Callum Olusesi,4.5
Malachi Hardy,4.0
Aaron Wan-Bissaka,4.4
Edson Álvarez Velázquez,5.0
Michail Antonio,5.4
Alphonse Areola,4.3
Jarrod Bowen,7.4
Vladimír Coufal,4.3
Aaron Cresswell,4.0
George Earthy,4.5
Emerson Palmieri dos Santos,4.4
Łukasz Fabiański,4.1
Wes Foderingham,4.3
Danny Ings,5.0
Max Kilman,4.5
Mohammed Kudus,6.2
Luis Guilherme Lira dos Santos,4.7
Lucas Tolentino Coelho de Lima,5.8
Konstantinos Mavropanos,4.4
Nayef Aguerd,4.4
Tomáš Souček,4.9
Kurt Zouma,4.4
Andy Irving,4.8
Crysencio Summerville,5.7
Guido Rodríguez,4.9
Niclas Füllkrug,6.7
Jean-Clair Todibo,4.3
Kaelan Casey,4.0
Carlos Soler,5.0
Ollie Scarles,4.0
Sam Johnstone,4.4
Rayan Aït-Nouri,4.8
Boubacar Traoré,4.8
Jean-Ricner Bellegarde,5.0
Daniel Bentley,4.0
Francisco Jorge Tomás Oliveira,4.5
Tawanda Chirewa,4.5
Leon Chiwome,4.5
Luke Cundle,4.5
Matheus Santos Carneiro Da Cunha,7.0
Craig Dawson,4.4
Matt Doherty,4.3
Tommy Doyle,4.8
Fábio Silva,5.0
Nathan Fraser,4.5
Enso González,4.4
Gonçalo Manuel Ganchinho Guedes,5.3
Hugo Bueno López,4.5
Hwang Hee-chan,6.1
Joe Hodge,4.5
Ki-Jana Hoever,4.0
João Victor Gomes da Silva,4.9
José Malheiro de Sá,4.3
Saša Kalajdžić,4.8
Tom King,4.0
Mario Lemina,5.0
Yerson Mosquera,3.9
Nélson Cabral Semedo,4.5
Pedro Cardoso de Lima,4.0
Daniel Castelo Podence,5.5
Rodrigo Martins Gomes,5.2
Santiago Bueno,4.3
Pablo Sarabia,5.1
Jørgen Strand Larsen,5.6
Toti António Gomes,4.3
Bastien Meupiyou,4.0
André Trindade da Costa Neto,5.0
Carlos Roberto Forbs Borges,5.5
Alfie Pond,3.9
Tom Edozie,4.5
