full_name,team,status,chance_of_playing_next_round,chance_of_playing_this_round
Fábio Ferreira Vieira,Arsenal,Unavailable,0.0,0.0
Gabriel Fernando de Jesus,Arsenal,Available,100.0,100.0
Gabriel dos Santos Magalhães,Arsenal,Doubtful,75.0,75.0
Kai Havertz,Arsenal,Available,100.0,100.0
Karl Hein,Arsenal,Unavailable,0.0,0.0
Jurriën Timber,Arsenal,Available,100.0,100.0
Jorge Luiz Frello Filho,Arsenal,Available,100.0,100.0
Jakub Kiwior,Arsenal,Available,100.0,100.0
Gabriel Martinelli Silva,Arsenal,Available,100.0,100.0
Ethan Nwaneri,Arsenal,Available,100.0,100.0
Martin Ødegaard,Arsenal,Available,100.0,100.0
David Raya Martin,Arsenal,Available,100.0,100.0
Declan Rice,Arsenal,Available,100.0,100.0
Bukayo Saka,Arsenal,Available,100.0,100.0
William Saliba,Arsenal,Available,100.0,100.0
Thomas Partey,Arsenal,Doubtful,75.0,100.0
Kieran Tierney,Arsenal,Available,100.0,100.0
Tomiyasu Takehiro,Arsenal,Unavailable,0.0,0.0
Leandro Trossard,Arsenal,Available,100.0,100.0
Benjamin White,Arsenal,Unavailable,0.0,0.0
Oleksandr Zinchenko,Arsenal,Available,100.0,100.0
Norberto Murara Neto,Arsenal,Available,100.0,100.0
Raheem Sterling,Arsenal,Available,100.0,100.0
Riccardo Calafiori,Arsenal,Available,100.0,100.0
Myles Lewis-Skelly,Arsenal,Available,100.0,100.0
Mikel Merino,Arsenal,Doubtful,75.0,100.0
Salah-Eddine Oulad M'hand,Arsenal,Available,100.0,100.0
Tommy Setford,Arsenal,Available,100.0,100.0
Maldini Kacurri,Arsenal,Available,100.0,100.0
Ayden Heaven,Arsenal,Available,100.0,100.0
Ismeal Kabia,Arsenal,Available,100.0,100.0
Josh Nichols,Arsenal,Available,100.0,100.0
Nathan Butler-Oyedeji,Arsenal,Available,100.0,100.0
Leon Bailey,Aston Villa,Available,100.0,100.0
Ross Barkley,Aston Villa,Available,100.0,100.0
Enzo Barrenechea,Aston Villa,Unavailable,0.0,0.0
Emiliano Buendía Stati,Aston Villa,Available,100.0,100.0
Matty Cash,Aston Villa,Available,100.0,100.0
Leander Dendoncker,Aston Villa,Unavailable,0.0,0.0
Moussa Diaby,Aston Villa,Unavailable,0.0,0.0
Diego Carlos Santos Silva,Aston Villa,Available,100.0,100.0
Lucas Digne,Aston Villa,Available,100.0,100.0
Lewis Dobbin,Aston Villa,Unavailable,0.0,0.0
Jhon Durán,Aston Villa,Available,100.0,100.0
Joe Gauci,Aston Villa,Available,100.0,100.0
Kortney Hause,Aston Villa,Available,100.0,100.0
Samuel Iling-Junior,Aston Villa,Unavailable,0.0,0.0
Boubacar Kamara,Aston Villa,Available,100.0,100.0
Kaine Kesler-Hayden,Aston Villa,Unavailable,0.0,0.0
Ezri Konsa Ngoyo,Aston Villa,Available,100.0,100.0
Ian Maatsen,Aston Villa,Available,100.0,100.0
Filip Marschall,Aston Villa,Unavailable,0.0,0.0
Emiliano Martínez Romero,Aston Villa,Available,100.0,100.0
John McGinn,Aston Villa,Available,100.0,100.0
Tyrone Mings,Aston Villa,Available,100.0,100.0
Kosta Nedeljković,Aston Villa,Available,100.0,100.0
Robin Olsen,Aston Villa,Available,100.0,100.0
Pau Torres,Aston Villa,Available,100.0,100.0
Jacob Ramsey,Aston Villa,Unavailable,0.0,0.0
Morgan Rogers,Aston Villa,Available,100.0,100.0
Viljami Sinisalo,Aston Villa,Unavailable,0.0,0.0
Lino da Cruz Sousa,Aston Villa,Unavailable,0.0,0.0
Youri Tielemans,Aston Villa,Available,100.0,100.0
Ollie Watkins,Aston Villa,Available,100.0,100.0
Amadou Onana,Aston Villa,Doubtful,75.0,75.0
Jaden Philogene,Aston Villa,Available,100.0,100.0
Lamare Bogarde,Aston Villa,Available,100.0,100.0
Sil Swinkels,Aston Villa,Available,100.0,100.0
Oliwier Zych,Aston Villa,Available,100.0,100.0
Kadan Young,Aston Villa,Available,100.0,100.0
Ben Broggio,Aston Villa,Available,100.0,100.0
Max Aarons,Bournemouth,Available,100.0,100.0
Tyler Adams,Bournemouth,Available,100.0,100.0
Jaidon Anthony,Bournemouth,Unavailable,0.0,0.0
David Brooks,Bournemouth,Available,100.0,100.0
Ryan Christie,Bournemouth,Available,100.0,100.0
Lewis Cook,Bournemouth,Doubtful,75.0,100.0
Enes Ünal,Bournemouth,Available,100.0,100.0
Romain Faivre,Bournemouth,Unavailable,0.0,0.0
Hamed Traorè,Bournemouth,Unavailable,0.0,0.0
James Hill,Bournemouth,Available,100.0,100.0
Daniel Jebbison,Bournemouth,Unavailable,0.0,0.0
Milos Kerkez,Bournemouth,Available,100.0,100.0
Justin Kluivert,Bournemouth,Available,100.0,100.0
Chris Mepham,Bournemouth,Unavailable,0.0,0.0
Dango Ouattara,Bournemouth,Available,100.0,100.0
Alex Paulsen,Bournemouth,Unavailable,0.0,0.0
Philip Billing,Bournemouth,Available,100.0,100.0
Alex Scott,Bournemouth,Unavailable,0.0,0.0
Antoine Semenyo,Bournemouth,Available,100.0,0.0
Marcos Senesi,Bournemouth,Available,100.0,100.0
