name,team,opponent_team,date,was_home,minutes,xG,total_points,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Arthur Henrique Ramos de Oliveira Melo,Liverpool,Everton,2022-09-03,False,0,1.39,0,0.0,0,0,0.0,0,0.0,0.0,Liverpool,True,Brighton,2.42,-0.71
Arthur Henrique Ramos de Oliveira Melo,Liverpool,Brighton,2022-10-01,True,0,2.15,0,0.0,0,0,0.0,0,0.0,0.0,Liverpool,False,Arsenal,-2.38,-0.0
Arthur Henrique Ramos de Oliveira Melo,Liverpool,Arsenal,2022-10-09,False,0,0.77,0,0.0,0,0,0.0,0,0.0,0.0,Liverpool,True,Manchester City,0.85,-1.17
Arthur Henrique Ramos de Oliveira Melo,Liverpool,Manchester City,2022-10-16,True,0,2.0,0,0.0,0,0,0.0,0,0.0,0.0,Liverpool,True,West Ham,0.04,0.63
Arthur Henrique Ramos de Oliveira Melo,Liverpool,West Ham,2022-10-19,True,0,2.24,0,0.0,0,0,0.0,0,0.0,0.0,Liverpool,False,Nottingham Forest,,
Arthur Henrique Ramos de Oliveira Melo,Liverpool,Nottingham Forest,2022-10-22,False,0,2.2,0,0.0,0,0,0.0,0,0.0,0.0,Liverpool,True,Leicester City,-7.96,0.83
Arthur Henrique Ramos de Oliveira Melo,Liverpool,Leicester City,2022-10-29,True,0,1.91,0,0.0,0,0,0.0,0,0.0,0.0,Liverpool,False,Tottenham,3.08,-0.03
Arthur Henrique Ramos de Oliveira Melo,Liverpool,Tottenham,2022-11-06,False,0,1.47,0,0.0,0,0,0.0,0,0.0,0.0,Liverpool,True,Southampton,-3.78,-0.38
Arthur Henrique Ramos de Oliveira Melo,Liverpool,Southampton,2022-11-12,True,0,2.74,0,0.0,0,0,0.0,0,0.0,0.0,Liverpool,False,Aston Villa,1.3,0.59
Arthur Henrique Ramos de Oliveira Melo,Liverpool,Aston Villa,2022-12-26,False,0,3.51,0,0.0,0,0,0.0,0,0.0,0.0,Liverpool,True,Leeds United,-2.07,-0.79
Arthur Henrique Ramos de Oliveira Melo,Liverpool,Leeds United,2022-12-30,True,0,2.02,0,0.0,0,0,0.0,0,0.0,0.0,Liverpool,False,Brentford,4.84,-0.55
Arthur Henrique Ramos de Oliveira Melo,Liverpool,Brentford,2023-01-02,False,0,2.1,0,0.0,0,0,0.0,0,0.0,0.0,Liverpool,False,Brighton,-2.51,-0.39
Arthur Henrique Ramos de Oliveira Melo,Liverpool,Brighton,2023-01-14,False,0,1.29,0,0.0,0,0,0.0,0,0.0,0.0,Liverpool,True,Chelsea,0.29,-0.25
Arthur Henrique Ramos de Oliveira Melo,Liverpool,Chelsea,2023-01-21,True,0,1.3,0,0.0,0,0,0.0,0,0.0,0.0,Liverpool,False,Wolverhampton,-0.13,-0.46
Arthur Henrique Ramos de Oliveira Melo,Liverpool,Wolverhampton,2023-02-04,False,0,1.3,0,0.0,0,0,0.0,0,0.0,0.0,Liverpool,True,Everton,-0.32,0.34
Arthur Henrique Ramos de Oliveira Melo,Liverpool,Everton,2023-02-13,True,0,2.23,0,0.0,0,0,0.0,0,0.0,0.0,Liverpool,False,Newcastle United,-1.4,-0.34
Arthur Henrique Ramos de Oliveira Melo,Liverpool,Newcastle United,2023-02-18,False,0,2.17,0,0.0,0,0,0.0,0,0.0,0.0,Liverpool,False,Crystal Palace,-1.03,0.13
Arthur Henrique Ramos de Oliveira Melo,Liverpool,Crystal Palace,2023-02-25,False,0,1.35,0,0.0,0,0,0.0,0,0.0,0.0,Liverpool,True,Wolverhampton,0.05,-0.48
Arthur Henrique Ramos de Oliveira Melo,Liverpool,Wolverhampton,2023-03-01,True,0,2.7,0,0.0,0,0,0.0,0,0.0,0.0,Liverpool,True,Manchester United,-4.04,0.38
Arthur Henrique Ramos de Oliveira Melo,Liverpool,Manchester United,2023-03-05,True,0,3.44,0,0.0,0,0,0.0,0,0.0,0.0,Liverpool,False,Bournemouth,,0.19
Arthur Henrique Ramos de Oliveira Melo,Liverpool,Bournemouth,2023-03-11,False,0,2.13,0,0.0,0,0,0.0,0,0.0,0.0,Liverpool,False,Manchester City,,-1.26
Arthur Henrique Ramos de Oliveira Melo,Liverpool,Manchester City,2023-04-01,False,0,0.32,0,0.0,0,0,0.0,0,0.0,0.0,Liverpool,False,Chelsea,,-0.72
Arthur Henrique Ramos de Oliveira Melo,Liverpool,Chelsea,2023-04-04,False,0,0.2,0,0.0,0,0,0.0,0,0.0,0.0,Liverpool,True,Arsenal,-3.99,0.36
Arthur Henrique Ramos de Oliveira Melo,Liverpool,Arsenal,2023-04-09,True,0,4.64,0,0.0,0,0,0.0,0,0.0,0.0,Liverpool,False,Leicester City,-5.24,-0.05
Arthur Henrique Ramos de Oliveira Melo,Liverpool,Leicester City,2023-04-17,False,0,2.65,0,0.0,0,0,0.0,0,0.0,0.0,Liverpool,True,Nottingham Forest,,
Arthur Henrique Ramos de Oliveira Melo,Liverpool,Nottingham Forest,2023-04-22,True,0,3.33,0,0.0,0,0,0.0,0,0.0,0.0,Liverpool,False,West Ham,4.92,0.14
