name,team,opponent_team,date,was_home,minutes,xG,total_points,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,next_week_points
Oliver Hammond,Nott'm Forest,,2022-08-06,False,0,1.1,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,,True,0,,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,2022-08-20,False,0,0.69,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,2022-08-28,True,0,1.13,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,2022-08-31,False,0,1.53,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,2022-09-03,True,0,1.1,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,,True,0,,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,,False,0,,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,,True,0,,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,2022-10-15,False,0,1.22,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,2022-10-18,False,0,0.86,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,,True,0,,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,,False,0,,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,2022-11-05,True,0,1.29,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,2022-11-12,True,0,0.51,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,,False,0,,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,,True,0,,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,2023-01-04,False,0,0.83,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,2023-01-14,True,0,0.81,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,,False,0,,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,,True,0,,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,2023-02-11,False,0,0.62,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,2023-02-18,True,0,0.91,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,,False,0,,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,,True,0,,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,,False,0,,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,,True,0,,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,2023-04-01,True,0,0.38,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,,False,0,,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,2023-04-08,False,0,0.6,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,,True,0,,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,2023-04-22,False,0,0.6,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,,True,0,,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,2023-04-29,False,0,0.6,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,,True,0,,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,2023-05-13,False,0,0.27,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,2023-05-20,True,0,1.29,0,0.0,0,0,0.0,0,0.0,0.0
Oliver Hammond,Nott'm Forest,,2023-05-28,False,0,0.39,0,0.0,0,0,0.0,0,0.0,
