name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points
Douglas Luiz Soares de Paulo,Aston Villa,Bournemouth,2022-08-06,False,8,0.0,0.03,0.0,0.0,0,1.0,0.0,1.0,0,0,0.0,0.03,8.0,2.0,3.0,2.22,2.44,0.03,0.0
Douglas Luiz Soares de Paulo,Aston Villa,Everton,,True,0,,,,,0,,,0.0,0,0,0.0,0.01,4.0,2.0,3.0,2.22,2.44,0.03,1.0
Douglas Luiz Soares de Paulo,Aston Villa,Crystal Palace,2022-08-20,False,17,0.0,0.0,0.0,0.07,1,0.0,2.0,3.4,0,0,0.33,0.01,8.33,2.0,3.0,2.22,2.44,0.03,3.0
Douglas Luiz Soares de Paulo,Aston Villa,West Ham,2022-08-28,True,65,0.0,0.0,0.0,0.0,3,0.0,0.0,0.5,0,0,1.0,0.01,22.5,2.0,3.0,2.22,2.44,0.03,7.0
Douglas Luiz Soares de Paulo,Aston Villa,Arsenal,2022-08-31,False,17,1.0,0.01,0.0,0.0,7,1.0,0.0,4.1,1,0,2.2,0.01,21.4,2.0,3.0,2.22,2.44,0.03,2.0
Douglas Luiz Soares de Paulo,Aston Villa,Manchester City,2022-09-03,True,90,0.0,0.0,0.0,0.14,2,0.0,1.0,2.3,0,0,2.6,0.0,32.83,2.0,3.0,2.22,2.44,0.03,1.0
Douglas Luiz Soares de Paulo,Aston Villa,Southampton,2022-09-16,True,46,0.0,0.0,0.0,0.07,1,0.0,1.0,2.7,0,0,2.8,0.0,34.71,2.0,3.0,2.22,2.44,0.03,4.0
Douglas Luiz Soares de Paulo,Aston Villa,Leicester City,2022-10-02,False,90,0.0,0.0,0.0,0.3,4,0.0,2.0,5.1,1,0,3.4,0.0,41.62,2.0,3.0,2.22,2.44,0.03,2.0
Douglas Luiz Soares de Paulo,Aston Villa,Nottingham Forest,2022-10-10,False,90,0.0,0.11,0.0,0.25,2,2.0,2.0,7.6,0,0,3.2,0.02,47.0,2.0,3.0,2.22,2.44,0.03,2.0
Douglas Luiz Soares de Paulo,Aston Villa,Chelsea,2022-10-16,True,90,0.0,0.02,0.0,0.0,2,1.0,0.0,2.7,0,0,2.2,0.03,51.3,2.0,3.0,2.22,2.44,0.03,-1.0
Douglas Luiz Soares de Paulo,Aston Villa,Fulham,2022-10-20,False,61,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.3,0,0,1.6,0.03,52.18,2.0,3.0,2.22,2.44,0.03,6.0
Douglas Luiz Soares de Paulo,Aston Villa,Brentford,2022-10-23,True,90,0.0,0.04,1.0,0.13,6,2.0,3.0,7.3,0,0,2.6,0.23,55.33,2.0,3.0,2.22,2.44,0.03,2.0
Douglas Luiz Soares de Paulo,Aston Villa,Newcastle United,2022-10-29,False,90,0.0,0.0,0.0,0.0,2,0.0,0.0,1.3,0,0,2.2,0.23,58.0,2.0,3.0,2.22,2.44,0.03,2.0
Douglas Luiz Soares de Paulo,Aston Villa,Manchester United,2022-11-06,True,90,0.0,0.0,0.0,0.02,2,0.0,1.0,2.2,0,0,2.2,0.21,60.29,2.0,3.0,2.22,2.44,0.03,6.0
Douglas Luiz Soares de Paulo,Aston Villa,Brighton,2022-11-13,False,82,0.0,0.01,1.0,0.18,6,1.0,1.0,0.0,1,1,3.0,0.41,61.73,2.0,3.0,2.22,2.44,0.03,5.0
Douglas Luiz Soares de Paulo,Aston Villa,Liverpool,2022-12-26,True,90,0.0,0.0,1.0,0.35,5,0.0,3.0,7.3,0,1,4.2,0.61,63.5,2.0,3.0,2.22,2.44,0.03,11.0
Douglas Luiz Soares de Paulo,Aston Villa,Tottenham,2023-01-01,False,81,1.0,0.73,0.0,0.02,11,5.0,1.0,11.1,3,1,5.2,0.55,64.53,2.0,3.0,2.22,2.44,0.03,2.0
Douglas Luiz Soares de Paulo,Aston Villa,Wolverhampton,2023-01-04,True,66,0.0,0.0,0.0,0.07,2,0.0,1.0,1.9,0,1,5.2,0.55,64.61,2.0,3.0,2.22,2.44,0.03,2.0
Douglas Luiz Soares de Paulo,Aston Villa,Leicester City,2023-01-13,True,90,0.0,0.17,0.0,0.51,2,2.0,2.0,5.1,0,1,5.2,0.58,65.95,2.0,3.0,2.22,2.44,0.03,5.0
Douglas Luiz Soares de Paulo,Aston Villa,Southampton,2023-01-21,False,87,0.0,0.03,1.0,0.45,5,2.0,3.0,7.2,0,1,5.0,0.59,67.0,2.0,3.0,2.22,2.44,0.03,2.0
