name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Youri Tielemans,Leicester,Crystal Palace,,False,,0,,,,,0,,,0.0,0,0,0,False,0.4,0.0,58.05,6.0,4.0,4.26,4.3,0.05,0,Leicester,True,Aston Villa,,0.55
Youri Tielemans,Leicester,Aston Villa,,True,,0,,,,,0,,,0.0,0,0,0,False,0.2,0.0,55.52,6.0,4.0,4.26,4.3,0.05,1,Leicester,True,Southampton,,-0.38
Youri Tielemans,Leicester,Southampton,2022-08-20,True,Sub,25,0.0,0.0,0.0,0.0,1,0.0,0.0,1.1,0,0,2,False,0.0,0.0,54.25,6.0,4.0,4.26,4.3,0.05,0,Leicester,True,Bournemouth,,1.46
Youri Tielemans,Leicester,Bournemouth,,True,,0,,,,,0,,,0.0,0,0,0,False,0.2,0.0,52.08,6.0,4.0,4.26,4.3,0.05,2,Leicester,False,Manchester City,1.46,-1.26
Youri Tielemans,Leicester,Manchester City,2023-04-15,False,MC,61,0.0,0.0,0.0,0.0,2,0.0,0.0,0.7,0,0,3,True,0.2,0.0,52.42,6.0,4.0,4.26,4.3,0.05,2,Leicester,True,Wolverhampton,-1.75,-0.48
Youri Tielemans,Leicester,Wolverhampton,2023-04-22,True,DMC,66,0.0,0.01,0.0,0.0,2,1.0,0.0,1.1,0,0,1,True,0.6,0.0,52.93,6.0,4.0,4.26,4.3,0.05,1,Leicester,False,Leicester City,1.46,-0.05
Youri Tielemans,Leicester,Leicester City,2023-04-25,False,DMC,90,0.0,0.03,0.0,0.0,1,1.0,0.0,2.7,0,0,1,True,1.0,0.0,54.25,6.0,4.0,4.26,4.3,0.05,2,Leicester,True,Everton,4.46,0.34
Youri Tielemans,Leicester,Everton,2023-05-01,True,MC,90,0.0,0.02,0.0,0.45,2,1.0,1.0,3.3,0,0,2,True,1.2,0.01,55.48,6.0,4.0,4.26,4.3,0.05,1,Leicester,False,Fulham,,1.37
Youri Tielemans,Leicester,Fulham,2023-05-08,False,DMC,59,0.0,0.06,0.0,0.09,1,3.0,2.0,4.4,0,0,4,True,1.4,0.01,55.6,6.0,4.0,4.26,4.3,0.05,2,Leicester,True,Liverpool,-0.21,-0.53
Youri Tielemans,Leicester,Liverpool,2023-05-15,True,AMC,90,0.0,0.0,0.0,0.04,2,0.0,1.0,4.1,0,0,3,True,1.6,0.02,56.71,6.0,4.0,4.26,4.3,0.05,3,Leicester,False,Newcastle United,1.84,-0.34
Youri Tielemans,Leicester,Newcastle United,2023-05-22,False,MC,90,0.0,0.0,0.0,0.0,3,0.0,0.0,2.0,0,1,0,True,1.6,0.02,57.75,6.0,4.0,4.26,4.3,0.05,6,Leicester,True,West Ham,-0.48,0.63
Youri Tielemans,Leicester,West Ham,2023-05-28,True,AMC,90,0.0,0.02,1.0,0.61,6,1.0,2.0,0.0,1,0,1,True,1.8,0.02,58.73,6.0,4.0,4.26,4.3,0.05,4,Leicester,False,Chelsea,-5.34,-0.72
Youri Tielemans,Leicester,Chelsea,2022-08-27,False,MC,88,0.0,0.05,0.0,1.14,4,2.0,6.0,13.5,2,0,2,False,2.8,0.22,59.59,6.0,4.0,4.26,4.3,0.05,2,Leicester,True,Manchester United,,0.38
Youri Tielemans,Leicester,Manchester United,2022-09-01,True,MC,75,0.0,0.0,0.0,0.04,2,0.0,2.0,3.8,0,0,1,False,3.2,0.23,60.03,6.0,4.0,4.26,4.3,0.05,5,Leicester,False,Brighton,-2.14,-0.39
Youri Tielemans,Leicester,Brighton,2022-09-04,False,MC,71,0.0,0.0,1.0,0.42,5,0.0,3.0,6.8,0,0,4,False,3.4,0.21,60.33,6.0,4.0,4.26,4.3,0.05,7,Leicester,False,Tottenham,3.38,-0.03
Youri Tielemans,Leicester,Tottenham,2022-09-17,False,MC,90,1.0,0.79,0.0,0.0,7,3.0,0.0,9.2,0,0,6,False,4.0,0.41,61.14,6.0,4.0,4.26,4.3,0.05,3,Leicester,True,Nottingham Forest,,
Youri Tielemans,Leicester,Nottingham Forest,2022-10-03,True,MC,79,0.0,0.0,0.0,0.14,3,0.0,2.0,3.8,0,1,0,False,4.8,0.57,61.61,6.0,4.0,4.26,4.3,0.05,1,Aston Villa,False,Newcastle United,6.5,-0.34
