name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,selected,starts,total_points,was_home
Michail Antonio,FWD,West Ham,3,9.0,2024-03-17,65,Aston Villa,201039,1,9,True
Michail Antonio,FWD,West Ham,3,5.7,2023-08-20,75,Chelsea,193305,1,9,True
Michail Antonio,FWD,West Ham,0,0.0,2024-02-26,14,Brentford,180222,0,1,True
Michail Antonio,FWD,West Ham,0,1.1,2023-08-12,77,Bournemouth,195206,1,1,False
Michail Antonio,FWD,West Ham,0,0.0,2023-12-23,0,Manchester United,198570,0,0,True
Michail Antonio,FWD,West Ham,0,0.9,2023-10-29,56,Everton,375008,1,1,True
Michail Antonio,FWD,West Ham,0,0.0,2024-01-02,0,Brighton,188953,0,0,True
Michail Antonio,FWD,West Ham,1,10.3,2023-08-26,78,Brighton,235868,1,7,False
Michail Antonio,FWD,West Ham,0,6.3,2023-11-04,63,Brentford,340643,1,5,False
Michail Antonio,FWD,West Ham,0,0.0,2023-11-25,0,Burnley,301538,0,0,False
Michail Antonio,FWD,West Ham,0,0.0,2023-11-12,11,Nottingham Forest,366189,0,1,True
Michail Antonio,FWD,West Ham,0,0.0,2023-12-17,0,Wolverhampton,205063,0,0,True
Michail Antonio,FWD,West Ham,0,0.0,2023-12-10,0,Fulham,217543,0,0,False
Michail Antonio,FWD,West Ham,0,0.0,2023-12-07,0,Tottenham,230192,0,0,False
Michail Antonio,FWD,West Ham,0,0.0,2023-12-28,0,Arsenal,194010,0,0,False
Michail Antonio,FWD,West Ham,0,0.0,2023-12-03,0,Crystal Palace,249915,0,0,True
Michail Antonio,FWD,West Ham,0,0.0,2024-01-21,0,Sheffield,182647,0,0,False
Michail Antonio,FWD,West Ham,0,0.0,2024-02-11,0,Arsenal,176060,0,0,True
Michail Antonio,FWD,West Ham,0,0.0,2024-02-01,0,Bournemouth,179808,0,0,True
Michail Antonio,FWD,West Ham,0,5.3,2024-03-30,68,Newcastle United,189342,1,6,False
Michail Antonio,FWD,West Ham,0,0.0,2024-02-04,0,Manchester United,178514,0,0,False
Michail Antonio,FWD,West Ham,0,0.6,2024-03-02,10,Everton,181177,0,0,False
Michail Antonio,FWD,West Ham,0,3.6,2024-03-10,45,Burnley,180257,0,1,True
Michail Antonio,FWD,West Ham,0,0.1,2024-02-17,75,Nottingham Forest,174664,1,1,False
Michail Antonio,FWD,West Ham,0,4.1,2024-04-02,90,Tottenham,199768,1,1,True
Michail Antonio,FWD,West Ham,0,3.2,2024-04-06,45,Wolverhampton,209613,0,1,False
Michail Antonio,FWD,West Ham,0,1.0,2024-04-14,81,Fulham,209904,1,2,True
Michail Antonio,FWD,West Ham,0,0.8,2023-09-01,79,Luton,604689,1,2,False
Michail Antonio,FWD,West Ham,0,1.7,2023-09-16,66,Manchester City,461714,1,2,True
Michail Antonio,FWD,West Ham,1,6.2,2024-04-27,90,Liverpool,205322,1,7,True
Michail Antonio,FWD,West Ham,0,1.2,2023-09-24,73,Liverpool,402801,1,2,False
Michail Antonio,FWD,West Ham,0,0.1,2023-10-08,74,Newcastle United,388049,1,1,True
Michail Antonio,FWD,West Ham,0,5.2,2023-09-30,71,Sheffield,459252,1,5,True
Michail Antonio,FWD,West Ham,0,3.1,2023-10-22,89,Aston Villa,378315,1,2,False
Michail Antonio,FWD,West Ham,0,1.2,2024-05-05,69,Chelsea,208541,1,2,False
Michail Antonio,FWD,West Ham,0,0.0,2024-05-19,80,Manchester City,210449,1,2,False
Michail Antonio,FWD,West Ham,0,7.6,2024-04-21,74,Crystal Palace,204908,1,5,False
Michail Antonio,FWD,West Ham,0,4.4,2024-05-11,74,Luton,207918,1,2,True
