name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,selected,starts,total_points,was_home
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2024-03-16,0,Luton,27397,0,0,False
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2023-08-18,0,Sheffield,120452,0,0,True
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2024-02-24,0,Aston Villa,28261,0,0,False
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2023-08-26,0,Manchester United,103240,0,0,False
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2023-08-12,0,Arsenal,123138,0,0,False
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2023-12-15,0,Tottenham,35579,0,0,True
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2023-12-23,0,Bournemouth,34639,0,0,True
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2023-11-05,0,Aston Villa,44269,0,0,True
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2023-10-29,0,Liverpool,46654,0,0,False
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2023-11-12,0,West Ham,42137,0,0,False
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2023-12-09,0,Wolverhampton,37289,0,0,False
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2023-12-06,0,Fulham,38204,0,0,False
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2023-11-25,0,Brighton,40124,0,0,True
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2023-12-30,0,Manchester United,32613,0,0,True
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2023-12-02,0,Everton,39023,0,0,True
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2024-01-20,0,Brentford,30608,0,0,False
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2024-01-30,0,Arsenal,29947,0,0,True
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2023-12-26,0,Newcastle United,33911,0,0,False
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2024-02-04,0,Bournemouth,29564,0,0,False
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2024-03-02,0,Liverpool,28071,0,0,True
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2024-02-10,0,Newcastle United,29092,0,0,True
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2024-03-30,0,Crystal Palace,27482,0,0,True
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2024-03-10,0,Brighton,27755,0,0,False
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2024-02-17,0,West Ham,28609,0,0,True
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2024-04-02,0,Fulham,27414,0,0,True
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2024-04-07,0,Tottenham,27305,0,0,False
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2023-09-02,0,Chelsea,109410,0,0,False
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2023-09-23,0,Manchester City,76318,0,0,False
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2023-09-18,0,Burnley,90068,0,0,True
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2023-10-07,0,Crystal Palace,54936,0,0,False
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2024-04-13,0,Wolverhampton,27190,0,0,True
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2023-10-21,0,Luton,50840,0,0,True
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2024-05-04,0,Sheffield,26805,0,0,False
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2023-10-01,0,Brentford,65395,0,0,True
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2024-05-19,0,Burnley,26416,0,0,False
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2024-04-28,0,Manchester City,26873,0,0,True
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2024-04-21,0,Everton,27017,0,0,False
Hwang Ui-jo,FWD,Nott'm Forest,0,0.0,2024-05-11,0,Chelsea,26596,0,0,True
