name,position,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,starts,total_points,was_home
Willy Boly,DEF,Nott'm Forest,0,0,0.6,1,1.8,2024-03-16,90,Luton,0,1,2,False
Willy Boly,DEF,Nott'm Forest,0,0,0.24,1,5.3,2023-08-18,68,Sheffield,0,1,1,True
Willy Boly,DEF,Nott'm Forest,0,0,2.91,3,10.3,2023-08-26,90,Manchester United,0,1,7,False
Willy Boly,DEF,Nott'm Forest,0,0,0.83,2,6.1,2023-08-12,90,Arsenal,0,1,1,False
Willy Boly,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-02-24,0,Aston Villa,0,0,0,False
Willy Boly,DEF,Nott'm Forest,0,0,1.33,2,5.1,2023-12-15,67,Tottenham,0,1,1,True
Willy Boly,DEF,Nott'm Forest,0,0,0.0,0,0.0,2023-11-25,0,Brighton,0,0,0,True
Willy Boly,DEF,Nott'm Forest,0,0,2.44,2,4.0,2023-10-29,68,Liverpool,0,1,1,False
Willy Boly,DEF,Nott'm Forest,0,0,2.97,3,0.1,2023-12-23,22,Bournemouth,0,1,-3,True
Willy Boly,DEF,Nott'm Forest,0,0,0.0,0,0.0,2023-11-05,0,Aston Villa,0,0,0,True
Willy Boly,DEF,Nott'm Forest,0,0,0.0,0,0.0,2023-12-06,0,Fulham,0,0,0,False
Willy Boly,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-01-20,0,Brentford,0,0,0,False
Willy Boly,DEF,Nott'm Forest,0,0,0.32,0,0.4,2023-12-30,3,Manchester United,0,0,1,True
Willy Boly,DEF,Nott'm Forest,0,0,1.17,1,1.5,2023-12-09,90,Wolverhampton,0,1,2,False
Willy Boly,DEF,Nott'm Forest,0,0,0.45,0,1.9,2023-12-02,45,Everton,0,1,1,True
Willy Boly,DEF,Nott'm Forest,0,0,0.0,0,0.0,2023-12-26,0,Newcastle United,0,0,0,False
Willy Boly,DEF,Nott'm Forest,0,0,0.4,1,1.0,2023-11-12,14,West Ham,0,0,1,False
Willy Boly,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-01-30,0,Arsenal,0,0,0,True
Willy Boly,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-02-10,0,Newcastle United,0,0,0,True
Willy Boly,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-03-30,0,Crystal Palace,0,0,0,True
Willy Boly,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-02-04,0,Bournemouth,0,0,0,False
Willy Boly,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-03-02,0,Liverpool,0,0,0,True
Willy Boly,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-03-10,0,Brighton,0,0,0,False
Willy Boly,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-02-17,0,West Ham,0,0,0,True
Willy Boly,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-04-02,0,Fulham,0,0,0,True
Willy Boly,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-04-07,0,Tottenham,0,0,0,False
Willy Boly,DEF,Nott'm Forest,3,1,2.13,0,4.4,2023-09-02,90,Chelsea,0,1,9,False
Willy Boly,DEF,Nott'm Forest,0,0,0.0,0,0.0,2023-09-18,0,Burnley,0,0,0,True
Willy Boly,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-04-13,0,Wolverhampton,0,0,0,True
Willy Boly,DEF,Nott'm Forest,0,0,1.33,2,4.9,2023-09-23,90,Manchester City,0,1,1,False
Willy Boly,DEF,Nott'm Forest,0,1,0.81,0,3.1,2023-10-07,90,Crystal Palace,0,1,6,False
Willy Boly,DEF,Nott'm Forest,0,0,0.77,2,3.2,2024-04-28,83,Manchester City,0,1,1,True
Willy Boly,DEF,Nott'm Forest,0,1,0.61,0,2.0,2023-10-21,77,Luton,0,1,6,True
Willy Boly,DEF,Nott'm Forest,1,0,2.27,1,5.7,2024-05-04,90,Sheffield,0,1,6,False
Willy Boly,DEF,Nott'm Forest,0,0,1.21,1,3.1,2024-05-19,90,Burnley,0,1,2,False
Willy Boly,DEF,Nott'm Forest,0,0,1.7,1,3.8,2023-10-01,90,Brentford,0,1,2,True
Willy Boly,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-04-21,0,Everton,0,0,0,False
Willy Boly,DEF,Nott'm Forest,3,0,1.81,3,10.4,2024-05-11,90,Chelsea,0,1,10,True
