name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,selected,starts,total_points,was_home
Divin Mubama,FWD,West Ham,0,0.0,2024-03-17,0,Aston Villa,463560,0,0,True
Divin Mubama,FWD,West Ham,0,0.0,2023-08-20,0,Chelsea,1020799,0,0,True
Divin Mubama,FWD,West Ham,0,0.0,2024-02-26,0,Brentford,502649,0,0,True
Divin Mubama,FWD,West Ham,0,0.0,2023-08-12,0,Bournemouth,1006999,0,0,False
Divin Mubama,FWD,West Ham,0,0.0,2023-08-26,0,Brighton,907586,0,0,False
Divin Mubama,FWD,West Ham,0,0.0,2023-12-23,0,Manchester United,638967,0,0,True
Divin Mubama,FWD,West Ham,0,0.0,2023-12-17,3,Wolverhampton,655852,0,1,True
Divin Mubama,FWD,West Ham,0,0.0,2023-11-04,0,Brentford,718766,0,0,False
Divin Mubama,FWD,West Ham,0,0.0,2023-12-07,0,Tottenham,700874,0,0,False
Divin Mubama,FWD,West Ham,0,0.0,2024-01-02,17,Brighton,577463,0,1,True
Divin Mubama,FWD,West Ham,0,0.0,2023-10-29,0,Everton,705908,0,0,True
Divin Mubama,FWD,West Ham,0,0.0,2024-02-01,0,Bournemouth,496179,0,0,True
Divin Mubama,FWD,West Ham,0,0.0,2023-11-12,0,Nottingham Forest,702057,0,0,True
Divin Mubama,FWD,West Ham,0,0.0,2024-02-04,0,Manchester United,481634,0,0,False
Divin Mubama,FWD,West Ham,0,0.0,2023-11-25,28,Burnley,687592,0,1,False
Divin Mubama,FWD,West Ham,0,0.7,2023-12-10,26,Fulham,693839,0,1,False
Divin Mubama,FWD,West Ham,0,0.1,2024-01-21,1,Sheffield,510859,0,1,False
Divin Mubama,FWD,West Ham,0,0.0,2024-03-30,0,Newcastle United,489029,0,0,False
Divin Mubama,FWD,West Ham,0,0.0,2023-12-28,0,Arsenal,615493,0,0,False
Divin Mubama,FWD,West Ham,0,0.0,2024-02-11,0,Arsenal,477275,0,0,True
Divin Mubama,FWD,West Ham,0,0.0,2023-12-03,0,Crystal Palace,695563,0,0,True
Divin Mubama,FWD,West Ham,0,0.0,2024-03-02,0,Everton,508488,0,0,False
Divin Mubama,FWD,West Ham,0,0.0,2024-03-10,0,Burnley,482237,0,0,True
Divin Mubama,FWD,West Ham,0,0.0,2024-02-17,0,Nottingham Forest,517160,0,0,False
Divin Mubama,FWD,West Ham,0,0.0,2024-04-02,0,Tottenham,503041,0,0,True
Divin Mubama,FWD,West Ham,0,0.0,2024-04-06,0,Wolverhampton,505187,0,0,False
Divin Mubama,FWD,West Ham,0,0.0,2024-04-14,0,Fulham,508920,0,0,True
Divin Mubama,FWD,West Ham,0,0.0,2023-09-01,0,Luton,818998,0,0,False
Divin Mubama,FWD,West Ham,0,0.0,2024-05-05,0,Chelsea,480268,0,0,False
Divin Mubama,FWD,West Ham,0,0.0,2024-04-27,0,Liverpool,485097,0,0,True
Divin Mubama,FWD,West Ham,0,0.0,2023-09-24,0,Liverpool,696461,0,0,False
Divin Mubama,FWD,West Ham,0,0.0,2023-09-16,0,Manchester City,762067,0,0,True
Divin Mubama,FWD,West Ham,0,0.0,2023-10-08,0,Newcastle United,646734,0,0,True
Divin Mubama,FWD,West Ham,0,0.0,2024-05-19,0,Manchester City,496900,0,0,False
Divin Mubama,FWD,West Ham,0,0.0,2023-10-22,0,Aston Villa,667067,0,0,False
Divin Mubama,FWD,West Ham,0,0.0,2024-04-21,0,Crystal Palace,498230,0,0,False
Divin Mubama,FWD,West Ham,0,0.0,2023-09-30,0,Sheffield,669171,0,0,True
Divin Mubama,FWD,West Ham,0,0.0,2024-05-11,0,Luton,481944,0,0,True
