h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,scored_normalized,missed_normalized,xG_normalized,xGA_normalized,ppda_normalized,ppda_allowed_normalized,deep_normalized,deep_allowed_normalized
a,0.931067,0.455695,0.931067,0.455695,22.214285714285715,17.705882352941178,3,5,2,2,1.8173,d,2022-08-07 13:00:00,0,1,0,1,0.4753719999999999,0.4,0.4,0.1786142900457626,0.06979255503309009,0.6655011354252685,0.8762126173999012,0.2,0.19230769230769232
h,1.38785,0.896038,1.38785,0.896038,20.4,6.6923076923076925,3,11,4,0,1.7734,w,2022-08-13 16:30:00,1,0,0,3,0.491812,0.8,0.0,0.2859771962854061,0.19156249619765342,0.5917630057803468,0.2037714124111183,0.2,0.4230769230769231
a,1.59352,2.89934,1.59352,2.89934,11.153846153846153,9.625,8,7,2,3,0.5215,l,2022-08-20 14:00:00,0,0,1,0,-1.30582,0.4,0.6,0.3343181567114891,0.7455442029009554,0.21597098710538015,0.382828912815126,0.5333333333333333,0.2692307692307692
h,2.28391,1.65465,2.28391,1.65465,11.5,17.4,9,7,1,1,1.8569,d,2022-08-27 14:00:00,0,1,0,1,0.6292600000000002,0.2,0.2,0.4965883743833103,0.40134473097084555,0.23003973988439308,0.8575367647058822,0.6,0.2692307692307692
a,1.61808,0.777363,1.61808,0.777363,14.473684210526315,13.0,8,1,1,1,2.0356,d,2022-08-30 18:30:00,0,1,0,1,0.8407169999999999,0.2,0.2,0.34009077298058327,0.1587447887112064,0.35089937633100093,0.588891806722689,0.5333333333333333,0.038461538461538464
h,2.7485,1.796,1.98734,1.796,6.7,3.3548387096774195,5,9,5,2,2.0549,w,2022-09-03 14:00:00,1,0,0,3,0.19134,1.0,0.4,0.6057862486690783,0.440432853601638,0.03495303468208094,0.0,0.3333333333333333,0.34615384615384615
h,0.54011,1.32021,0.54011,1.32021,11.541666666666666,10.055555555555555,3,9,0,3,0.7047,l,2022-09-18 11:00:00,0,0,1,0,-0.7801000000000001,0.0,0.6,0.08672321762246245,0.30886060127404885,0.231733200867052,0.40911677170868344,0.2,0.34615384615384615
a,1.046,0.758128,1.046,0.758128,7.64,19.0625,9,6,0,0,1.6037,d,2022-10-01 14:00:00,0,1,0,1,0.287872,0.0,0.0,0.2056283008623669,0.15342565154245297,0.07315751445086704,0.9590418198529411,0.6,0.23076923076923078
a,1.13466,2.44631,0.373493,2.44631,9.15,7.7272727272727275,4,9,1,5,0.4125,l,2022-10-08 14:00:00,0,0,1,0,-2.072817,0.2,1.0,0.22646706952759038,0.6202658711328062,0.13452854046242776,0.26696189839572193,0.26666666666666666,0.34615384615384615
h,1.90636,2.15668,1.1452,2.15668,13.0,3.96,8,14,2,0,1.194,w,2022-10-14 19:00:00,1,0,0,3,-1.0114800000000002,0.4,0.0,0.4078485017287294,0.5401732432052758,0.29100433526011565,0.03694852941176469,0.5333333333333333,0.5384615384615384
h,1.45228,0.557405,1.45228,0.557405,16.705882352941178,10.5,7,14,0,0,2.201,d,2022-10-19 18:30:00,0,1,0,1,0.894875,0.0,0.0,0.3011209123366169,0.09791885820095637,0.44162274736484197,0.43625262605042014,0.4666666666666667,0.5384615384615384
a,1.00462,3.45617,1.00462,2.695,7.363636363636363,7.172413793103448,3,9,0,4,0.1311,l,2022-10-23 13:00:00,0,0,1,0,-1.6903799999999998,0.0,0.8,0.19590228859790773,0.8995267945140021,0.06192524960588544,0.23308461315560705,0.2,0.34615384615384615
h,1.29257,0.557605,1.29257,0.557605,5.84,12.722222222222221,6,2,1,1,2.0292,d,2022-10-29 14:00:00,0,1,0,1,0.734965,0.2,0.2,0.26358245369097233,0.09797416506000241,0.0,0.5719318977591036,0.4,0.07692307692307693
a,1.2204,1.29696,0.459234,1.29696,13.357142857142858,16.235294117647058,6,10,2,2,1.3210000000000002,d,2022-11-05 15:00:00,0,1,0,1,-0.837726,0.4,0.4,0.2466195173660323,0.30243117890994603,0.3055197151114782,0.7864248640632723,0.4,0.38461538461538464
a,3.29012,1.605,3.29012,1.605,16.46153846153846,4.2,6,26,2,1,2.4331,w,2022-11-12 12:30:00,1,0,0,3,1.68512,0.4,0.2,0.7330893603818954,0.38761480321266484,0.43169186305024454,0.051601890756302525,0.4,1.0
h,2.25263,0.883787,2.25263,0.883787,11.583333333333334,8.8125,7,5,2,2,2.4435,d,2022-12-26 12:30:00,0,1,0,1,1.368843,0.4,0.4,0.4892362800471024,0.1881746745467879,0.23342666184971103,0.3332211790966386,0.4666666666666667,0.19230769230769232
a,1.51436,1.13979,1.51436,1.13979,30.444444444444443,10.0,7,5,2,0,1.723,w,2022-12-30 19:45:00,1,0,0,3,0.3745699999999998,0.4,0.0,0.315712281147096,0.25896828372861147,1.0,0.40572478991596633,0.4666666666666667,0.19230769230769232
h,2.0991,2.10461,2.0991,2.10461,16.11764705882353,4.777777777777778,0,19,3,1,1.3942,w,2023-01-02 17:30:00,1,0,0,3,-0.0055100000000001,0.6,0.2,0.4531503771238927,0.525774102452638,0.41771506290377425,0.0868785014005602,0.0,0.7307692307692307
h,1.29815,0.269283,0.536983,0.269283,13.0,10.142857142857142,3,2,2,0,2.4158999999999997,w,2023-01-14 17:30:00,1,0,0,3,0.2677,0.4,0.0,0.2648939845859864,0.01824324399063323,0.29100433526011565,0.4144470288115245,0.2,0.07692307692307693
a,0.17114,0.374736,0.17114,0.374736,7.037037037037037,7.260869565217392,5,7,0,0,0.9567,d,2023-01-22 14:00:00,0,1,0,1,-0.203596,0.0,0.0,0.0,0.04740461502554624,0.048651252408477855,0.23848533978808914,0.3333333333333333,0.2692307692307692
h,2.36747,0.644385,2.36747,0.644385,12.058823529411764,8.578947368421053,12,5,3,0,2.5815,w,2023-02-04 15:00:00,1,0,0,3,1.723085,0.6,0.0,0.5162284320154564,0.12197181120008141,0.2527520401224074,0.31896146616541354,0.8,0.19230769230769232
