h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,scored_normalized,missed_normalized,xG_normalized,xGA_normalized,ppda_normalized,ppda_allowed_normalized,deep_normalized,deep_allowed_normalized
h,0.822944,1.26793,0.822944,1.26793,11.333333333333334,16.263157894736842,9,5,0,1,0.9577,l,2020-09-13 15:30:00,0,0,1,0,-0.444986,0.0,0.3333333333333333,0.22468951685801633,0.31697151340675006,0.20837696335078537,0.3648090815273478,0.8181818181818182,0.2
a,2.28004,2.27708,2.28004,1.51591,10.782608695652174,8.666666666666666,3,4,5,2,1.3870999999999998,w,2020-09-20 11:00:00,1,0,0,3,0.76413,0.8333333333333334,0.6666666666666666,0.6804430495753359,0.6560080335344293,0.1876166628727521,0.11655773420479301,0.2727272727272727,0.15
h,3.18765,0.942726,3.18765,0.181557,9.68421052631579,35.7,6,4,1,1,2.7474,d,2020-09-27 13:00:00,0,1,0,1,3.006093,0.16666666666666666,0.3333333333333333,0.9643272025958411,0.2077151763987713,0.1462110774317994,1.0,0.5454545454545454,0.15
a,3.3017,0.873435,2.54054,0.112267,6.676470588235294,19.875,8,3,6,1,2.7894,w,2020-10-04 15:30:00,1,0,0,3,2.428273,1.0,0.3333333333333333,1.0,0.18443600133444288,0.03283030489682786,0.48284313725490197,0.7272727272727273,0.1
h,1.77602,1.49992,1.77602,1.49992,12.3,18.058823529411764,1,7,3,3,1.5810000000000002,d,2020-10-18 15:30:00,0,1,0,1,0.2761,0.5,1.0,0.5227946203982716,0.39491144533403566,0.2448167539267016,0.42349096501345634,0.09090909090909091,0.3
a,0.797344,0.95045,0.797344,0.95045,9.777777777777779,14.869565217391305,6,4,1,0,1.1995,w,2020-10-26 20:00:00,1,0,0,3,-0.1531059999999999,0.16666666666666666,0.0,0.2166822953451144,0.21031015046750856,0.149738219895288,0.3192668371696505,0.5454545454545454,0.15
h,1.97236,0.324457,1.21119,0.324457,9.566666666666666,14.785714285714286,3,7,2,1,2.6927,w,2020-11-01 19:15:00,1,0,0,3,0.886733,0.3333333333333333,0.3333333333333333,0.5842062560171454,0.0,0.1417801047120419,0.31652661064425774,0.2727272727272727,0.3
a,1.87063,0.799352,1.87063,0.799352,7.473684210526316,16.4375,4,6,1,0,2.2041,w,2020-11-08 12:00:00,1,0,0,3,1.071278,0.16666666666666666,0.0,0.5523869339660706,0.15954689414461098,0.06288233673188207,0.37050653594771243,0.36363636363636365,0.25
h,0.761142,1.66325,0.761142,1.66325,14.75,6.56,2,9,2,0,0.6779,w,2020-11-21 17:30:00,1,0,0,3,-0.902108,0.3333333333333333,0.0,0.20535895811034577,0.4497841945115155,0.33717277486910996,0.04771241830065359,0.18181818181818182,0.4
a,0.22689,0.974755,0.22689,0.974755,32.333333333333336,9.875,4,4,0,0,0.6184000000000001,d,2020-11-29 16:30:00,0,1,0,1,-0.747865,0.0,0.0,0.03825450077788906,0.21847571814496308,1.0,0.15604575163398693,0.36363636363636365,0.15
h,0.390629,0.595216,0.390629,0.595216,19.75,5.1,1,11,2,0,1.052,w,2020-12-06 16:30:00,1,0,0,3,-0.2045869999999999,0.3333333333333333,0.0,0.0894691274693364,0.09096486067804614,0.5256544502617801,0.0,0.09090909090909091,0.5
a,1.40792,1.84443,1.40792,1.84443,10.722222222222221,10.7,4,10,1,1,1.0252,d,2020-12-13 14:15:00,0,1,0,1,-0.4365099999999999,0.16666666666666666,0.3333333333333333,0.4076595329412714,0.5106538736640033,0.18534031413612562,0.1830065359477124,0.36363636363636365,0.45
a,1.5161,1.21783,1.5161,1.21783,18.047619047619047,7.352941176470588,0,18,1,2,1.6435,l,2020-12-16 20:00:00,0,0,1,0,0.29827,0.16666666666666666,0.6666666666666666,0.44149629947508906,0.300139793981098,0.4614809274495138,0.07362552864282967,0.0,0.85
h,0.945932,1.74772,0.945932,0.986554,9.476190476190476,11.782608695652174,5,13,0,2,0.7026,l,2020-12-20 14:15:00,0,0,1,0,-0.040622,0.0,0.6666666666666666,0.26315796058570323,0.47816294381061386,0.13836948391922216,0.21838590508667236,0.45454545454545453,0.6
a,0.408109,0.742598,0.408109,0.742598,16.72222222222222,6.634146341463414,5,5,1,1,0.9535,d,2020-12-27 19:15:00,0,1,0,1,-0.334489,0.16666666666666666,0.3333333333333333,0.09493655840861477,0.1404796804862586,0.4115183246073298,0.05013550135501355,0.45454545454545453,0.2
