name,team,opponent_team,date,was_home,minutes,goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA
Arthur Okonkwo,Arsenal,Manchester City,,False,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Norwich,,True,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Burnley,,False,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Tottenham,,True,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Brighton,,False,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Crystal Palace,,True,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Aston Villa,,True,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Leeds United,,False,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Watford,2021-11-07,True,0,0,0,0,0,0,0,0.0
Arthur Okonkwo,Arsenal,Liverpool,,False,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Newcastle United,,True,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Manchester United,,False,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Everton,,False,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Southampton,,True,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,West Ham,2021-12-15,True,0,0,0,0,0,0,0,0.0181907657533884
Arthur Okonkwo,Arsenal,Leicester City,,False,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Norwich,2021-12-26,False,0,0,0,0,0,0,0,0.0
Arthur Okonkwo,Arsenal,Manchester City,2022-01-01,True,0,0,0,0,0,0,0,0.0
Arthur Okonkwo,Arsenal,Burnley,,True,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Wolverhampton,,False,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Brentford,,True,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Wolverhampton,,True,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Watford,,False,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Leeds United,,True,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Liverpool,,True,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Aston Villa,,False,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Crystal Palace,,False,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Brighton,,True,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Southampton,,False,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Chelsea,,False,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Manchester United,,True,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,West Ham,,False,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Leicester City,,True,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Tottenham,,False,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Newcastle United,,False,0,0,0,0,0,0,0,
Arthur Okonkwo,Arsenal,Everton,,True,0,0,0,0,0,0,0,
