name,team,opponent_team,date,was_home,minutes,goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA
Alisson Ramses Becker,Liverpool,Norwich,2021-08-14,False,90,0,3,0,7,0,1,0.0
Alisson Ramses Becker,Liverpool,Burnley,2021-08-21,True,90,0,3,0,8,1,1,0.0
Alisson Ramses Becker,Liverpool,Chelsea,2021-08-28,True,90,1,2,0,2,0,0,0.0
Alisson Ramses Becker,Liverpool,Leicester City,2021-09-12,False,90,0,4,0,9,2,1,0.0
Alisson Ramses Becker,Liverpool,Crystal Palace,2021-09-18,True,90,0,2,0,7,1,1,0.0
Alisson Ramses Becker,Liverpool,Brentford,2021-09-25,False,90,3,0,0,1,0,0,0.0
Alisson Ramses Becker,Liverpool,Manchester City,2021-10-03,True,90,2,1,0,1,0,0,0.0
Alisson Ramses Becker,Liverpool,Watford,,False,0,0,0,0,0,0,0,
Alisson Ramses Becker,Liverpool,Manchester United,2021-10-24,False,90,0,3,0,7,0,1,0.0
Alisson Ramses Becker,Liverpool,Brighton,2021-10-30,True,90,2,4,0,2,0,0,0.0
Alisson Ramses Becker,Liverpool,West Ham,2021-11-07,False,90,3,1,0,-1,0,0,0.0
Alisson Ramses Becker,Liverpool,Arsenal,2021-11-20,True,90,0,3,0,8,1,1,0.0
Alisson Ramses Becker,Liverpool,Southampton,2021-11-27,True,90,0,3,0,7,0,1,0.0
Alisson Ramses Becker,Liverpool,Everton,2021-12-01,False,90,1,1,0,2,0,0,0.0
Alisson Ramses Becker,Liverpool,Wolverhampton,2021-12-04,False,90,0,1,0,6,0,1,0.0
Alisson Ramses Becker,Liverpool,Aston Villa,2021-12-11,True,90,0,0,0,6,0,1,0.0
Alisson Ramses Becker,Liverpool,Newcastle United,2021-12-16,True,90,1,1,0,2,0,0,0.0
Alisson Ramses Becker,Liverpool,Tottenham,2021-12-19,False,90,2,3,0,2,0,0,0.0
Alisson Ramses Becker,Liverpool,Leeds United,2021-12-28,False,90,1,0,0,2,0,0,0.0
Alisson Ramses Becker,Liverpool,Chelsea,,False,0,0,0,0,0,0,0,
Alisson Ramses Becker,Liverpool,Brentford,2022-01-16,True,90,0,1,0,6,0,1,0.0
Alisson Ramses Becker,Liverpool,Crystal Palace,2022-01-23,False,90,1,4,0,3,0,0,0.0
Alisson Ramses Becker,Liverpool,Leeds United,2022-02-10,True,90,0,1,0,6,0,1,0.0
Alisson Ramses Becker,Liverpool,Burnley,2022-02-13,False,90,0,5,0,10,3,1,0.0
Alisson Ramses Becker,Liverpool,Norwich,2022-02-19,True,90,1,0,0,5,0,0,0.1280679851770401
Alisson Ramses Becker,Liverpool,Leicester City,2022-02-23,True,90,0,2,0,6,0,1,0.0
Alisson Ramses Becker,Liverpool,West Ham,2022-03-05,True,90,0,4,0,9,2,1,0.0
Alisson Ramses Becker,Liverpool,Brighton,2022-03-12,False,90,0,3,0,9,2,1,0.0
Alisson Ramses Becker,Liverpool,Arsenal,2022-03-16,False,90,0,2,0,6,0,1,0.0
Alisson Ramses Becker,Liverpool,Watford,2022-04-02,True,90,0,2,0,6,0,1,0.0
Alisson Ramses Becker,Liverpool,Manchester City,2022-04-10,False,90,2,2,0,1,0,0,0.0
Alisson Ramses Becker,Liverpool,Manchester United,2022-04-19,True,90,0,1,0,6,0,1,0.0
Alisson Ramses Becker,Liverpool,Everton,2022-04-24,True,90,0,1,0,6,0,1,0.0
Alisson Ramses Becker,Liverpool,Newcastle United,2022-04-30,False,90,0,2,0,9,3,1,0.0
Alisson Ramses Becker,Liverpool,Tottenham,2022-05-07,True,90,1,2,0,2,0,0,0.0
Alisson Ramses Becker,Liverpool,Aston Villa,2022-05-10,False,90,1,3,0,3,0,0,0.0
Alisson Ramses Becker,Liverpool,Southampton,2022-05-17,False,90,1,1,0,2,0,0,0.0
Alisson Ramses Becker,Liverpool,Wolverhampton,2022-05-22,True,90,1,4,0,3,0,0,0.0
