name,team,opponent_team,date,was_home,minutes,goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA
Matthew Cox,Brentford,Burnley,,False,0,0,0,0,0,0,0,
Matthew Cox,Brentford,Norwich,,True,0,0,0,0,0,0,0,
Matthew Cox,Brentford,Newcastle United,2021-11-20,False,0,0,0,0,0,0,0,0.0
Matthew Cox,Brentford,Everton,,True,0,0,0,0,0,0,0,
Matthew Cox,Brentford,Tottenham,,False,0,0,0,0,0,0,0,
Matthew Cox,Brentford,Leicester City,2021-12-05,False,0,0,0,0,0,0,0,0.1611825227737426
Matthew Cox,Brentford,Watford,,True,0,0,0,0,0,0,0,
Matthew Cox,Brentford,Brighton,2021-12-26,False,0,0,0,0,0,0,0,0.1733080148696899
Matthew Cox,Brentford,Manchester City,,True,0,0,0,0,0,0,0,
Matthew Cox,Brentford,Aston Villa,2022-01-02,True,0,0,0,0,0,0,0,0.0157834719866514
Matthew Cox,Brentford,Southampton,,False,0,0,0,0,0,0,0,
Matthew Cox,Brentford,Liverpool,,False,0,0,0,0,0,0,0,
Matthew Cox,Brentford,Manchester United,,True,0,0,0,0,0,0,0,
Matthew Cox,Brentford,Wolverhampton,2022-01-22,True,0,0,0,0,0,0,0,0.0
Matthew Cox,Brentford,Manchester City,2022-02-09,False,0,0,0,0,0,0,0,0.0611620582640171
Matthew Cox,Brentford,Crystal Palace,,True,0,0,0,0,0,0,0,
Matthew Cox,Brentford,Arsenal,2022-02-19,False,0,0,0,0,0,0,0,0.0844135805964469
Matthew Cox,Brentford,Newcastle United,2022-02-26,True,0,0,0,0,0,0,0,0.0
Matthew Cox,Brentford,Norwich,2022-03-05,False,0,0,0,0,0,0,0,0.4475313723087311
Matthew Cox,Brentford,Burnley,,True,0,0,0,0,0,0,0,
Matthew Cox,Brentford,Leeds United,,False,0,0,0,0,0,0,0,
Matthew Cox,Brentford,Chelsea,2022-04-02,False,0,0,0,0,0,0,0,0.0
Matthew Cox,Brentford,West Ham,,True,0,0,0,0,0,0,0,
Matthew Cox,Brentford,Watford,,False,0,0,0,0,0,0,0,
Matthew Cox,Brentford,Tottenham,2022-04-23,True,0,0,0,0,0,0,0,0.0
Matthew Cox,Brentford,Manchester United,,False,0,0,0,0,0,0,0,
Matthew Cox,Brentford,Southampton,2022-05-07,True,0,0,0,0,0,0,0,0.0681875422596931
Matthew Cox,Brentford,Everton,2022-05-15,False,0,0,0,0,0,0,0,0.0
Matthew Cox,Brentford,Leicester City,2022-05-22,True,0,0,0,0,0,0,0,0.0
