name,team,opponent_team,date,was_home,minutes,goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA
Jed Steer,Aston Villa,Watford,,False,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Newcastle United,,True,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Brentford,,True,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Chelsea,2021-09-11,False,90,3,1,0,1,0,0,0.0
Jed Steer,Aston Villa,Everton,,True,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Manchester United,,False,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Tottenham,,False,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Wolverhampton,,True,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Arsenal,,False,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,West Ham,,True,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Southampton,,False,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Brighton,,True,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Crystal Palace,,False,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Manchester City,,True,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Leeds United,,True,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Liverpool,,False,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Norwich,,False,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Chelsea,,True,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Brentford,,False,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Manchester United,,True,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Everton,,False,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Leicester City,,True,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Newcastle United,,False,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Watford,,True,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Brighton,,False,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Southampton,,True,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Leicester City,,False,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,West Ham,,False,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Arsenal,,True,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Wolverhampton,,False,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Tottenham,,True,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Leeds United,,False,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Norwich,,True,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Burnley,,False,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Liverpool,,True,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Crystal Palace,,True,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Burnley,,True,0,0,0,0,0,0,0,
Jed Steer,Aston Villa,Manchester City,,False,0,0,0,0,0,0,0,
