name,team,opponent_team,date,was_home,minutes,goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA
Kepa Arrizabalaga,Chelsea,Crystal Palace,,True,0,0,0,0,0,0,0,
Kepa Arrizabalaga,Chelsea,Arsenal,,False,0,0,0,0,0,0,0,
Kepa Arrizabalaga,Chelsea,Liverpool,,False,0,0,0,0,0,0,0,
Kepa Arrizabalaga,Chelsea,Aston Villa,2021-09-11,True,0,0,0,0,0,0,0,0.0
Kepa Arrizabalaga,Chelsea,Tottenham,,False,90,0,2,0,6,0,1,
Kepa Arrizabalaga,Chelsea,Manchester City,,True,0,0,0,0,0,0,0,
Kepa Arrizabalaga,Chelsea,Southampton,2021-10-02,True,0,0,0,0,0,0,0,0.0
Kepa Arrizabalaga,Chelsea,Brentford,,False,0,0,0,0,0,0,0,
Kepa Arrizabalaga,Chelsea,Norwich,,True,0,0,0,0,0,0,0,
Kepa Arrizabalaga,Chelsea,Newcastle United,2021-10-30,False,0,0,0,0,0,0,0,0.0
Kepa Arrizabalaga,Chelsea,Burnley,,True,0,0,0,0,0,0,0,
Kepa Arrizabalaga,Chelsea,Leeds United,2021-11-20,False,0,0,0,0,0,0,0,0.0
Kepa Arrizabalaga,Chelsea,Manchester United,,True,0,0,0,0,0,0,0,
Kepa Arrizabalaga,Chelsea,Watford,,False,0,0,0,0,0,0,0,
Kepa Arrizabalaga,Chelsea,West Ham,,False,0,0,0,0,0,0,0,
Kepa Arrizabalaga,Chelsea,Leicester City,2021-12-11,True,0,0,0,0,0,0,0,0.0
Kepa Arrizabalaga,Chelsea,Everton,,True,0,0,0,0,0,0,0,
Kepa Arrizabalaga,Chelsea,Wolverhampton,,False,0,0,0,0,0,0,0,
Kepa Arrizabalaga,Chelsea,Aston Villa,2021-12-26,False,0,0,0,0,0,0,0,0.0
Kepa Arrizabalaga,Chelsea,Brighton,,True,0,0,0,0,0,0,0,
Kepa Arrizabalaga,Chelsea,Liverpool,,True,0,0,0,0,0,0,0,
Kepa Arrizabalaga,Chelsea,Manchester City,,False,90,1,5,0,3,0,0,
Kepa Arrizabalaga,Chelsea,Brighton,,False,90,1,1,0,2,0,0,
Kepa Arrizabalaga,Chelsea,Tottenham,2022-01-23,True,90,0,3,0,8,1,1,0.0
Kepa Arrizabalaga,Chelsea,Crystal Palace,2022-02-19,False,0,0,0,0,0,0,0,0.0
Kepa Arrizabalaga,Chelsea,Burnley,,False,0,0,0,0,0,0,0,
Kepa Arrizabalaga,Chelsea,Norwich,,False,0,0,0,0,0,0,0,
Kepa Arrizabalaga,Chelsea,Newcastle United,2022-03-13,True,0,0,0,0,0,0,0,0.0
Kepa Arrizabalaga,Chelsea,Brentford,,True,0,0,0,0,0,0,0,
Kepa Arrizabalaga,Chelsea,Southampton,2022-04-09,False,0,0,0,0,0,0,0,0.0
Kepa Arrizabalaga,Chelsea,Arsenal,2022-04-20,True,0,0,0,0,0,0,0,0.0
Kepa Arrizabalaga,Chelsea,West Ham,,True,0,0,0,0,0,0,0,
Kepa Arrizabalaga,Chelsea,Manchester United,,False,0,0,0,0,0,0,0,
Kepa Arrizabalaga,Chelsea,Everton,2022-05-01,False,0,0,0,0,0,0,0,0.0
Kepa Arrizabalaga,Chelsea,Wolverhampton,,True,0,0,0,0,0,0,0,
Kepa Arrizabalaga,Chelsea,Leicester City,,False,0,0,0,0,0,0,0,
Kepa Arrizabalaga,Chelsea,Leeds United,,True,0,0,0,0,0,0,0,
Kepa Arrizabalaga,Chelsea,Watford,2022-05-22,True,0,0,0,0,0,0,0,0.0
