name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_expected_goals_conceded,last_season_clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Tim Ream,Fulham,Everton,2023-08-12,False,DC,90,0.0,0.0,0.0,0.0,7,0.0,0.0,1.6,1,1,0,2.73,True,0.0,0.0,90.0,1.0,0.5,0.07,28.05,0.25,2.0,Fulham,False,Brighton,-1.45,-0.6
Tim Ream,Fulham,Brighton,2023-10-29,False,DC,90,0.0,0.0,0.0,0.0,2,0.0,0.0,1.9,0,0,1,1.32,True,7.0,0.0,90.0,0.5,0.5,0.07,28.05,0.25,2.0,Fulham,True,Manchester United,2.97,0.38
Tim Ream,Fulham,Manchester United,2023-11-04,True,DC,90,0.0,0.0,0.0,0.0,2,0.0,0.0,1.6,0,0,1,0.69,True,4.5,0.0,90.0,0.33,0.5,0.07,28.05,0.25,1.0,Fulham,False,Aston Villa,1.75,0.29
Tim Ream,Fulham,Aston Villa,2023-11-12,False,DC,90,0.0,0.0,0.0,0.0,1,0.0,0.0,1.1,0,0,3,3.08,True,3.67,0.0,90.0,0.25,0.5,0.07,28.05,0.25,0.0,Fulham,True,Wolverhampton,0.25,0.05
Tim Ream,Fulham,Wolverhampton,2023-11-27,True,DC,90,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,2,1.41,True,3.0,0.0,90.0,0.2,0.5,0.07,28.05,0.25,0.0,Fulham,False,Liverpool,0.06,-1.01
Tim Ream,Fulham,Liverpool,2023-12-03,False,DC,90,0.0,0.0,0.0,0.0,0,0.0,0.0,2.8,0,0,4,2.22,True,2.4,0.0,90.0,0.17,0.5,0.07,28.05,0.25,0.0,Fulham,True,Nottingham Forest,-2.94,1.55
Tim Ream,Fulham,Nottingham Forest,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.0,0.0,77.14,0.17,0.5,0.07,28.05,0.25,0.0,Fulham,True,West Ham,3.48,0.49
Tim Ream,Fulham,West Ham,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.6,0.0,67.5,0.17,0.5,0.07,28.05,0.25,0.0,Fulham,False,Newcastle United,0.12,-0.41
Tim Ream,Fulham,Newcastle United,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.2,0.0,60.0,0.17,0.5,0.07,28.05,0.25,0.0,Fulham,True,Burnley,,0.39
Tim Ream,Fulham,Burnley,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,54.0,0.17,0.5,0.07,28.05,0.25,0.0,Fulham,False,Bournemouth,3.26,0.19
Tim Ream,Fulham,Bournemouth,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,49.09,0.17,0.5,0.07,28.05,0.25,-2.0,Fulham,True,Brentford,-2.09,0.79
Tim Ream,Fulham,Brentford,2023-08-19,True,DC,63,0.0,0.0,0.0,0.0,-2,0.0,0.0,0.3,0,0,3,6.46,True,0.0,0.0,50.25,0.14,0.5,0.07,28.05,0.25,0.0,Fulham,True,Arsenal,3.29,-0.11
Tim Ream,Fulham,Arsenal,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,-0.4,0.0,46.38,0.14,0.5,0.07,28.05,0.25,0.0,Fulham,False,Chelsea,-0.32,-0.85
Tim Ream,Fulham,Chelsea,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,-0.4,0.0,43.07,0.14,0.5,0.07,28.05,0.25,1.0,Fulham,True,Everton,1.34,0.53
Tim Ream,Fulham,Everton,2024-01-30,True,Sub,15,0.0,0.0,0.0,0.0,1,0.0,0.0,1.2,0,0,0,1.19,False,-0.4,0.0,41.2,0.14,0.5,0.07,28.05,0.25,1.0,Fulham,False,Burnley,,0.0
Tim Ream,Fulham,Burnley,2024-02-03,False,DC,90,0.0,0.0,0.0,0.0,1,0.0,0.0,1.6,0,0,2,1.68,True,-0.2,0.0,44.25,0.12,0.5,0.07,28.05,0.25,2.0,Fulham,True,Bournemouth,1.23,1.22
Tim Ream,Fulham,Bournemouth,2024-02-10,True,DC,90,0.0,0.0,0.0,0.0,2,0.0,0.0,4.1,0,0,1,1.84,True,0.0,0.0,46.94,0.11,0.5,0.07,28.05,0.25,1.0,Fulham,True,Aston Villa,-3.96,0.64
Tim Ream,Fulham,Aston Villa,2024-02-17,True,DC,75,0.0,0.0,0.0,0.0,1,0.0,0.0,2.3,0,0,2,1.65,True,0.8,0.0,48.5,0.1,0.5,0.07,28.05,0.25,0.0,Fulham,False,Manchester United,0.59,-0.63
Tim Ream,Fulham,Manchester United,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.0,0.0,45.95,0.1,0.5,0.07,28.05,0.25,0.0,Fulham,True,Brighton,-0.52,-0.66
Tim Ream,Fulham,Brighton,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.0,0.0,43.65,0.1,0.5,0.07,28.05,0.25,0.0,Fulham,False,Wolverhampton,-0.42,-0.52
Tim Ream,Fulham,Wolverhampton,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.8,0.0,41.57,0.1,0.5,0.07,28.05,0.25,0.0,Fulham,True,Tottenham,,0.69
Tim Ream,Fulham,Tottenham,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.6,0.0,39.68,0.1,0.5,0.07,28.05,0.25,0.0,Fulham,False,Arsenal,-0.68,-0.48
Tim Ream,Fulham,Arsenal,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.2,0.0,37.96,0.1,0.5,0.07,28.05,0.25,0.0,Fulham,False,Sheffield,,-0.61
Tim Ream,Fulham,Sheffield,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,36.38,0.1,0.5,0.07,28.05,0.25,0.0,Fulham,False,Nottingham Forest,-0.51,-0.55
