name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts
Ben Mee,Brentford,West Ham,2023-11-04,True,Sub,1,0,0.0,0,0.0,1,0,0,0.5,0,0,0,0.02,False
Ben Mee,Brentford,Liverpool,2023-11-12,False,DC,90,0,0.0656427145004272,0,0.0241678748279809,1,1,1,3.7,0,0,3,1.53,True
Ben Mee,Brentford,Arsenal,2023-11-25,True,DC,90,0,0.0,0,0.0867915228009224,2,0,1,4.0,0,0,1,1.52,True
Ben Mee,Brentford,Luton,2023-12-02,True,DC,90,1,0.2239204049110412,0,0.0477231740951538,14,3,2,11.0,3,0,1,0.23,True
Ben Mee,Brentford,Brighton,2023-12-06,False,DC,90,0,0.0554206743836402,0,0.0,1,1,0,1.9,0,0,2,1.52,True
Ben Mee,Brentford,Sheffield,2023-12-09,False,DC,90,0,0.1059639826416969,0,0.0,2,1,0,2.9,0,0,1,0.89,True
Ben Mee,Brentford,Aston Villa,2023-12-17,True,DC,70,0,0.0,0,0.0,-2,0,0,0.7,0,0,2,2.0,True
Ben Mee,Brentford,Nottingham Forest,2024-01-20,True,DC,90,1,0.4317564964294433,0,0.0250567197799682,7,2,1,10.9,0,0,2,1.09,True
Ben Mee,Brentford,Tottenham,2024-01-31,False,DC,90,0,0.0773572474718093,0,0.0,1,1,0,4.3,0,0,3,2.86,True
Ben Mee,Brentford,Manchester City,2024-02-05,True,DC,90,0,0.0,0,0.0,1,0,0,2.8,0,0,3,2.15,True
Ben Mee,Brentford,Wolverhampton,2024-02-10,False,DC,90,0,0.0,0,0.0,6,0,0,2.1,0,1,0,1.13,True
Ben Mee,Brentford,Liverpool,2024-02-17,True,DC,90,0,0.4955456554889679,0,0.0,0,1,0,2.5,0,0,4,2.82,True
Ben Mee,Brentford,Manchester City,2024-02-20,False,DC,90,0,0.0,0,0.0,1,0,0,2.2,0,0,1,2.46,True
Ben Mee,Brentford,West Ham,2024-02-26,False,DC,60,0,0.0,0,0.0,1,0,0,0.6,0,0,2,1.13,True
Ben Mee,Brentford,Bournemouth,2023-09-02,True,DC,80,0,0.0,0,0.0661580115556716,1,0,1,3.2,0,0,2,2.02,True
Ben Mee,Brentford,Newcastle United,2023-09-16,False,DC,71,0,0.0,0,0.0,2,0,0,0.9,0,0,1,1.43,True
