name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_expected_goals_conceded,last_season_clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_fixture_difficulty
Gonzalo Montiel,Nott'm Forest,Liverpool,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,Nott'm Forest,True,Aston Villa,-2.76
Gonzalo Montiel,Nott'm Forest,Aston Villa,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,Nott'm Forest,False,West Ham,3.49
Gonzalo Montiel,Nott'm Forest,West Ham,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,Nott'm Forest,True,Brighton,-1.91
Gonzalo Montiel,Nott'm Forest,Brighton,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,Nott'm Forest,True,Everton,1.16
Gonzalo Montiel,Nott'm Forest,Everton,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,Nott'm Forest,False,Fulham,5.33
Gonzalo Montiel,Nott'm Forest,Fulham,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,Nott'm Forest,False,Wolverhampton,0.48
Gonzalo Montiel,Nott'm Forest,Wolverhampton,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,Nott'm Forest,True,Tottenham,4.06
Gonzalo Montiel,Nott'm Forest,Tottenham,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,Nott'm Forest,True,Bournemouth,0.52
Gonzalo Montiel,Nott'm Forest,Bournemouth,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,0.0,0.0,0,0,0,0,1.0,Nott'm Forest,False,Newcastle United,-1.87
Gonzalo Montiel,Nott'm Forest,Newcastle United,2023-12-26,False,DR,69,0.0,0.0,0.0,0.27,1,0.0,1.0,3.4,0,0,1,1.61,True,0.0,0.0,6.9,0.0,0,0,0,0,12.0,Nott'm Forest,True,Manchester United,0.67
Gonzalo Montiel,Nott'm Forest,Manchester United,2023-12-30,True,DR,73,0.0,0.0,1.0,0.35,12,0.0,1.0,4.1,3,1,0,0.24,True,0.2,0.0,12.91,0.5,0,0,0,0,0.0,Nott'm Forest,False,Brentford,1.33
Gonzalo Montiel,Nott'm Forest,Brentford,2024-01-20,False,DR,85,0.0,0.0,0.0,0.0,0,0.0,0.0,2.1,0,0,3,1.29,True,2.6,0.2,18.92,0.33,0,0,0,0,4.0,Nott'm Forest,True,Arsenal,-1.92
Gonzalo Montiel,Nott'm Forest,Arsenal,2024-01-30,True,DR,90,0.0,0.0,1.0,0.33,4,0.0,1.0,5.6,0,0,2,1.23,True,2.6,0.2,24.38,0.25,0,0,0,0,1.0,Nott'm Forest,False,Bournemouth,0.9
Gonzalo Montiel,Nott'm Forest,Bournemouth,2024-02-04,False,Sub,12,0.0,0.0,0.0,0.0,1,0.0,0.0,0.3,0,0,0,0.0,False,3.4,0.4,23.5,0.25,0,0,0,0,0.0,Nott'm Forest,True,Newcastle United,0.52
Gonzalo Montiel,Nott'm Forest,Newcastle United,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,3.6,0.4,21.93,0.25,0,0,0,0,0.0,Nott'm Forest,True,West Ham,-2.72
Gonzalo Montiel,Nott'm Forest,West Ham,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,3.4,0.4,20.56,0.25,0,0,0,0,0.0,Nott'm Forest,False,Aston Villa,2.52
Gonzalo Montiel,Nott'm Forest,Aston Villa,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.0,0.2,19.35,0.25,0,0,0,0,0.0,Nott'm Forest,True,Liverpool,-1.05
Gonzalo Montiel,Nott'm Forest,Liverpool,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.0,0.2,18.28,0.25,0,0,0,0,0.0,Nott'm Forest,False,Brighton,1.21
Gonzalo Montiel,Nott'm Forest,Brighton,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.2,0.0,17.32,0.25,0,0,0,0,0.0,Nott'm Forest,False,Luton,-1.05
Gonzalo Montiel,Nott'm Forest,Luton,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,16.45,0.25,0,0,0,0,0.0,Nott'm Forest,False,Manchester United,1.16
Gonzalo Montiel,Nott'm Forest,Manchester United,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,15.67,0.25,0,0,0,0,0.0,Nott'm Forest,True,Crystal Palace,-0.57
Gonzalo Montiel,Nott'm Forest,Crystal Palace,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,14.95,0.25,0,0,0,0,0.0,Nott'm Forest,True,Fulham,-2.25
Gonzalo Montiel,Nott'm Forest,Fulham,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,14.3,0.25,0,0,0,0,1.0,Nott'm Forest,False,Tottenham,0.66
Gonzalo Montiel,Nott'm Forest,Tottenham,2024-04-07,False,Sub,3,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,0,0,0.02,False,0.0,0.0,13.83,0.25,0,0,0,0,0.0,Nott'm Forest,True,Wolverhampton,-0.63
Gonzalo Montiel,Nott'm Forest,Wolverhampton,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.2,0.0,13.28,0.25,0,0,0,0,0.0,Nott'm Forest,False,Everton,2.01
Gonzalo Montiel,Nott'm Forest,Everton,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.2,0.0,12.77,0.25,0,0,0,0,1.0,Nott'm Forest,True,Manchester City,-0.22
Gonzalo Montiel,Nott'm Forest,Manchester City,2024-04-28,True,Sub,55,0.0,0.03,0.0,0.64,1,1.0,2.0,3.9,0,0,1,0.62,False,0.2,0.0,14.33,0.25,0,0,0,0,1.0,Nott'm Forest,False,Sheffield,-2.75
Gonzalo Montiel,Nott'm Forest,Sheffield,2024-05-04,False,DR,82,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,0,1,2.15,True,0.4,0.01,16.75,0.2,0,0,0,0,2.0,Nott'm Forest,True,Chelsea,0.18
Gonzalo Montiel,Nott'm Forest,Chelsea,2024-05-11,True,DR,71,0.0,0.0,0.0,0.06,2,0.0,2.0,3.6,0,0,1,1.23,True,0.6,0.01,18.62,0.17,0,0,0,0,3.0,Nott'm Forest,False,Burnley,-4.0
Gonzalo Montiel,Nott'm Forest,Burnley,2024-05-19,False,DR,90,0.0,0.0,0.0,0.0,3,0.0,0.0,2.5,1,0,1,1.21,True,0.8,0.01,21.0,0.14,0,0,0,0,1.0,Nott'm Forest,False,Chelsea,-2.46
Gonzalo Montiel,Nott'm Forest,Chelsea,2023-09-02,False,Sub,18,0.0,0.0,0.0,0.0,1,0.0,0.0,0.4,0,0,0,0.59,False,1.4,0.01,20.9,0.14,0,0,0,0,0.0,Nott'm Forest,True,Burnley,1.01
Gonzalo Montiel,Nott'm Forest,Burnley,2023-09-18,True,DR,52,0.0,0.0,0.0,0.0,0,0.0,0.0,0.7,0,0,1,0.19,True,1.6,0.01,21.88,0.14,0,0,0,0,0.0,Nott'm Forest,False,Manchester City,4.87
Gonzalo Montiel,Nott'm Forest,Manchester City,2023-09-23,False,Sub,51,0.0,0.0,0.0,0.09,0,0.0,2.0,3.7,0,0,0,0.61,False,1.4,0.0,22.76,0.14,0,0,0,0,0.0,Nott'm Forest,True,Brentford,0.39
Gonzalo Montiel,Nott'm Forest,Brentford,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.2,0.0,22.09,0.14,0,0,0,0,1.0,Nott'm Forest,False,Crystal Palace,0.85
Gonzalo Montiel,Nott'm Forest,Crystal Palace,2023-10-07,False,Sub,45,0.0,0.08,0.0,0.0,1,2.0,0.0,1.4,0,0,0,0.44,False,0.8,0.0,22.74,0.14,0,0,0,0,0.0,Nott'm Forest,True,Luton,-1.73
Gonzalo Montiel,Nott'm Forest,Luton,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.4,0.02,22.11,0.14,0,0,0,0,,,,,
