name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_expected_goals_conceded,last_season_clean_sheet_probability,next_week_points
Antonee Robinson,Fulham,Everton,2023-08-12,False,DL,90,0,0.0,0,0.0,6,0,0,3.0,0,1,0,2.73,True,0.0,0.0,90.0,1.0,0.05,1.02,36.74,0.26,1
Antonee Robinson,Fulham,Brighton,2023-10-29,False,DL,90,0,0.01,0,0.12,1,1,1,4.4,0,0,1,1.32,True,6.0,0.0,90.0,0.5,0.05,1.02,36.74,0.26,1
Antonee Robinson,Fulham,Manchester United,2023-11-04,True,DL,90,0,0.0,0,0.0,1,0,0,1.3,0,0,1,0.69,True,3.5,0.01,90.0,0.33,0.05,1.02,36.74,0.26,2
Antonee Robinson,Fulham,Aston Villa,2023-11-12,False,DL,90,0,0.0,1,0.46,2,0,3,7.2,1,0,3,3.08,True,2.67,0.0,90.0,0.25,0.05,1.02,36.74,0.26,4
Antonee Robinson,Fulham,Wolverhampton,2023-11-27,True,DL,90,0,0.02,1,0.55,4,1,1,6.0,0,0,2,1.41,True,2.5,0.25,90.0,0.2,0.05,1.02,36.74,0.26,4
Antonee Robinson,Fulham,Liverpool,2023-12-03,False,DL,90,0,0.08,1,0.12,4,2,1,8.3,1,0,4,2.22,True,2.8,0.41,90.0,0.17,0.05,1.02,36.74,0.26,6
Antonee Robinson,Fulham,Nottingham Forest,2023-12-06,True,DL,74,0,0.0,0,0.0,6,0,0,2.3,0,1,0,0.22,True,2.4,0.62,87.71,0.29,0.05,1.02,36.74,0.26,6
Antonee Robinson,Fulham,West Ham,2023-12-10,True,DL,71,0,0.0,0,0.0,6,0,0,3.1,0,1,0,1.03,True,3.4,0.62,85.62,0.38,0.05,1.02,36.74,0.26,1
Antonee Robinson,Fulham,Newcastle United,2023-12-16,False,DL,90,0,0.0,0,0.02,1,0,2,5.8,0,0,3,3.97,True,4.4,0.62,86.11,0.33,0.05,1.02,36.74,0.26,1
Antonee Robinson,Fulham,Burnley,2023-12-23,True,DL,81,0,0.38,0,0.0,1,2,0,4.3,0,0,2,0.35,True,4.2,0.42,85.6,0.3,0.05,1.02,36.74,0.26,1
