name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts
Oleksandr Zinchenko,Arsenal,Sheffield,2023-10-28,True,DL,90,0,0.0148562425747513,0,0.5626232028007507,8,1,1,4.7,2,1,0,0.03,True
Oleksandr Zinchenko,Arsenal,Newcastle United,2023-11-04,False,Sub,17,0,0.0,0,0.0211102198809385,1,0,1,2.7,0,0,0,0.01,False
Oleksandr Zinchenko,Arsenal,Burnley,2023-11-11,True,DL,90,1,0.0737751796841621,0,0.0558804869651794,10,1,1,11.0,2,0,1,0.3,True
Oleksandr Zinchenko,Arsenal,Brentford,2023-11-25,False,DL,90,0,0.0155768822878599,0,0.4777054488658905,9,1,2,6.4,3,1,0,1.11,True
Oleksandr Zinchenko,Arsenal,Wolverhampton,2023-12-02,True,DL,90,0,0.0,1,0.1084608063101768,5,0,1,5.0,0,0,1,0.71,True
Oleksandr Zinchenko,Arsenal,Luton,2023-12-05,False,Sub,26,0,0.0,0,0.0770160183310508,1,0,1,2.1,0,0,0,0.02,False
Oleksandr Zinchenko,Arsenal,Aston Villa,2023-12-09,False,DL,90,0,0.0,0,0.0485655404627323,1,0,1,4.4,0,0,1,0.42,True
Oleksandr Zinchenko,Arsenal,Brighton,2023-12-17,True,DL,90,0,0.0,0,0.2240969538688659,8,0,2,4.0,2,1,0,0.67,True
Oleksandr Zinchenko,Arsenal,Liverpool,2023-12-23,False,DL,90,0,0.0633058175444603,0,0.0,2,2,0,1.7,0,0,1,0.95,True
Oleksandr Zinchenko,Arsenal,West Ham,2023-12-28,True,DL,63,0,0.0,0,0.1012221276760101,1,0,2,4.1,0,0,2,0.6,True
Oleksandr Zinchenko,Arsenal,Crystal Palace,2023-08-21,False,Sub,1,0,0.0,0,0.0,1,0,0,0.2,0,0,0,0.26,False
Oleksandr Zinchenko,Arsenal,Crystal Palace,2024-01-20,True,DL,90,0,0.0930394083261489,0,0.0284110940992832,6,2,1,7.6,0,1,0,0.33,True
Oleksandr Zinchenko,Arsenal,Nottingham Forest,2024-01-30,False,DL,90,0,0.0,1,0.1641000211238861,7,0,4,11.3,2,0,1,0.25,True
Oleksandr Zinchenko,Arsenal,Liverpool,2024-02-04,True,DL,45,0,0.0,0,0.0,1,0,0,0.7,0,0,1,0.1,True
Oleksandr Zinchenko,Arsenal,Brentford,2024-03-09,True,Sub,11,0,0.0,0,0.0,1,0,0,0.2,0,0,0,0.0,False
Oleksandr Zinchenko,Arsenal,Fulham,2023-08-26,True,Sub,34,0,0.0,0,0.111461192369461,1,0,2,3.5,0,0,1,0.25,False
Oleksandr Zinchenko,Arsenal,Luton,2024-04-03,True,DL,73,0,0.0276579540222883,0,0.0560579560697078,9,1,1,3.5,3,1,0,0.1,True
Oleksandr Zinchenko,Arsenal,Brighton,2024-04-06,False,DL,71,0,0.0,0,0.0416649654507637,6,0,1,2.0,0,1,0,0.38,True
Oleksandr Zinchenko,Arsenal,Aston Villa,2024-04-14,True,DL,86,0,0.0077090221457183,0,0.2948504090309143,1,1,1,3.3,0,0,2,1.13,True
Oleksandr Zinchenko,Arsenal,Chelsea,2024-04-23,True,Sub,18,0,0.0,0,0.3190554678440094,1,0,1,2.0,0,0,0,0.0,False
Oleksandr Zinchenko,Arsenal,Everton,2024-05-19,True,Sub,31,0,0.0,0,0.0802083984017372,1,0,1,2.1,0,0,0,0.04,False
Oleksandr Zinchenko,Arsenal,Manchester United,2023-09-03,True,DL,75,0,0.0,0,0.0315925404429435,2,0,1,2.0,0,0,1,0.9,True
Oleksandr Zinchenko,Arsenal,Everton,2023-09-17,False,DL,79,0,0.0618721172213554,0,0.0405868999660015,7,3,1,3.8,1,1,0,0.2,True
Oleksandr Zinchenko,Arsenal,Tottenham,2023-09-24,True,DL,90,0,0.0,0,0.0,1,0,0,2.3,0,0,2,1.5,True
Oleksandr Zinchenko,Arsenal,Bournemouth,2023-09-30,False,DL,68,0,0.1280514895915985,0,0.142356127500534,6,2,2,7.1,0,1,0,0.34,True
Oleksandr Zinchenko,Arsenal,Manchester City,2023-10-08,True,DL,74,0,0.0806139782071113,0,0.0394193828105926,7,3,1,2.7,1,1,0,0.55,True
Oleksandr Zinchenko,Arsenal,Chelsea,2023-10-21,False,DL,45,0,0.0,0,0.0,0,0,0,0.0,0,0,1,1.18,True
