name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_expected_goals_conceded,last_season_clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Seamus Coleman,Everton,Fulham,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,0.0,0.0,0.27,1.46,23.03,0.28,0.0,Everton,False,West Ham,4.39,-0.22
Seamus Coleman,Everton,West Ham,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,0.0,0.0,0.27,1.46,23.03,0.28,0.0,Everton,True,Brighton,2.15,-0.66
Seamus Coleman,Everton,Brighton,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,0.0,0.0,0.27,1.46,23.03,0.28,0.0,Everton,False,Crystal Palace,0.85,0.38
Seamus Coleman,Everton,Crystal Palace,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,0.0,0.0,0.27,1.46,23.03,0.28,0.0,Everton,True,Manchester United,-0.7,0.38
Seamus Coleman,Everton,Manchester United,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,0.0,0.0,0.27,1.46,23.03,0.28,0.0,Everton,False,Nottingham Forest,1.05,-0.55
Seamus Coleman,Everton,Nottingham Forest,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,0.0,0.0,0.27,1.46,23.03,0.28,6.0,Everton,True,Newcastle United,1.57,0.55
Seamus Coleman,Everton,Newcastle United,2023-12-07,True,DR,66,0.0,0.0,0.0,0.0,6,0.0,0.0,1.5,0,1,0,0.88,True,0.0,0.0,9.43,1.0,0.27,1.46,23.03,0.28,0.0,Everton,True,Chelsea,-0.66,-0.25
Seamus Coleman,Everton,Chelsea,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.2,0.0,8.25,1.0,0.27,1.46,23.03,0.28,0.0,Everton,False,Burnley,-1.91,0.0
Seamus Coleman,Everton,Burnley,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.2,0.0,7.33,1.0,0.27,1.46,23.03,0.28,0.0,Everton,False,Tottenham,4.06,-0.36
Seamus Coleman,Everton,Tottenham,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.2,0.0,6.6,1.0,0.27,1.46,23.03,0.28,0.0,Everton,True,Manchester City,1.82,-0.96
Seamus Coleman,Everton,Manchester City,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.2,0.0,6.0,1.0,0.27,1.46,23.03,0.28,0.0,Everton,False,Aston Villa,1.9,0.29
Seamus Coleman,Everton,Aston Villa,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.2,0.0,5.5,1.0,0.27,1.46,23.03,0.28,1.0,Everton,False,Wolverhampton,0.11,-0.52
Seamus Coleman,Everton,Wolverhampton,2023-12-30,False,Sub,27,0.0,0.0,0.0,0.0,1,0.0,0.0,0.6,0,0,0,0.22,False,0.0,0.0,7.15,1.0,0.27,1.46,23.03,0.28,6.0,Everton,True,Aston Villa,2.11,0.64
Seamus Coleman,Everton,Aston Villa,2024-01-14,True,DR,90,0.0,0.0,0.0,0.0,6,0.0,0.0,2.6,0,1,0,1.11,True,0.2,0.0,13.07,1.0,0.27,1.46,23.03,0.28,0.0,Everton,False,Fulham,-1.22,0.86
Seamus Coleman,Everton,Fulham,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.4,0.0,12.2,1.0,0.27,1.46,23.03,0.28,1.0,Everton,True,Tottenham,1.13,0.69
Seamus Coleman,Everton,Tottenham,2024-02-03,True,Sub,15,0.0,0.0,0.0,0.0,1,0.0,0.0,0.2,0,0,0,0.0,False,1.4,0.0,12.38,1.0,0.27,1.46,23.03,0.28,0.0,Everton,False,Manchester City,0.21,-1.32
Seamus Coleman,Everton,Manchester City,2024-02-10,False,Sub,34,0.0,0.0,0.0,0.0,0,0.0,0.0,0.8,0,0,2,0.94,False,1.6,0.0,13.65,1.0,0.27,1.46,23.03,0.28,0.0,Everton,True,Crystal Palace,-2.96,0.88
Seamus Coleman,Everton,Crystal Palace,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.6,0.0,12.89,1.0,0.27,1.46,23.03,0.28,0.0,Everton,False,Brighton,-5.19,-0.6
Seamus Coleman,Everton,Brighton,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.4,0.0,12.21,1.0,0.27,1.46,23.03,0.28,0.0,Everton,True,West Ham,0.7,0.49
Seamus Coleman,Everton,West Ham,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.2,0.0,11.6,1.0,0.27,1.46,23.03,0.28,0.0,Everton,False,Manchester United,0.43,-0.63
Seamus Coleman,Everton,Manchester United,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.2,0.0,11.05,1.0,0.27,1.46,23.03,0.28,0.0,Everton,True,Wolverhampton,1.55,0.05
Seamus Coleman,Everton,Wolverhampton,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,10.55,1.0,0.27,1.46,23.03,0.28,-1.0,Everton,False,Bournemouth,6.99,0.19
Seamus Coleman,Everton,Bournemouth,2024-03-30,False,DR,90,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.7,0,0,2,1.56,True,0.0,0.0,14.0,0.67,0.27,1.46,23.03,0.28,1.0,Everton,False,Newcastle United,2.12,-0.41
Seamus Coleman,Everton,Newcastle United,2024-04-02,False,Sub,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0,0.05,False,-0.2,0.0,13.46,0.67,0.27,1.46,23.03,0.28,8.0,Everton,True,Burnley,-3.47,0.39
Seamus Coleman,Everton,Burnley,2024-04-06,True,DR,90,0.0,0.0,0.0,0.01,8,0.0,1.0,3.5,2,1,0,0.46,True,0.0,0.0,16.52,0.75,0.27,1.46,23.03,0.28,-1.0,Everton,False,Chelsea,-1.5,-0.85
Seamus Coleman,Everton,Chelsea,2024-04-15,False,DR,45,0.0,0.0,0.0,0.84,-1,0.0,1.0,1.7,0,0,4,1.35,True,1.6,0.0,17.62,0.75,0.27,1.46,23.03,0.28,0.0,Everton,True,Nottingham Forest,1.11,1.55
Seamus Coleman,Everton,Nottingham Forest,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.4,0.0,16.96,0.75,0.27,1.46,23.03,0.28,0.0,Everton,True,Liverpool,0.76,0.18
Seamus Coleman,Everton,Liverpool,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.4,0.0,16.36,0.75,0.27,1.46,23.03,0.28,0.0,Everton,True,Brentford,,0.79
Seamus Coleman,Everton,Brentford,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.6,0.0,15.79,0.75,0.27,1.46,23.03,0.28,1.0,Everton,False,Luton,,
Seamus Coleman,Everton,Luton,2024-05-03,False,Sub,23,0.0,0.0,0.0,0.0,1,0.0,0.0,0.5,0,0,0,0.38,False,1.4,0.0,16.03,0.75,0.27,1.46,23.03,0.28,7.0,Everton,True,Sheffield,,0.68
Seamus Coleman,Everton,Sheffield,2024-05-11,True,DR,90,0.0,0.0,0.0,0.04,7,0.0,1.0,3.7,1,1,0,0.64,True,0.0,0.0,18.42,0.8,0.27,1.46,23.03,0.28,1.0,Everton,False,Arsenal,,-0.48
Seamus Coleman,Everton,Arsenal,2024-05-19,False,DR,90,0.0,0.0,0.0,0.0,1,0.0,0.0,0.7,0,0,2,2.89,True,1.6,0.0,20.66,0.67,0.27,1.46,23.03,0.28,0.0,Everton,False,Sheffield,-1.68,-0.61
Seamus Coleman,Everton,Sheffield,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.8,0.0,20.03,0.67,0.27,1.46,23.03,0.28,0.0,Everton,True,Arsenal,-1.26,-0.11
Seamus Coleman,Everton,Arsenal,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.8,0.0,19.44,0.67,0.27,1.46,23.03,0.28,0.0,Everton,False,Brentford,0.08,-0.53
Seamus Coleman,Everton,Brentford,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.8,0.0,18.89,0.67,0.27,1.46,23.03,0.28,0.0,Everton,True,Luton,0.86,
Seamus Coleman,Everton,Luton,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.6,0.0,18.36,0.67,0.27,1.46,23.03,0.28,0.0,Everton,True,Bournemouth,-6.26,1.22
Seamus Coleman,Everton,Bournemouth,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.2,0.0,17.86,0.67,0.27,1.46,23.03,0.28,0.0,Everton,False,Liverpool,2.03,-1.01
Seamus Coleman,Everton,Liverpool,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,17.39,0.67,0.27,1.46,23.03,0.28,,,,,,
