name,team,opponent_team,date,was_home,minutes,xG,total_points,ict_index,bonus
Thomas Dickson-Peters,Norwich,Aston Villa,,True,0,,0,0.0,0
Thomas Dickson-Peters,Norwich,Arsenal,2021-12-26,True,0,2.43425,0,0.0,0
Thomas Dickson-Peters,Norwich,Crystal Palace,2021-12-28,False,0,0.615892,0,0.0,0
Thomas Dickson-Peters,Norwich,West Ham,,False,0,,0,0.0,0
Thomas Dickson-Peters,Norwich,Everton,,True,0,,0,0.0,0
Thomas Dickson-Peters,Norwich,Watford,,False,0,,0,0.0,0
Thomas Dickson-Peters,Norwich,Crystal Palace,,True,0,,0,0.0,0
Thomas Dickson-Peters,Norwich,Manchester City,,True,0,,0,0.0,0
Thomas Dickson-Peters,Norwich,Liverpool,,False,0,,0,0.0,0
Thomas Dickson-Peters,Norwich,Southampton,,False,0,,0,0.0,0
Thomas Dickson-Peters,Norwich,Brentford,2022-03-05,True,0,0.359129,0,0.0,0
Thomas Dickson-Peters,Norwich,Chelsea,,True,0,,0,0.0,0
Thomas Dickson-Peters,Norwich,Leicester City,2022-03-13,False,0,0.54911,0,0.0,0
Thomas Dickson-Peters,Norwich,Brighton,2022-04-02,False,0,1.07638,0,0.0,0
Thomas Dickson-Peters,Norwich,Burnley,2022-04-10,True,0,0.879235,0,0.0,0
Thomas Dickson-Peters,Norwich,Manchester United,,False,0,,0,0.0,0
Thomas Dickson-Peters,Norwich,Newcastle United,2022-04-23,True,0,0.235635,0,0.0,0
Thomas Dickson-Peters,Norwich,Aston Villa,,False,0,,0,0.0,0
Thomas Dickson-Peters,Norwich,West Ham,2022-05-08,True,0,1.47479,0,0.0,0
Thomas Dickson-Peters,Norwich,Leeds United,2022-05-11,False,0,2.57058,0,0.0,0
Thomas Dickson-Peters,Norwich,Wolverhampton,2022-05-15,False,0,2.27297,0,0.0,0
Thomas Dickson-Peters,Norwich,Tottenham,2022-05-22,True,0,3.42058,0,0.0,0
