name,team,opponent_team,date,was_home,position,minutes,xG,total_points,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,next_week_points
Rhys Bennett,Man Utd,Nottingham Forest,,True,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
Rhys Bennett,Man Utd,Wolverhampton,,False,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
Rhys Bennett,Man Utd,Bournemouth,,True,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
Rhys Bennett,Man Utd,Manchester City,2023-01-14,True,DEF,0,1.3,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
Rhys Bennett,Man Utd,Crystal Palace,,False,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
Rhys Bennett,Man Utd,Arsenal,2023-01-22,False,DEF,0,0.17,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
Rhys Bennett,Man Utd,Crystal Palace,2023-02-04,True,DEF,0,2.37,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
Rhys Bennett,Man Utd,Leicester City,,True,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
Rhys Bennett,Man Utd,Leicester City,,False,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
Rhys Bennett,Man Utd,Leeds United,,True,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
Rhys Bennett,Man Utd,Liverpool,,False,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
Rhys Bennett,Man Utd,Southampton,,True,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
Rhys Bennett,Man Utd,Newcastle United,,False,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
Rhys Bennett,Man Utd,Brentford,2023-04-05,True,DEF,0,0.64,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
Rhys Bennett,Man Utd,Everton,2023-04-08,True,DEF,0,2.07,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
Rhys Bennett,Man Utd,Nottingham Forest,,False,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
Rhys Bennett,Man Utd,Tottenham,,False,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
Rhys Bennett,Man Utd,Aston Villa,,True,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
Rhys Bennett,Man Utd,Brighton,,False,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
Rhys Bennett,Man Utd,West Ham,,False,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
Rhys Bennett,Man Utd,Wolverhampton,,True,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
Rhys Bennett,Man Utd,Bournemouth,2023-05-20,False,DEF,0,1.15,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
Rhys Bennett,Man Utd,Chelsea,,True,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
Rhys Bennett,Man Utd,Fulham,2023-05-28,True,DEF,0,1.44,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
