name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_clean_sheet_probability,last_season_expected_goals_conceded,next_week_points
Vladimir Coufal,West Ham,Manchester City,2022-08-07,True,90,0.0,0.0,0.0,0.02,1,0.0,1.0,2.6,0,0,2,0.0,0,1.0,0.0,90.0,0.0,0.56,2.71,0.24,0,2.0
Vladimir Coufal,West Ham,Nottingham Forest,2022-08-14,False,90,0.0,0.05,0.0,0.0,2,2.0,0.0,1.6,0,0,1,0.0,0,1.5,0.02,90.0,0.0,0.56,2.71,0.24,0,1.0
Vladimir Coufal,West Ham,Brighton,2022-08-21,True,74,0.0,0.0,0.0,0.04,1,0.0,1.0,2.4,0,0,2,0.0,0,1.33,0.02,84.67,0.0,0.56,2.71,0.24,0,6.0
Vladimir Coufal,West Ham,Aston Villa,2022-08-28,False,67,0.0,0.0,0.0,0.0,6,0.0,0.0,1.0,0,1,0,0.0,0,2.5,0.01,80.25,0.25,0.56,2.71,0.24,0,2.0
Vladimir Coufal,West Ham,Tottenham,2022-08-31,True,90,0.0,0.0,0.0,0.16,2,0.0,2.0,4.9,0,0,1,0.0,0,2.4,0.01,82.2,0.2,0.56,2.71,0.24,0,1.0
Vladimir Coufal,West Ham,Chelsea,2022-09-03,False,90,0.0,0.0,0.0,0.0,1,0.0,0.0,1.3,0,0,2,0.0,0,2.4,0.01,83.5,0.17,0.56,2.71,0.24,0,2.0
Vladimir Coufal,West Ham,Everton,2022-09-18,False,90,0.0,0.0,0.0,0.0,2,0.0,0.0,1.8,0,0,1,0.0,0,2.4,0.0,84.43,0.14,0.56,2.71,0.24,0,0.0
Vladimir Coufal,West Ham,Wolverhampton,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,2.2,0.0,73.88,0.14,0.56,2.71,0.24,0,0.0
Vladimir Coufal,West Ham,Fulham,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,1.0,0.0,65.67,0.14,0.56,2.71,0.24,0,1.0
Vladimir Coufal,West Ham,Southampton,2022-10-16,False,90,0.0,0.0,0.0,0.14,1,0.0,3.0,6.4,0,0,1,0.0,0,0.8,0.0,68.1,0.12,0.56,2.71,0.24,0,0.0
Vladimir Coufal,West Ham,Liverpool,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.6,0.0,61.91,0.12,0.56,2.71,0.24,0,4.0
Vladimir Coufal,West Ham,Bournemouth,2022-10-24,True,2,0.0,0.0,0.0,0.0,4,0.0,0.0,0.1,0,0,0,0.0,0,1.0,0.0,56.92,0.11,0.56,2.71,0.24,0,0.0
Vladimir Coufal,West Ham,Manchester United,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,1.0,0.0,52.54,0.11,0.56,2.71,0.24,0,0.0
Vladimir Coufal,West Ham,Crystal Palace,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,1.0,0.0,48.79,0.11,0.56,2.71,0.24,0,0.0
Vladimir Coufal,West Ham,Leeds United,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.8,0.0,45.53,0.11,0.56,2.71,0.24,0,0.0
Vladimir Coufal,West Ham,Arsenal,2022-12-26,False,90,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0,0,3,2.1,1,0.8,0.0,48.31,0.1,0.56,2.71,0.24,0,0.0
Vladimir Coufal,West Ham,Brentford,2022-12-30,True,90,0.0,0.0,0.0,0.15,0,0.0,3.0,6.6,0,0,2,1.63,1,0.0,0.0,50.76,0.09,0.56,2.71,0.24,0,2.0
Vladimir Coufal,West Ham,Leicester City,2023-01-04,False,67,0.0,0.01,0.0,0.0,2,1.0,0.0,2.3,0,0,1,0.8,1,0.4,0.0,51.67,0.08,0.56,2.71,0.24,0,2.0
Vladimir Coufal,West Ham,Wolverhampton,2023-01-14,False,90,0.0,0.11,0.0,0.11,2,2.0,2.0,5.4,0,0,1,0.84,1,0.8,0.02,53.68,0.08,0.56,2.71,0.24,0,6.0
Vladimir Coufal,West Ham,Everton,2023-01-21,True,90,0.0,0.0,0.0,0.0,6,0.0,0.0,2.0,0,1,0,0.67,1,2.0,0.02,55.5,0.14,0.56,2.71,0.24,0,2.0
Vladimir Coufal,West Ham,Newcastle United,2023-02-04,False,90,0.0,0.0,0.0,0.29,2,0.0,1.0,4.2,0,0,1,0.82,1,2.4,0.02,57.14,0.13,0.56,2.71,0.24,0,1.0
Vladimir Coufal,West Ham,Chelsea,2023-02-11,True,90,0.0,0.0,0.0,0.0,1,0.0,0.0,2.1,0,0,1,1.15,1,2.6,0.02,58.64,0.12,0.56,2.71,0.24,0,1.0
Vladimir Coufal,West Ham,Tottenham,2023-02-19,False,90,0.0,0.0,0.0,0.0,1,0.0,0.0,1.3,0,0,2,1.48,1,2.4,0.02,60.0,0.12,0.56,2.71,0.24,0,1.0
Vladimir Coufal,West Ham,Nottingham Forest,2023-02-25,True,45,0.0,0.0,0.0,0.36,1,0.0,2.0,3.5,0,0,0,0.1,1,2.2,0.0,59.38,0.11,0.56,2.71,0.24,0,0.0
Vladimir Coufal,West Ham,Brighton,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,1.0,0.0,57.0,0.11,0.56,2.71,0.24,0,0.0
Vladimir Coufal,West Ham,Aston Villa,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.6,0.0,54.81,0.11,0.56,2.71,0.24,0,0.0
Vladimir Coufal,West Ham,Southampton,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.4,0.0,52.78,0.11,0.56,2.71,0.24,0,0.0
Vladimir Coufal,West Ham,Newcastle United,2023-04-05,True,27,0.0,0.0,0.0,0.0,0,0.0,0.0,0.6,0,0,2,0.65,0,0.2,0.0,51.86,0.11,0.56,2.71,0.24,0,6.0
Vladimir Coufal,West Ham,Fulham,2023-04-08,False,90,0.0,0.0,0.0,0.0,6,0.0,0.0,3.1,0,1,0,0.68,1,1.2,0.0,53.17,0.15,0.56,2.71,0.24,0,1.0
Vladimir Coufal,West Ham,Arsenal,2023-04-16,True,90,0.0,0.0,0.0,0.08,1,0.0,3.0,5.4,0,0,2,2.82,1,1.4,0.0,54.4,0.14,0.56,2.71,0.24,0,11.0
Vladimir Coufal,West Ham,Bournemouth,2023-04-23,False,82,0.0,0.0,1.0,0.46,11,0.0,1.0,4.8,2,1,0,1.06,1,3.6,0.2,55.29,0.18,0.56,2.71,0.24,0,1.0
Vladimir Coufal,West Ham,Liverpool,2023-04-26,True,90,0.0,0.0,0.0,0.0,1,0.0,0.0,0.6,0,0,2,2.0,1,3.8,0.2,56.38,0.17,0.56,2.71,0.24,0,-1.0
Vladimir Coufal,West Ham,Crystal Palace,2023-04-29,False,90,0.0,0.0,0.0,0.01,-1,0.0,1.0,2.7,0,0,4,2.13,1,3.6,0.2,57.39,0.17,0.56,2.71,0.24,0,2.0
Vladimir Coufal,West Ham,Manchester City,2023-05-03,False,61,0.0,0.01,0.0,0.3,2,1.0,1.0,2.5,0,0,1,1.42,1,2.8,0.2,57.5,0.16,0.56,2.71,0.24,0,0.0
Vladimir Coufal,West Ham,Manchester United,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,2.6,0.2,55.86,0.16,0.56,2.71,0.24,0,0.0
Vladimir Coufal,West Ham,Brentford,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.4,0.0,54.31,0.16,0.56,2.71,0.24,0,2.0
Vladimir Coufal,West Ham,Leicester City,2023-05-21,True,90,0.0,0.0,0.0,0.06,2,0.0,1.0,3.7,0,0,1,0.9,1,0.6,0.0,55.27,0.15,0.56,2.71,0.24,0,1.0
Vladimir Coufal,West Ham,Leeds United,2023-05-28,False,90,0.0,0.0,0.0,0.09,1,0.0,3.0,0.0,0,0,2,1.44,1,1.0,0.0,56.18,0.15,0.56,2.71,0.24,0,
