name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,next_week_points
Jordan Zemura,Bournemouth,Aston Villa,2022-08-06,True,90,0.0,0.0,0.0,0.09,6,0.0,1.0,3.4,0,1,0,0.0,0,6.0,0.0,90.0,1.0,0.0
Jordan Zemura,Bournemouth,Manchester City,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,3.0,0.0,45.0,1.0,0.0
Jordan Zemura,Bournemouth,Arsenal,2022-08-20,True,90,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0,0,3,0.0,0,2.0,0.0,60.0,0.5,-2.0
Jordan Zemura,Bournemouth,Liverpool,2022-08-27,False,90,0.0,0.0,0.0,0.03,-2,0.0,1.0,3.4,0,0,9,0.0,0,1.0,0.0,67.5,0.33,6.0
Jordan Zemura,Bournemouth,Wolverhampton,2022-08-31,True,68,0.0,0.0,0.0,0.0,6,0.0,0.0,0.8,0,1,0,0.0,0,2.0,0.0,67.6,0.5,0.0
Jordan Zemura,Bournemouth,Nottingham Forest,2022-09-03,False,45,0.0,0.0,0.0,0.0,0,0.0,0.0,0.9,0,0,2,0.0,0,0.8,0.0,63.83,0.4,6.0
Jordan Zemura,Bournemouth,Newcastle United,2022-09-17,False,90,0.0,0.0,1.0,0.77,6,0.0,5.0,9.5,1,0,1,0.0,0,2.0,0.2,67.57,0.33,6.0
Jordan Zemura,Bournemouth,Brentford,2022-10-01,True,90,0.0,0.0,0.0,0.0,6,0.0,0.0,1.2,0,1,0,0.0,0,3.2,0.2,70.38,0.43,0.0
Jordan Zemura,Bournemouth,Leeds United,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,3.6,0.2,62.56,0.43,1.0
Jordan Zemura,Bournemouth,Fulham,2022-10-15,False,10,0.0,0.0,0.0,0.02,1,0.0,1.0,1.7,0,0,0,0.0,0,2.6,0.2,57.3,0.38,0.0
Jordan Zemura,Bournemouth,Southampton,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,2.6,0.2,52.09,0.38,1.0
Jordan Zemura,Bournemouth,West Ham,2022-10-24,False,33,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,1,0.0,0,1.6,0.0,50.5,0.33,1.0
Jordan Zemura,Bournemouth,Tottenham,2022-10-29,True,90,0.0,0.0,0.0,0.01,1,0.0,1.0,2.5,0,0,3,0.0,0,0.6,0.0,53.54,0.3,0.0
Jordan Zemura,Bournemouth,Leicester City,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.6,0.0,49.71,0.3,6.0
Jordan Zemura,Bournemouth,Everton,2022-11-12,True,90,0.0,0.0,0.0,0.18,6,0.0,3.0,7.3,0,1,0,0.82,1,1.6,0.0,52.4,0.36,1.0
Jordan Zemura,Bournemouth,Chelsea,2022-12-27,False,90,0.0,0.0,0.0,0.0,1,0.0,0.0,2.3,0,0,2,1.74,1,1.8,0.0,54.75,0.33,1.0
Jordan Zemura,Bournemouth,Crystal Palace,2022-12-31,True,69,0.0,0.0,0.0,0.0,1,0.0,0.0,0.9,0,0,2,0.88,1,1.8,0.0,55.59,0.31,0.0
Jordan Zemura,Bournemouth,Manchester United,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,1.6,0.0,52.5,0.31,0.0
Jordan Zemura,Bournemouth,Brentford,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,1.6,0.0,49.74,0.31,2.0
