name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,next_week_points
Steve Cook,Nott'm Forest,Newcastle United,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0
Steve Cook,Nott'm Forest,West Ham,2022-08-14,True,11,0.0,0.0,0.0,0.0,1,0.0,0.0,0.3,0,0,0,0.0,0,0.5,0.0,5.5,0.0,2.0
Steve Cook,Nott'm Forest,Everton,2022-08-20,False,90,0.0,0.0,0.0,0.0,2,0.0,0.0,3.1,0,0,1,0.0,0,1.0,0.0,33.67,0.0,1.0
Steve Cook,Nott'm Forest,Tottenham,2022-08-28,True,74,0.0,0.0,0.0,0.08,1,0.0,1.0,2.5,0,0,1,0.0,0,1.0,0.0,43.75,0.0,0.0
Steve Cook,Nott'm Forest,Manchester City,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.8,0.0,35.0,0.0,1.0
Steve Cook,Nott'm Forest,Bournemouth,2022-09-03,True,90,0.0,0.0,0.0,0.0,1,0.0,0.0,2.0,0,0,3,0.0,0,1.0,0.0,44.17,0.0,0.0
Steve Cook,Nott'm Forest,Fulham,2022-09-16,True,62,0.0,0.0,0.0,0.0,0,0.0,0.0,1.4,0,0,3,0.0,0,0.8,0.0,46.71,0.0,-1.0
Steve Cook,Nott'm Forest,Leeds United,2022-10-03,False,90,0.0,0.05,0.0,0.0,-1,1.0,0.0,2.6,0,0,4,0.0,0,0.2,0.01,52.12,0.0,1.0
Steve Cook,Nott'm Forest,Aston Villa,2022-10-10,True,90,0.0,0.0,0.0,0.0,1,0.0,0.0,1.2,0,0,1,0.0,0,0.2,0.01,56.33,0.0,2.0
Steve Cook,Nott'm Forest,Wolverhampton,2022-10-15,False,90,0.0,0.0,0.0,0.14,2,0.0,1.0,2.6,0,0,1,0.0,0,0.6,0.01,59.7,0.0,6.0
