name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,form,xG&A_form,minutes_per_game
Steven Bergwijn,Spurs,Manchester City,2021-08-15,True,AML,76,0.0,0.57,1.0,0.15,6,3.0,2.0,6.8,0,1,0,0.0,0.0,76.0
Steven Bergwijn,Spurs,Manchester United,2021-10-30,True,Sub,36,0.0,0.0,0.0,0.0,1,0.0,0.0,0.2,0,0,2,6.0,1.57,56.0
Steven Bergwijn,Spurs,Everton,,False,,0,,,,,0,,,0.0,0,0,0,3.5,0.78,37.33
Steven Bergwijn,Spurs,Leicester City,,True,,0,,,,,0,,,0.0,0,0,0,2.33,0.52,28.0
Steven Bergwijn,Spurs,Brentford,2021-12-02,True,Sub,3,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0,1.75,0.39,23.0
Steven Bergwijn,Spurs,Norwich,2021-12-05,True,Sub,10,0.0,0.0,0.0,0.0,1,0.0,0.0,0.2,0,0,0,1.6,0.31,20.83
Steven Bergwijn,Spurs,Liverpool,,True,,0,,,,,0,,,0.0,0,0,0,0.6,0.0,17.86
Steven Bergwijn,Spurs,Crystal Palace,2021-12-26,True,Sub,26,0.0,0.12,0.0,0.02,1,2.0,1.0,4.8,0,0,0,0.4,0.0,18.88
Steven Bergwijn,Spurs,Wolverhampton,2021-08-22,False,FWL,90,0.0,0.11,0.0,0.54,3,2.0,2.0,6.9,0,1,0,0.6,0.02,26.78
Steven Bergwijn,Spurs,Southampton,,False,,0,,,,,0,,,0.0,0,0,0,1.2,0.04,24.1
Steven Bergwijn,Spurs,Watford,,False,,0,,,,,0,,,0.0,0,0,0,1.0,0.04,21.91
Steven Bergwijn,Spurs,Leeds United,2022-01-19,False,Sub,11,2.0,0.82,0.0,0.05,13,2.0,1.0,12.4,3,0,0,0.8,0.04,21.0
Steven Bergwijn,Spurs,Chelsea,2022-01-23,False,FW,90,0.0,0.15,0.0,0.0,2,2.0,0.0,2.7,0,0,2,3.4,0.21,26.31
Steven Bergwijn,Spurs,Southampton,2022-02-09,True,Sub,7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0,3.6,0.22,24.93
Steven Bergwijn,Spurs,Wolverhampton,2022-02-13,True,Sub,19,0.0,0.0,0.0,0.0,1,0.0,0.0,0.8,0,0,0,3.2,0.19,24.53
Steven Bergwijn,Spurs,Manchester City,,False,,0,,,,,0,,,0.0,0,0,0,3.4,0.19,23.0
