name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded
Marvelous Nakamba,Aston Villa,Watford,2021-08-14,False,DMC,90,0,0.0,0,0.0,2,0,0,1.3,0,0,3
Marvelous Nakamba,Aston Villa,West Ham,2021-10-31,True,MC,90,0,0.0,0,0.0,2,0,0,1.2,0,0,4
Marvelous Nakamba,Aston Villa,Southampton,2021-11-05,False,DMC,62,0,0.0,0,0.0,2,0,0,1.7,0,0,1
Marvelous Nakamba,Aston Villa,Brighton,2021-11-20,True,MC,90,0,0.0,0,0.0,2,0,0,1.9,0,1,0
Marvelous Nakamba,Aston Villa,Crystal Palace,2021-11-27,False,MC,90,0,0.0,0,0.0284728109836578,1,0,1,2.9,0,0,1
Marvelous Nakamba,Aston Villa,Manchester City,2021-12-01,True,MC,76,0,0.0,0,0.0,2,0,0,1.5,0,0,2
Marvelous Nakamba,Aston Villa,Leeds United,2021-12-05,True,MC,90,0,0.0,0,0.0169154591858387,1,0,1,3.2,0,0,1
Marvelous Nakamba,Aston Villa,Liverpool,2021-12-11,False,MC,56,0,0.0,0,0.0,0,0,0,0.8,0,0,0
Marvelous Nakamba,Aston Villa,Brentford,2021-08-28,True,Sub,27,0,0.0,0,0.0,1,0,0,0.1,0,0,0
Marvelous Nakamba,Aston Villa,Leeds United,2022-04-23,False,Sub,1,0,0.0,0,0.0,1,0,0,0.0,0,0,0
Marvelous Nakamba,Aston Villa,Liverpool,2022-05-10,True,MC,61,0,0.0,0,0.0,2,0,0,0.7,0,0,1
Marvelous Nakamba,Aston Villa,Crystal Palace,2022-05-15,True,MC,65,0,0.0,0,0.0,3,0,0,1.2,0,1,0
Marvelous Nakamba,Aston Villa,Manchester City,2022-05-22,False,Sub,18,0,0.0,0,0.0,0,0,0,0.0,0,0,3
Marvelous Nakamba,Aston Villa,Chelsea,2021-09-11,False,Sub,10,0,0.0,0,0.0,1,0,0,0.3,0,0,1
Marvelous Nakamba,Aston Villa,Everton,2021-09-18,True,Sub,50,0,0.0,0,0.0,1,0,0,0.7,0,0,0
Marvelous Nakamba,Aston Villa,Wolverhampton,2021-10-16,True,Sub,23,0,0.0,0,0.0,1,0,0,0.3,0,0,3
