name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded
Owen Beck,Liverpool,Arsenal,,True,0,,,,,0,,,0.0,0,0,0
Owen Beck,Liverpool,Southampton,,True,0,,,,,0,,,0.0,0,0,0
Owen Beck,Liverpool,Everton,,False,0,,,,,0,,,0.0,0,0,0
Owen Beck,Liverpool,Wolverhampton,,False,0,,,,,0,,,0.0,0,0,0
Owen Beck,Liverpool,Aston Villa,,True,0,,,,,0,,,0.0,0,0,0
Owen Beck,Liverpool,Newcastle United,,True,0,,,,,0,,,0.0,0,0,0
Owen Beck,Liverpool,Tottenham,,False,0,,,,,0,,,0.0,0,0,0
Owen Beck,Liverpool,Leeds United,,False,0,,,,,0,,,0.0,0,0,0
Owen Beck,Liverpool,Chelsea,,False,0,,,,,0,,,0.0,0,0,0
Owen Beck,Liverpool,Brentford,,True,0,,,,,0,,,0.0,0,0,0
Owen Beck,Liverpool,Crystal Palace,2022-01-23,False,0,1.0,0.4206863641738891,0.0,0.0,0,2.0,0.0,0.0,0,0,0
Owen Beck,Liverpool,Leeds United,,True,0,,,,,0,,,0.0,0,0,0
Owen Beck,Liverpool,Burnley,,False,0,,,,,0,,,0.0,0,0,0
Owen Beck,Liverpool,Norwich,2022-02-19,True,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0
Owen Beck,Liverpool,Leicester City,,True,0,,,,,0,,,0.0,0,0,0
Owen Beck,Liverpool,West Ham,2022-03-05,True,0,0.0,0.4561680257320404,0.0,0.0,0,2.0,0.0,0.0,0,0,0
Owen Beck,Liverpool,Brighton,2022-03-12,False,0,0.0,0.1143093854188919,0.0,0.0,0,2.0,0.0,0.0,0,0,0
Owen Beck,Liverpool,Arsenal,2022-03-16,False,0,0.0,0.0,0.0,0.0966331884264946,0,0.0,1.0,0.0,0,0,0
Owen Beck,Liverpool,Watford,2022-04-02,True,0,0.0,0.1928636133670807,0.0,0.1370986253023147,0,3.0,4.0,0.0,0,0,0
Owen Beck,Liverpool,Manchester City,,False,0,,,,,0,,,0.0,0,0,0
Owen Beck,Liverpool,Manchester United,,True,0,,,,,0,,,0.0,0,0,0
Owen Beck,Liverpool,Everton,2022-04-24,True,0,1.0,2.513239860534668,0.0,0.0,0,4.0,0.0,0.0,0,0,0
Owen Beck,Liverpool,Newcastle United,2022-04-30,False,0,0.0,0.1454373002052307,0.0,0.1447010189294815,0,3.0,3.0,0.0,0,0,0
Owen Beck,Liverpool,Tottenham,2022-05-07,True,0,0.0,0.5919668078422546,0.0,0.0,0,5.0,0.0,0.0,0,0,0
Owen Beck,Liverpool,Aston Villa,,False,0,,,,,0,,,0.0,0,0,0
Owen Beck,Liverpool,Southampton,,False,0,,,,,0,,,0.0,0,0,0
Owen Beck,Liverpool,Wolverhampton,2022-05-22,True,0,1.0,0.7840838432312012,1.0,0.2689838707447052,0,4.0,3.0,0.0,0,0,0
