name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Kenny Tete,Fulham,Liverpool,2022-08-06,True,90,0.0,0.0,1.0,0.09,3,0.0,1.0,5.4,0,0,2,0.0,0,6670,3.0,1.0,90.0,0.0,6.0,Fulham,False,Wolverhampton,,-0.46
Kenny Tete,Fulham,Wolverhampton,2022-08-13,False,90,0.0,0.0,0.0,0.0,6,0.0,0.0,0.8,0,1,0,0.0,0,26241,4.5,0.5,90.0,0.5,0.0,Fulham,True,Brentford,,0.69
Kenny Tete,Fulham,Brentford,2022-08-20,True,76,0.0,0.0,0.0,0.0,0,0.0,0.0,1.7,0,0,2,0.0,0,39773,3.0,0.33,85.33,0.33,2.0,Fulham,False,Arsenal,,-0.0
Kenny Tete,Fulham,Arsenal,2022-08-27,False,78,0.0,0.0,0.0,0.0,2,0.0,0.0,2.2,0,0,1,0.0,0,32881,2.75,0.25,83.5,0.25,2.0,Fulham,True,Brighton,,-0.71
Kenny Tete,Fulham,Brighton,2022-08-30,True,90,0.0,0.0,0.0,0.0,2,0.0,0.0,1.7,0,0,1,0.0,0,35782,2.6,0.2,84.8,0.2,3.0,Fulham,False,Tottenham,,-0.03
Kenny Tete,Fulham,Tottenham,2022-09-03,False,90,0.0,0.05,1.0,0.08,3,1.0,2.0,7.7,0,0,2,0.0,0,34493,2.6,0.21,85.67,0.17,3.0,Fulham,False,Nottingham Forest,,
Kenny Tete,Fulham,Nottingham Forest,2022-09-16,False,90,0.0,0.04,1.0,0.03,3,1.0,1.0,8.0,0,0,2,0.0,0,63953,2.0,0.42,86.29,0.14,0.0,Fulham,True,Newcastle United,,0.73
Kenny Tete,Fulham,Newcastle United,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,54888,2.0,0.42,75.5,0.14,0.0,Fulham,False,West Ham,,0.14
Kenny Tete,Fulham,West Ham,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,42832,1.6,0.42,67.11,0.14,0.0,Fulham,True,Bournemouth,,1.46
Kenny Tete,Fulham,Bournemouth,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,38283,1.2,0.42,60.4,0.14,0.0,Fulham,True,Aston Villa,,0.55
