name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Rúben Gato Alves Dias,Man City,West Ham,,False,90,,,,,6,,,2.0,0,1,0,0.0,0,917791,6.0,0.0,90.0,1.0,6.0,Man City,True,Bournemouth,,1.46
Rúben Gato Alves Dias,Man City,Bournemouth,2022-08-13,True,63,0.0,0.12,0.0,0.0,6,1.0,0.0,3.5,0,1,0,0.0,0,1078298,6.0,0.06,76.5,1.0,1.0,Man City,False,Newcastle United,,-0.34
Rúben Gato Alves Dias,Man City,Newcastle United,,False,69,,,,,1,,,6.7,0,0,3,0.0,0,1110529,4.33,0.04,74.0,0.67,1.0,Man City,True,Crystal Palace,,0.81
Rúben Gato Alves Dias,Man City,Crystal Palace,2022-08-27,True,90,0.0,0.0,0.0,0.0,1,0.0,0.0,2.4,0,0,2,0.0,0,1101754,3.5,0.03,78.0,0.5,6.0,Man City,True,Nottingham Forest,,
Rúben Gato Alves Dias,Man City,Nottingham Forest,,True,90,,,,,6,,,1.7,0,1,0,0.0,0,1074442,4.0,0.02,80.4,0.6,2.0,Man City,False,Aston Villa,,0.59
Rúben Gato Alves Dias,Man City,Aston Villa,2022-09-03,False,90,0.0,0.09,0.0,0.0,2,1.0,0.0,2.8,0,0,1,0.0,0,1067985,3.2,0.04,82.0,0.5,6.0,Man City,False,Wolverhampton,,-0.46
Rúben Gato Alves Dias,Man City,Wolverhampton,,False,90,,,,,6,,,1.7,0,1,0,0.0,0,1080581,3.2,0.02,83.14,0.57,0.0,Man City,True,Manchester United,,0.38
Rúben Gato Alves Dias,Man City,Manchester United,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,1051741,3.0,0.02,72.75,0.57,6.0,Man City,True,Southampton,,-0.38
Rúben Gato Alves Dias,Man City,Southampton,,True,90,,,,,6,,,2.4,0,1,0,0.0,0,980567,4.0,0.02,74.67,0.62,2.0,Man City,False,Liverpool,,-1.33
Rúben Gato Alves Dias,Man City,Liverpool,,False,90,,,,,2,,,2.6,0,0,1,0.0,0,941768,3.2,0.02,76.2,0.56,2.0,Man City,True,Brighton,,-0.71
Rúben Gato Alves Dias,Man City,Brighton,2022-10-22,True,90,0.0,0.0,0.0,0.0,2,0.0,0.0,1.2,0,0,1,0.0,0,912637,3.2,0.0,77.45,0.5,1.0,Man City,False,Leeds United,,-0.8
Rúben Gato Alves Dias,Man City,Leeds United,,False,18,,,,,1,,,0.8,0,0,0,0.0,0,911368,2.2,0.0,72.5,0.45,1.0,Man City,True,Fulham,,-0.3
