Opponent,Location,Team Score,Opponent Score,Goal Differential
Chelsea,Away,0,3,-3
Brentford,Home,0,0,0
West Ham,Away,2,2,0
Tottenham,Home,3,0,3
Liverpool,Away,0,3,-3
Brighton,Home,1,1,0
Leeds United,Home,2,2,0
Arsenal,Away,2,2,0
Newcastle United,Home,1,1,0
Manchester City,Away,2,0,2
Wolverhampton,Home,2,0,2
Burnley,Away,3,3,0
Aston Villa,Home,1,2,-1
Leicester City,Away,0,1,-1
Manchester United,Away,0,1,-1
Everton,Home,3,1,2
Southampton,Home,2,2,0
Tottenham,Away,0,3,-3
Norwich,Home,3,0,3
West Ham,Home,2,3,-1
Brighton,Away,1,1,0
Liverpool,Home,1,3,-2
Norwich,Away,1,1,0
Brentford,Away,0,0,0
Chelsea,Home,0,1,-1
Watford,Away,4,1,3
Burnley,Home,1,1,0
Wolverhampton,Away,2,0,2
Manchester City,Home,0,0,0
Arsenal,Home,3,0,3
Leeds United,Away,1,2,-1
Newcastle United,Away,0,1,-1
Leicester City,Home,0,0,0
Southampton,Away,2,1,1
Watford,Home,1,0,1
Aston Villa,Away,1,1,0
Everton,Away,2,3,-1
Manchester United,Home,1,0,1
