Opponent,Location,Team Score,Opponent Score,Goal Differential
Southampton,Home,3,1,2
Leicester City,Away,2,2,0
Brighton,Away,2,0,2
Burnley,Home,3,1,2
Aston Villa,Away,0,3,-3
Norwich,Home,2,0,2
Manchester United,Away,1,1,0
West Ham,Home,0,1,-1
Watford,Home,2,5,-3
Wolverhampton,Away,1,2,-1
Tottenham,Home,0,0,0
Manchester City,Away,0,3,-3
Brentford,Away,0,1,-1
Liverpool,Home,1,4,-3
Arsenal,Home,2,1,1
Crystal Palace,Away,1,3,-2
Chelsea,Away,1,1,0
Brighton,Home,2,3,-1
Norwich,Away,1,2,-1
Aston Villa,Home,0,1,-1
Newcastle United,Away,1,3,-2
Leicester City,Home,3,0,3
Southampton,Away,0,2,-2
Manchester City,Home,0,1,-1
Tottenham,Away,0,5,-5
Wolverhampton,Home,0,1,-1
Newcastle United,Home,1,0,1
West Ham,Away,1,2,-1
Burnley,Away,2,3,-1
Manchester United,Home,1,0,1
Leeds United,Home,1,1,0
Liverpool,Away,0,2,-2
Chelsea,Home,1,0,1
Leeds United,Away,2,1,1
Watford,Away,0,0,0
Brentford,Home,2,3,-1
Crystal Palace,Home,3,2,1
Arsenal,Away,1,5,-4
