Opponent,Location,Team Score,Opponent Score,Goal Differential
Nottingham Forest,Home,2,0,2
Brighton,Away,0,0,0
Manchester City,Home,3,3,0
Wolverhampton,Away,1,1,0
Liverpool,Away,1,2,-1
Crystal Palace,Home,0,0,0
Bournemouth,Home,1,1,0
Fulham,Away,4,1,3
Brentford,Home,5,1,4
Manchester United,Away,0,0,0
Everton,Home,1,0,1
Tottenham,Away,2,1,1
Aston Villa,Home,4,0,4
Southampton,Away,4,1,3
Chelsea,Home,1,0,1
Leeds United,Away,3,0,3
Leicester City,Home,0,0,0
Arsenal,Away,0,0,0
Fulham,Home,1,0,1
Crystal Palace,Away,0,0,0
West Ham,Home,1,1,0
Bournemouth,Away,1,1,0
Liverpool,Home,0,2,-2
Manchester City,Away,0,2,-2
Wolverhampton,Home,2,1,1
Nottingham Forest,Away,2,1,1
Manchester United,Home,2,0,2
West Ham,Away,5,1,4
Brentford,Away,2,1,1
Aston Villa,Away,0,3,-3
Tottenham,Home,6,1,5
Everton,Away,4,1,3
Southampton,Home,3,1,2
Arsenal,Home,0,2,-2
Leicester City,Away,2,2,0
Brighton,Home,4,1,3
Leeds United,Home,0,0,0
Chelsea,Away,1,1,0
