Opponent,Location,Team Score,Opponent Score,Goal Differential
Aston Villa,Home,5,1,4
Manchester City,Away,0,1,-1
Liverpool,Home,1,2,-1
Brighton,Away,1,3,-2
Brentford,Home,1,0,1
Sheffield,Away,8,0,8
Burnley,Home,2,0,2
West Ham,Away,2,2,0
Crystal Palace,Home,4,0,4
Wolverhampton,Away,2,2,0
Arsenal,Home,1,0,1
Bournemouth,Away,0,2,-2
Chelsea,Home,4,1,3
Manchester United,Home,1,0,1
Everton,Away,0,3,-3
Tottenham,Away,1,4,-3
Fulham,Home,3,0,3
Luton,Away,0,1,-1
Nottingham Forest,Home,1,3,-2
Liverpool,Away,2,4,-2
Manchester City,Home,2,3,-1
Aston Villa,Away,3,1,2
Luton,Home,4,4,0
Nottingham Forest,Away,3,2,1
Bournemouth,Home,2,2,0
Arsenal,Away,1,4,-3
Wolverhampton,Home,3,0,3
Chelsea,Away,2,3,-1
West Ham,Home,4,3,1
Everton,Home,1,1,0
Fulham,Away,1,0,1
Tottenham,Home,4,0,4
Crystal Palace,Away,0,2,-2
Sheffield,Home,5,1,4
Burnley,Away,4,1,3
Brighton,Home,1,1,0
Manchester United,Away,2,3,-1
Brentford,Away,4,2,2
