Opponent,Location,Team Score,Opponent Score,Goal Differential
Newcastle United,Away,4,2,2
Leeds United,Home,4,1,3
Crystal Palace,Home,2,2,0
Southampton,Away,0,0,0
Manchester United,Home,1,2,-1
Leicester City,Away,2,1,1
Brentford,Home,1,2,-1
Everton,Away,1,0,1
Tottenham,Home,1,0,1
Aston Villa,Away,4,1,3
Liverpool,Home,3,2,1
Wolverhampton,Away,0,1,-1
Manchester City,Away,1,2,-1
Brighton,Home,1,1,0
Chelsea,Home,3,2,1
Burnley,Away,0,0,0
Arsenal,Away,0,2,-2
Southampton,Home,2,3,-1
Watford,Away,4,1,3
Crystal Palace,Away,3,2,1
Norwich,Home,2,0,2
Leicester City,Home,2,3,-1
Manchester United,Away,0,1,-1
Watford,Home,1,0,1
Leeds United,Away,2,2,0
Newcastle United,Home,1,1,0
Wolverhampton,Home,1,0,1
Liverpool,Away,0,1,-1
Aston Villa,Home,2,1,1
Tottenham,Away,1,3,-2
Everton,Home,2,1,1
Brentford,Away,0,2,-2
Burnley,Home,1,1,0
Chelsea,Away,0,1,-1
Arsenal,Home,1,2,-1
Norwich,Away,4,0,4
Manchester City,Home,2,2,0
Brighton,Away,1,3,-2
