Opponent,Location,Team Score,Opponent Score,Goal Differential
Wolverhampton,Home,2.0,0.0,2.0
Aston Villa,Away,2.0,0.0,2.0
Brighton,Home,1.0,1.0,0.0
Tottenham,Away,1.0,0.0,1.0
Manchester City,Away,2.0,2.0,0.0
Leicester City,Home,4.0,2.0,2.0
Southampton,Home,3.0,1.0,2.0
Bournemouth,Away,0.0,2.0,-2.0
Liverpool,Home,2.0,2.0,0.0
Newcastle United,Away,,,
Chelsea,Away,,,
Nottingham Forest,Home,,,
West Ham,Away,,,
Manchester United,Home,,,
Fulham,Away,,,
Everton,Home,,,
Crystal Palace,Away,,,
Ipswich Town,Home,,,
Brentford,Away,,,
Brighton,Away,,,
Tottenham,Home,,,
Aston Villa,Home,,,
Wolverhampton,Away,,,
Manchester City,Home,,,
Leicester City,Away,,,
West Ham,Home,,,
Nottingham Forest,Away,,,
Manchester United,Away,,,
Chelsea,Home,,,
Fulham,Home,,,
Everton,Away,,,
Brentford,Home,,,
Ipswich Town,Away,,,
Crystal Palace,Home,,,
Bournemouth,Home,,,
Liverpool,Away,,,
Newcastle United,Home,,,
Southampton,Away,,,
