Opponent,Location,Team Score,Opponent Score,Goal Differential
Brentford,Away,2,2,0
Manchester United,Home,2,0,2
Bournemouth,Away,2,0,2
Burnley,Away,5,2,3
Sheffield,Home,2,1,1
Arsenal,Away,2,2,0
Liverpool,Home,2,1,1
Luton,Away,1,0,1
Fulham,Home,2,0,2
Crystal Palace,Away,2,1,1
Chelsea,Home,1,4,-3
Wolverhampton,Away,1,2,-1
Aston Villa,Home,1,2,-1
Manchester City,Away,3,3,0
West Ham,Home,1,2,-1
Newcastle United,Home,4,1,3
Nottingham Forest,Away,2,0,2
Everton,Home,2,1,1
Brighton,Away,2,4,-2
Bournemouth,Home,3,1,2
Manchester United,Away,2,2,0
Brentford,Home,3,2,1
Everton,Away,2,2,0
Brighton,Home,2,1,1
Wolverhampton,Home,1,2,-1
Crystal Palace,Home,3,1,2
Aston Villa,Away,4,0,4
Fulham,Away,0,3,-3
Luton,Home,2,1,1
West Ham,Away,1,1,0
Nottingham Forest,Home,3,1,2
Newcastle United,Away,0,4,-4
Arsenal,Home,2,3,-1
Chelsea,Away,0,2,-2
Liverpool,Away,2,4,-2
Burnley,Home,2,1,1
Manchester City,Home,0,2,-2
Sheffield,Away,3,0,3
