Opponent,Location,Team Score,Opponent Score,Goal Differential
Brighton,Home,1,2,-1
Liverpool,Away,0,2,-2
Leicester City,Home,1,1,0
Everton,Away,1,3,-2
Arsenal,Home,0,1,-1
Leeds United,Away,2,2,0
Norwich,Home,0,0,0
Manchester City,Away,0,2,-2
Southampton,Away,2,2,0
Brentford,Home,3,1,2
Chelsea,Away,1,1,0
Crystal Palace,Home,3,3,0
Wolverhampton,Away,0,0,0
Newcastle United,Away,0,1,-1
West Ham,Home,0,0,0
Manchester United,Away,1,3,-2
Leicester City,Away,1,3,-2
Arsenal,Away,0,0,0
Watford,Home,0,0,0
Manchester United,Home,1,1,0
Liverpool,Home,0,1,-1
Brighton,Away,3,0,3
Tottenham,Home,1,0,1
Crystal Palace,Away,1,1,0
Leeds United,Home,0,2,-2
Chelsea,Home,0,4,-4
Brentford,Away,0,2,-2
Manchester City,Home,0,2,-2
Everton,Home,3,2,1
Norwich,Away,0,2,-2
West Ham,Away,1,1,0
Southampton,Home,2,0,2
Wolverhampton,Home,1,0,1
Watford,Away,2,1,1
Aston Villa,Home,1,3,-2
Tottenham,Away,0,1,-1
Aston Villa,Away,1,1,0
Newcastle United,Home,1,2,-1
