Opponent,Location,Team Score,Opponent Score,Goal Differential
Aston Villa,Home,2,0,2
Manchester City,Away,0,4,-4
Arsenal,Home,0,3,-3
Liverpool,Away,0,9,-9
Wolverhampton,Home,0,0,0
Nottingham Forest,Away,3,2,1
Newcastle United,Away,1,1,0
Brentford,Home,0,0,0
Leeds United,Home,2,1,1
Fulham,Away,2,2,0
Southampton,Home,0,1,-1
West Ham,Away,0,2,-2
Tottenham,Home,2,3,-1
Leicester City,Away,3,4,-1
Everton,Home,3,0,3
Chelsea,Away,0,2,-2
Crystal Palace,Home,0,2,-2
Manchester United,Away,0,3,-3
Brentford,Away,0,2,-2
Nottingham Forest,Home,1,1,0
Brighton,Away,0,1,-1
Newcastle United,Home,1,1,0
Wolverhampton,Away,1,0,1
Manchester City,Home,1,4,-3
Arsenal,Away,2,3,-1
Liverpool,Home,1,0,1
Aston Villa,Away,0,3,-3
Fulham,Home,2,1,1
Brighton,Home,0,2,-2
Leeds United,Away,1,0,1
Tottenham,Away,3,2,1
West Ham,Home,0,4,-4
Southampton,Away,1,0,1
Leicester City,Home,4,1,3
Chelsea,Home,1,3,-2
Crystal Palace,Away,0,2,-2
Manchester United,Home,0,1,-1
Everton,Away,0,1,-1
