Opponent,Location,Team Score,Opponent Score,Goal Differential
Nottingham Forest,Home,2,1,1
Crystal Palace,Away,1,0,1
Fulham,Home,2,2,0
Manchester United,Home,3,1,2
Everton,Away,1,0,1
Tottenham,Home,2,2,0
Bournemouth,Away,4,0,4
Manchester City,Home,1,0,1
Chelsea,Away,2,2,0
Sheffield,Home,5,0,5
Newcastle United,Away,0,1,-1
Burnley,Home,3,1,2
Brentford,Away,1,0,1
Wolverhampton,Home,2,1,1
Luton,Away,4,3,1
Aston Villa,Away,0,1,-1
Brighton,Home,2,0,2
Liverpool,Away,1,1,0
West Ham,Home,0,2,-2
Fulham,Away,1,2,-1
Crystal Palace,Home,5,0,5
Nottingham Forest,Away,2,1,1
Liverpool,Home,3,1,2
West Ham,Away,6,0,6
Burnley,Away,5,0,5
Newcastle United,Home,4,1,3
Sheffield,Away,6,0,6
Brentford,Home,2,1,1
Manchester City,Away,0,0,0
Luton,Home,2,0,2
Brighton,Away,3,0,3
Aston Villa,Home,0,2,-2
Wolverhampton,Away,2,0,2
Chelsea,Home,5,0,5
Tottenham,Away,3,2,1
Bournemouth,Home,3,0,3
Manchester United,Away,1,0,1
Everton,Home,2,1,1
