name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,form,xG&A_form,minutes_per_game
Joshua King,Watford,Aston Villa,,True,,0,,,,,0,,,0.0,0,0.0,0.0,0.0
Joshua King,Watford,Southampton,2021-10-30,True,FW,90,0.0,0.17,0.0,0.55,2,2.0,4.0,6.3,0,0.0,0.0,45.0
Joshua King,Watford,Arsenal,2021-11-07,False,FW,90,0.0,0.34,0.0,0.04,1,3.0,1.0,5.7,0,1.0,0.08,60.0
Joshua King,Watford,Manchester United,2021-11-20,True,FW,90,1.0,1.1,0.0,0.03,6,6.0,1.0,15.5,0,1.0,0.17,67.5
Joshua King,Watford,Leeds United,2021-11-28,False,ML,90,1.0,1.2,0.0,0.0,6,3.0,0.0,9.6,0,2.25,0.4,72.0
Joshua King,Watford,Chelsea,2021-12-01,True,FW,90,0.0,0.0,0.0,0.05,2,0.0,1.0,2.6,0,3.0,0.56,75.0
Joshua King,Watford,Manchester City,2021-12-04,True,FW,90,0.0,0.07,0.0,0.1,1,1.0,2.0,3.2,0,3.4,0.56,77.14
Joshua King,Watford,Brentford,2021-12-10,False,AML,90,0.0,0.34,0.0,0.0,2,2.0,0.0,4.0,0,3.2,0.54,78.75
Joshua King,Watford,Brighton,2021-08-21,False,Sub,25,0.0,0.0,0.0,0.1,1,0.0,3.0,4.8,0,3.4,0.54,72.78
Joshua King,Watford,West Ham,2021-12-28,True,ML,90,0.0,0.18,1.0,0.09,5,2.0,1.0,7.9,0,2.4,0.32,74.5
Joshua King,Watford,Tottenham,2022-01-01,True,FW,90,0.0,0.06,0.0,0.1,2,2.0,2.0,4.6,0,2.2,0.32,75.91
Joshua King,Watford,Newcastle United,2022-01-15,False,FW,90,0.0,0.41,0.0,0.2,2,4.0,3.0,7.7,0,2.2,0.33,77.08
Joshua King,Watford,Norwich,2022-01-21,True,FW,90,0.0,0.03,0.0,0.43,2,2.0,1.0,3.3,0,2.4,0.4,78.08
Joshua King,Watford,Burnley,2022-02-05,False,FW,90,0.0,0.28,0.0,0.12,1,3.0,2.0,8.5,0,2.4,0.34,78.93
Joshua King,Watford,West Ham,2022-02-08,False,FW,90,0.0,0.0,0.0,0.12,2,0.0,1.0,2.6,0,2.4,0.39,79.67
Joshua King,Watford,Brighton,2022-02-12,True,FW,90,0.0,0.09,0.0,0.0,2,2.0,0.0,2.0,0,1.8,0.16,80.31
Joshua King,Watford,Aston Villa,2022-02-19,False,FW,90,0.0,0.58,0.0,0.45,2,2.0,1.0,4.4,0,1.8,0.16,80.88
Joshua King,Watford,Crystal Palace,2022-02-23,True,FW,50,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0,1.8,0.19,79.17
Joshua King,Watford,Manchester United,2022-02-26,False,FWL,62,0.0,0.05,0.0,0.14,2,1.0,1.0,4.1,0,1.6,0.19,78.26
Joshua King,Watford,Arsenal,,True,,0,,,,,0,,,0.0,0,1.8,0.14,74.35
Joshua King,Watford,Wolverhampton,2022-03-10,False,FWL,45,0.0,0.09,0.0,0.08,1,1.0,1.0,2.2,0,1.4,0.14,72.95
Joshua King,Watford,Southampton,2022-03-13,False,Sub,3,0.0,0.0,0.0,0.14,1,0.0,1.0,1.7,0,1.2,0.14,69.77
Joshua King,Watford,Tottenham,2021-08-29,False,FW,64,0.0,0.0,0.0,0.08,2,0.0,2.0,3.3,0,1.0,0.03,69.52
Joshua King,Watford,Liverpool,2022-04-02,False,Sub,12,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,1.2,0.03,67.12
Joshua King,Watford,Leicester City,2022-04-09,True,Sub,9,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1.0,0.02,64.8
Joshua King,Watford,Brentford,2022-04-16,True,Sub,6,0.0,0.42,0.0,0.03,1,1.0,1.0,2.1,0,1.2,0.02,62.54
Joshua King,Watford,Manchester City,2022-04-23,False,FW,90,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,0,1.2,0.08,63.56
Joshua King,Watford,Burnley,,True,,0,,,,,0,,,0.0,0,1.4,0.08,61.29
Joshua King,Watford,Crystal Palace,2022-05-07,False,FW,90,0.0,0.02,0.0,0.0,1,1.0,0.0,0.5,0,1.0,0.08,62.28
Joshua King,Watford,Everton,,True,,0,,,,,0,,,0.0,0,1.0,0.09,60.2
Joshua King,Watford,Leeds United,,True,,0,,,,,0,,,0.0,0,0.8,0.09,58.26
Joshua King,Watford,Chelsea,2022-05-22,False,FWR,71,0.0,0.0,0.0,0.06,2,0.0,1.0,0.0,0,0.6,0.0,58.66
Joshua King,Watford,Wolverhampton,2021-09-11,True,FW,52,0.0,0.09,0.0,0.0,1,1.0,0.0,2.6,0,0.6,0.0,58.45
Joshua King,Watford,Norwich,2021-09-18,False,FW,90,0.0,0.55,1.0,0.69,10,2.0,2.0,8.5,2,0.8,0.02,59.38
Joshua King,Watford,Newcastle United,2021-09-25,True,FW,90,0.0,0.14,1.0,0.38,5,2.0,2.0,7.3,0,2.6,0.33,60.26
Joshua King,Watford,Leicester City,2021-10-02,False,FW,45,0.0,0.0,0.0,0.0,1,0.0,0.0,0.2,0,3.6,0.56,59.83
Joshua King,Watford,Liverpool,,True,,0,,,,,0,,,0.0,0,3.8,0.56,58.22
Joshua King,Watford,Everton,2021-10-23,False,FW,90,3.0,2.08,0.0,0.02,16,6.0,1.0,24.1,3,3.4,0.56,59.05
