name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,form,xG&A_form,minutes_per_game
Jamie Vardy,Leicester,Wolverhampton,2021-08-14,True,FW,90,1,0.46,0,0.19,5,6,2,12.1,0,0.0,0.0,90.0
Jamie Vardy,Leicester,Arsenal,2021-10-30,True,FW,90,0,0.24,0,0.13,1,1,2,4.1,0,5.0,0.46,90.0
Jamie Vardy,Leicester,Leicester City,2021-11-07,False,FW,90,0,0.1,0,0.0,2,1,0,0.8,0,3.0,0.35,90.0
Jamie Vardy,Leicester,Chelsea,2021-11-20,True,FW,90,0,0.47,0,0.0,2,1,0,0.7,0,2.67,0.27,90.0
Jamie Vardy,Leicester,Watford,2021-11-28,True,FW,90,2,0.52,0,0.0,12,5,0,15.0,2,2.5,0.32,90.0
Jamie Vardy,Leicester,Southampton,2021-12-01,False,FW,90,0,0.51,0,0.1,2,3,2,4.5,0,4.4,0.36,90.0
Jamie Vardy,Leicester,Aston Villa,2021-12-05,False,Sub,25,0,0.0,0,0.0,1,0,0,0.1,0,3.8,0.37,80.71
Jamie Vardy,Leicester,West Ham,2021-08-23,False,FW,80,0,0.0,0,0.0,2,0,0,0.6,0,3.8,0.32,80.62
Jamie Vardy,Leicester,Liverpool,2021-12-28,True,FW,90,0,0.15,0,0.32,2,2,1,5.7,0,3.8,0.3,81.67
Jamie Vardy,Leicester,Burnley,2022-03-01,False,Sub,18,1,0.47,1,0.09,11,2,2,9.5,3,3.8,0.24,75.3
Jamie Vardy,Leicester,Leicester City,2022-03-05,True,FW,60,0,0.0,0,0.0,2,0,0,0.5,0,3.6,0.43,73.91
Jamie Vardy,Leicester,Norwich,2021-08-28,False,FW,90,1,0.79,1,0.06,12,2,1,10.7,3,3.6,0.32,75.25
Jamie Vardy,Leicester,Aston Villa,2022-04-23,True,Sub,19,0,0.0,0,0.0,1,0,0,0.3,0,5.8,0.68,70.92
Jamie Vardy,Leicester,Tottenham,2022-05-01,False,Sub,23,0,0.08,0,0.0,1,1,0,1.0,0,5.6,0.68,67.5
Jamie Vardy,Leicester,Everton,2022-05-08,True,Sub,24,0,0.06,0,0.07,1,1,1,1.8,0,5.4,0.67,64.6
Jamie Vardy,Leicester,Norwich,2022-05-11,True,FW,90,2,1.57,0,0.0,13,7,0,18.6,3,3.4,0.39,66.19
Jamie Vardy,Leicester,Watford,2022-05-15,False,FW,80,2,0.54,0,0.26,13,3,1,12.1,3,5.6,0.7,67.0
Jamie Vardy,Leicester,Chelsea,2022-05-19,False,FW,77,0,0.0,0,0.0,2,0,0,0.5,0,5.8,0.45,67.56
Jamie Vardy,Leicester,Southampton,2022-05-22,True,FW,90,1,1.21,0,0.0,10,4,0,0.0,1,6.0,0.45,68.74
Jamie Vardy,Leicester,Manchester City,2021-09-11,True,FW,90,0,0.0,0,0.04,2,0,1,3.0,0,7.8,0.67,69.8
Jamie Vardy,Leicester,Brighton,2021-09-19,False,FW,90,1,0.82,0,0.08,8,3,2,11.9,2,8.0,0.66,70.76
Jamie Vardy,Leicester,Burnley,2021-09-25,True,FW,90,2,1.33,0,0.09,11,6,1,18.2,3,7.0,0.51,71.64
Jamie Vardy,Leicester,Crystal Palace,2021-10-03,False,FW,90,1,0.46,0,0.0,8,3,0,7.4,2,6.6,0.67,72.43
Jamie Vardy,Leicester,Manchester United,2021-10-16,True,FW,90,1,0.21,0,0.17,8,3,2,11.1,2,7.8,0.76,73.17
Jamie Vardy,Leicester,Brentford,2021-10-24,False,FW,45,0,0.0,0,0.0,1,0,0,0.0,0,7.4,0.56,72.04
