name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus
Moise Kean,Everton,Leicester City,2021-08-21,False,Sub,1,0,0.0,0,0.0,1,0,0,0.0,0
Moise Kean,Everton,Norwich,2022-01-15,False,FW,0,0,0.1149913445115089,0,0.0,0,1,0,0.0,0
Moise Kean,Everton,Manchester City,2022-02-26,True,FW,0,1,0.552795946598053,0,0.0542586855590343,0,2,1,0.0,0
Moise Kean,Everton,West Ham,2022-04-03,False,Sub,0,0,0.0,0,0.0,0,0,0,0.0,0
Moise Kean,Everton,Manchester United,2022-04-09,True,Sub,0,0,0.0,0,0.0,0,0,0,0.0,0
Moise Kean,Everton,Chelsea,2022-05-01,True,Sub,0,0,0.0,0,0.0,0,0,0,0.0,0
Moise Kean,Everton,Manchester United,2021-10-02,False,FW,0,0,0.4034003913402557,0,0.0,0,1,0,0.0,0
Moise Kean,Everton,West Ham,2021-10-17,True,FW,0,1,1.0858335494995115,0,0.0,0,2,0,0.0,0
